Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Aaron Wiggins,2022-23,Regular,Sun 4/9,vsMEM,W115-100,8.0,3-4,75.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0
Aaron Wiggins,2022-23,Regular,Thu 4/6,@UTAH,W114-98,28.0,5-9,55.6,1-4,25.0,4-4,100.0,4.0,3.0,0.0,3.0,2.0,0.0,15.0,1.0,4.0
Aaron Wiggins,2022-23,Regular,Tue 4/4,@GS,L136-125,27.0,4-8,50.0,1-2,50.0,2-2,100.0,3.0,0.0,0.0,0.0,3.0,0.0,11.0,1.0,2.0
Aaron Wiggins,2022-23,Regular,Sun 4/2,vsPHX,L128-118,22.0,5-8,62.5,2-3,66.7,2-2,100.0,1.0,0.0,0.0,0.0,2.0,0.0,14.0,2.0,3.0
Aaron Wiggins,2022-23,Regular,Fri 3/31,@IND,L121-117,28.0,5-6,83.3,1-2,50.0,1-1,100.0,3.0,2.0,1.0,1.0,3.0,1.0,12.0,1.0,2.0
Aaron Wiggins,2022-23,Regular,Wed 3/29,vsDET,W107-106,32.0,8-11,72.7,3-3,100.0,0-0,0.0,4.0,2.0,2.0,1.0,3.0,1.0,19.0,3.0,3.0
Aaron Wiggins,2022-23,Regular,Tue 3/28,vsCHA,L137-134,12.0,1-3,33.3,0-1,0.0,0-0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
Aaron Wiggins,2022-23,Regular,Sun 3/26,@POR,W118-112,8.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
Aaron Wiggins,2022-23,Regular,Fri 3/24,@LAL,L116-111,12.0,2-3,66.7,1-1,100.0,1-2,50.0,4.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,1.0
Aaron Wiggins,2022-23,Regular,Thu 3/23,@LAC,L127-105,13.0,1-4,25.0,1-3,33.3,0-0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0
Aaron Wiggins,2022-23,Regular,Tue 3/21,@LAC,W101-100,20.0,1-3,33.3,0-0,0.0,0-0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Aaron Wiggins,2022-23,Regular,Sun 3/19,vsPHX,W124-120,12.0,3-4,75.0,0-0,0.0,1-1,100.0,2.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0
Aaron Wiggins,2022-23,Regular,Thu 3/16,@TOR,L128-111,9.0,0-1,0.0,0-0,0.0,2-2,100.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
Aaron Wiggins,2022-23,Regular,Tue 3/14,vsBKN,W121-107,11.0,1-2,50.0,0-1,0.0,2-2,100.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0
Aaron Wiggins,2022-23,Regular,Sun 3/12,@SA,W102-90,20.0,2-6,33.3,1-3,33.3,0-0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0
Aaron Wiggins,2022-23,Regular,Sat 3/11,@NO,W110-96,2.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Wiggins,2022-23,Regular,Wed 3/8,@PHX,L132-101,18.0,3-8,37.5,0-2,0.0,0-0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,2.0
Aaron Wiggins,2022-23,Regular,Tue 3/7,vsGS,W137-128,33.0,5-12,41.7,1-3,33.3,2-2,100.0,4.0,0.0,1.0,1.0,2.0,1.0,13.0,1.0,3.0
Aaron Wiggins,2022-23,Regular,Sun 3/5,vsUTAH,W129-119,15.0,0-4,0.0,0-1,0.0,1-2,50.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
Aaron Wiggins,2022-23,Regular,Fri 3/3,vsUTAH,W130-103,27.0,12-16,75.0,1-2,50.0,2-4,50.0,4.0,0.0,0.0,2.0,3.0,0.0,27.0,1.0,2.0
Aaron Wiggins,2022-23,Regular,Wed 3/1,vsLAL,L123-117,23.0,4-7,57.1,0-2,0.0,0-0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,8.0,0.0,2.0
Aaron Wiggins,2022-23,Regular,Tue 2/28,vsSAC,L123-117,29.0,4-10,40.0,2-4,50.0,0-0,0.0,6.0,3.0,0.0,0.0,2.0,1.0,10.0,2.0,4.0
Aaron Wiggins,2022-23,Regular,Sun 2/26,vsSAC,L124-115,24.0,3-6,50.0,1-3,33.3,0-0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,7.0,1.0,3.0
Aaron Wiggins,2022-23,Regular,Fri 2/24,@PHX,L124-115,19.0,2-4,50.0,0-1,0.0,0-0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,0.0,1.0
Aaron Wiggins,2022-23,Regular,Wed 2/15,vsHOU,W133-96,10.0,1-1,100.0,0-0,0.0,4-4,100.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
Aaron Wiggins,2022-23,Regular,Mon 2/13,vsNO,L103-100,12.0,1-1,100.0,1-1,100.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0
Aaron Wiggins,2022-23,Regular,Fri 2/10,@POR,W138-129,21.0,1-5,20.0,0-1,0.0,0-0,0.0,4.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0
Aaron Wiggins,2022-23,Regular,Tue 2/7,@LAL,W133-130,22.0,2-5,40.0,1-1,100.0,0-0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,5.0,1.0,1.0
Aaron Wiggins,2022-23,Regular,Mon 2/6,@GS,L141-114,25.0,8-10,80.0,2-3,66.7,1-1,100.0,2.0,1.0,0.0,2.0,0.0,0.0,19.0,2.0,3.0
