Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Alec Burks,2022-23,Regular,Mon 3/6,vsPOR,L110-104,23.0,3-11,27.3,3-8,37.5,4-5,80.0,6.0,4.0,1.0,1.0,2.0,1.0,13.0,3.0,8.0
Alec Burks,2022-23,Regular,Wed 3/1,vsCHI,L117-115,18.0,3-8,37.5,2-7,28.6,3-4,75.0,4.0,1.0,0.0,1.0,1.0,1.0,11.0,2.0,7.0
Alec Burks,2022-23,Regular,Mon 2/27,@CHA,L117-106,30.0,6-15,40.0,1-8,12.5,4-4,100.0,4.0,2.0,0.0,1.0,2.0,2.0,17.0,1.0,8.0
Alec Burks,2022-23,Regular,Sat 2/25,vsTOR,L95-91,17.0,1-5,20.0,0-2,0.0,0-0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
Alec Burks,2022-23,Regular,Thu 2/23,@ORL,L108-106,19.0,4-4,100.0,4-4,100.0,4-6,66.7,5.0,3.0,1.0,2.0,2.0,1.0,16.0,4.0,4.0
Alec Burks,2022-23,Regular,Wed 2/15,@BOS,L127-109,20.0,2-7,28.6,1-2,50.0,2-2,100.0,1.0,3.0,1.0,0.0,2.0,1.0,7.0,1.0,2.0
Alec Burks,2022-23,Regular,Sun 2/12,@TOR,L119-118,28.0,6-9,66.7,4-7,57.1,5-6,83.3,3.0,2.0,0.0,1.0,1.0,2.0,21.0,4.0,7.0
Alec Burks,2022-23,Regular,Fri 2/10,vsSA,W138-131 2OT,15.0,2-6,33.3,1-4,25.0,0-0,0.0,4.0,1.0,0.0,0.0,2.0,3.0,5.0,1.0,4.0
Alec Burks,2022-23,Regular,Wed 2/8,@CLE,L113-85,16.0,1-10,10.0,0-4,0.0,2-2,100.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0
Alec Burks,2022-23,Regular,Mon 2/6,vsBOS,L111-99,19.0,2-8,25.0,1-5,20.0,0-0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,5.0,1.0,5.0
Alec Burks,2022-23,Regular,Sat 2/4,vsPHX,L116-100,25.0,3-8,37.5,2-6,33.3,0-0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,8.0,2.0,6.0
Alec Burks,2022-23,Regular,Fri 2/3,vsCHA,W118-112,26.0,5-12,41.7,2-7,28.6,4-5,80.0,6.0,2.0,0.0,0.0,1.0,1.0,16.0,2.0,7.0
Alec Burks,2022-23,Regular,Mon 1/30,@DAL,L111-105,30.0,3-8,37.5,1-4,25.0,0-0,0.0,9.0,3.0,0.0,1.0,1.0,1.0,7.0,1.0,4.0
Alec Burks,2022-23,Regular,Sat 1/28,vsHOU,L117-114,27.0,6-12,50.0,6-11,54.5,3-4,75.0,2.0,2.0,0.0,0.0,2.0,1.0,21.0,6.0,11.0
Alec Burks,2022-23,Regular,Thu 1/26,@BKN,W130-122,30.0,6-9,66.7,3-4,75.0,5-6,83.3,5.0,4.0,0.0,1.0,1.0,0.0,20.0,3.0,4.0
Alec Burks,2022-23,Regular,Mon 1/23,vsMIL,L150-130,19.0,1-7,14.3,0-3,0.0,2-3,66.7,1.0,1.0,0.0,1.0,3.0,3.0,4.0,0.0,3.0
Alec Burks,2022-23,Regular,Thu 1/19,vsCHI,L126-108,21.0,1-8,12.5,0-3,0.0,4-4,100.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0
