Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Aleksej Pokusevski,2022-23,Regular,Fri 3/31,@IND,L121-117,10.0,1-3,33.3,0-2,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
Aleksej Pokusevski,2022-23,Regular,Wed 3/29,vsDET,W107-106,4.0,0-1,0.0,0-0,0.0,1-2,50.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Aleksej Pokusevski,2022-23,Regular,Tue 3/28,vsCHA,L137-134,10.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
Aleksej Pokusevski,2022-23,Regular,Tue 12/27,vsSA,W130-114,2.0,1-1,100.0,1-1,100.0,0-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0
Aleksej Pokusevski,2022-23,Regular,Fri 12/23,vsNO,L128-125 OT,32.0,7-11,63.6,3-5,60.0,0-0,0.0,6.0,3.0,1.0,4.0,5.0,1.0,17.0,3.0,5.0
Aleksej Pokusevski,2022-23,Regular,Wed 12/21,vsPOR,W101-98,20.0,2-7,28.6,0-2,0.0,2-2,100.0,3.0,2.0,0.0,2.0,1.0,1.0,6.0,0.0,2.0
Aleksej Pokusevski,2022-23,Regular,Mon 12/19,vsPOR,W123-121,23.0,3-9,33.3,0-4,0.0,2-4,50.0,6.0,3.0,1.0,0.0,2.0,2.0,8.0,0.0,4.0
Aleksej Pokusevski,2022-23,Regular,Sat 12/17,vsMEM,W115-109,22.0,3-10,30.0,2-5,40.0,1-2,50.0,6.0,4.0,0.0,0.0,4.0,0.0,9.0,2.0,5.0
Aleksej Pokusevski,2022-23,Regular,Fri 12/16,vsMIN,L112-110,24.0,3-8,37.5,1-5,20.0,2-2,100.0,4.0,3.0,2.0,1.0,1.0,2.0,9.0,1.0,5.0
Aleksej Pokusevski,2022-23,Regular,Wed 12/14,vsMIA,L110-108,8.0,0-3,0.0,0-0,0.0,0-0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Aleksej Pokusevski,2022-23,Regular,Mon 12/12,@DAL,L121-114,22.0,0-3,0.0,0-2,0.0,0-0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Aleksej Pokusevski,2022-23,Regular,Sat 12/10,@CLE,L110-102,34.0,6-14,42.9,3-3,100.0,1-2,50.0,14.0,5.0,3.0,0.0,2.0,2.0,16.0,3.0,3.0
Aleksej Pokusevski,2022-23,Regular,Wed 12/7,@MEM,L123-102,21.0,4-7,57.1,2-4,50.0,0-0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,10.0,2.0,4.0
Aleksej Pokusevski,2022-23,Regular,Mon 12/5,@ATL,W121-114,13.0,1-6,16.7,0-4,0.0,0-0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0
Aleksej Pokusevski,2022-23,Regular,Sat 12/3,@MIN,W135-128,20.0,5-10,50.0,0-3,0.0,2-2,100.0,8.0,1.0,0.0,0.0,2.0,2.0,12.0,0.0,3.0
Aleksej Pokusevski,2022-23,Regular,Wed 11/30,vsSA,W119-111,18.0,2-9,22.2,0-2,0.0,1-2,50.0,7.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,2.0
Aleksej Pokusevski,2022-23,Regular,Mon 11/28,@NO,L105-101,27.0,4-10,40.0,3-5,60.0,0-0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,11.0,3.0,5.0
Aleksej Pokusevski,2022-23,Regular,Sat 11/26,@HOU,L118-105,9.0,0-2,0.0,0-1,0.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Aleksej Pokusevski,2022-23,Regular,Fri 11/25,vsCHI,W123-119 OT,32.0,6-13,46.2,1-3,33.3,2-2,100.0,6.0,2.0,1.0,1.0,3.0,1.0,15.0,1.0,3.0
Aleksej Pokusevski,2022-23,Regular,Wed 11/23,vsDEN,L131-126 OT,29.0,5-8,62.5,2-4,50.0,1-2,50.0,1.0,3.0,3.0,1.0,4.0,1.0,13.0,2.0,4.0
Aleksej Pokusevski,2022-23,Regular,Fri 11/18,@MEM,L121-110,14.0,4-4,100.0,2-2,100.0,0-0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,10.0,2.0,2.0
Aleksej Pokusevski,2022-23,Regular,Wed 11/16,@WSH,W121-120,14.0,3-4,75.0,2-3,66.7,0-0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,8.0,2.0,3.0
Aleksej Pokusevski,2022-23,Regular,Mon 11/14,@BOS,L126-122,37.0,7-12,58.3,2-4,50.0,0-0,0.0,14.0,3.0,3.0,1.0,4.0,2.0,16.0,2.0,4.0
Aleksej Pokusevski,2022-23,Regular,Sun 11/13,@NY,W145-135,18.0,5-8,62.5,2-4,50.0,0-0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,12.0,2.0,4.0
Aleksej Pokusevski,2022-23,Regular,Fri 11/11,vsTOR,W132-113,23.0,6-10,60.0,1-2,50.0,1-1,100.0,5.0,0.0,4.0,0.0,2.0,3.0,14.0,1.0,2.0
Aleksej Pokusevski,2022-23,Regular,Wed 11/9,vsMIL,L136-132 2OT,39.0,6-11,54.5,4-7,57.1,1-2,50.0,10.0,2.0,2.0,2.0,1.0,2.0,17.0,4.0,7.0
Aleksej Pokusevski,2022-23,Regular,Thu 11/3,vsDEN,L122-110,28.0,3-9,33.3,0-4,0.0,0-0,0.0,7.0,1.0,2.0,1.0,2.0,0.0,6.0,0.0,4.0
Aleksej Pokusevski,2022-23,Regular,Tue 11/1,vsORL,W116-108,31.0,7-13,53.8,2-5,40.0,0-0,0.0,9.0,1.0,3.0,2.0,0.0,2.0,16.0,2.0,5.0
Aleksej Pokusevski,2022-23,Regular,Sat 10/29,@DAL,W117-111 OT,24.0,2-6,33.3,0-2,0.0,0-0,0.0,4.0,3.0,2.0,0.0,4.0,2.0,4.0,0.0,2.0
Aleksej Pokusevski,2022-23,Regular,Thu 10/27,vsLAC,W118-110,26.0,6-11,54.5,3-5,60.0,0-0,0.0,6.0,3.0,1.0,0.0,3.0,4.0,15.0,3.0,5.0
Aleksej Pokusevski,2022-23,Regular,Tue 10/25,vsLAC,W108-94,17.0,2-7,28.6,0-3,0.0,2-6,33.3,4.0,2.0,0.0,1.0,2.0,0.0,6.0,0.0,3.0
Aleksej Pokusevski,2022-23,Regular,Sun 10/23,vsMIN,L116-106,13.0,1-6,16.7,0-2,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
Aleksej Pokusevski,2022-23,Regular,Sat 10/22,@DEN,L122-117,12.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
Aleksej Pokusevski,2022-23,Regular,Wed 10/19,@MIN,L115-108,25.0,3-10,30.0,2-5,40.0,3-4,75.0,7.0,3.0,1.0,0.0,1.0,2.0,11.0,2.0,5.0
Aleksej Pokusevski,2022-23,Preseason,Thu 10/13,@SA,W118-112,18.0,3-9,33.3,0-5,0.0,2-2,100.0,6.0,1.0,1.0,0.0,3.0,1.0,8.0,0.0,5.0
Aleksej Pokusevski,2022-23,Preseason,Tue 10/11,@DET,W115-99,27.0,4-7,57.1,0-2,0.0,3-4,75.0,7.0,4.0,1.0,0.0,3.0,2.0,11.0,0.0,2.0
Aleksej Pokusevski,2022-23,Preseason,Sun 10/9,vsMRC,W144-97,26.0,6-9,66.7,3-6,50.0,0-0,0.0,6.0,10.0,1.0,0.0,2.0,0.0,15.0,3.0,6.0
Aleksej Pokusevski,2022-23,Preseason,Thu 10/6,vsADL,W131-98,21.0,2-7,28.6,1-3,33.3,3-4,75.0,6.0,4.0,2.0,0.0,4.0,4.0,8.0,1.0,3.0
Aleksej Pokusevski,2022-23,Preseason,Wed 10/5,vsDAL,L98-96,18.0,3-6,50.0,2-5,40.0,0-0,0.0,1.0,2.0,1.0,0.0,4.0,2.0,8.0,2.0,5.0
Aleksej Pokusevski,2022-23,Preseason,Mon 10/3,@DEN,W112-101,21.0,2-4,50.0,1-2,50.0,0-0,0.0,6.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0
