Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Alex Len,2022-23,Postseason,Sun 4/30,vsGS,L120-100,3.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alex Len,2022-23,Postseason,Wed 4/26,vsGS,L123-116,12.0,1-1,100.0,0-0,0.0,1-2,50.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
Alex Len,2022-23,Postseason,Sun 4/23,@GS,L126-125,11.0,2-3,66.7,0-0,0.0,2-2,100.0,5.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0
Alex Len,2022-23,Postseason,Thu 4/20,@GS,L114-97,8.0,0-0,0.0,0-0,0.0,2-2,100.0,3.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0
Alex Len,2022-23,Postseason,Mon 4/17,vsGS,W114-106,8.0,2-2,100.0,0-0,0.0,0-0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0,0.0,0.0
Alex Len,2022-23,Postseason,Sat 4/15,vsGS,W126-123,13.0,2-2,100.0,0-0,0.0,0-0,0.0,7.0,0.0,1.0,0.0,3.0,2.0,4.0,0.0,0.0
Alex Len,2022-23,Regular,Sun 4/9,@DEN,L109-95,12.0,0-0,0.0,0-0,0.0,0-0,0.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
Alex Len,2022-23,Regular,Fri 4/7,vsGS,L119-97,16.0,2-3,66.7,0-0,0.0,1-2,50.0,6.0,2.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0
Alex Len,2022-23,Regular,Wed 4/5,@DAL,L123-119,13.0,0-2,0.0,0-0,0.0,2-2,100.0,9.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
Alex Len,2022-23,Regular,Tue 4/4,@NO,W121-103,13.0,1-1,100.0,0-0,0.0,2-2,100.0,4.0,1.0,2.0,0.0,4.0,1.0,4.0,0.0,0.0
Alex Len,2022-23,Regular,Sun 4/2,vsSA,L142-134 OT,13.0,3-5,60.0,0-0,0.0,0-0,0.0,7.0,2.0,2.0,1.0,2.0,3.0,6.0,0.0,0.0
Alex Len,2022-23,Regular,Fri 3/31,@POR,W138-114,13.0,2-2,100.0,0-0,0.0,0-0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0
Alex Len,2022-23,Regular,Wed 3/29,@POR,W120-80,16.0,2-4,50.0,0-0,0.0,1-2,50.0,8.0,0.0,1.0,2.0,3.0,0.0,5.0,0.0,0.0
Alex Len,2022-23,Regular,Mon 3/27,vsMIN,L119-115,7.0,1-1,100.0,0-0,0.0,2-4,50.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0
Alex Len,2022-23,Regular,Sat 3/18,@WSH,W132-118,4.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
Alex Len,2022-23,Regular,Wed 3/15,@CHI,W117-114,5.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Alex Len,2022-23,Regular,Mon 3/6,vsNO,W123-108,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,2022-23,Regular,Thu 2/23,vsPOR,W133-116,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Alex Len,2022-23,Regular,Mon 2/6,@HOU,W140-120,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alex Len,2022-23,Regular,Mon 1/23,vsMEM,W133-100,3.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Alex Len,2022-23,Regular,Sun 1/1,@MEM,L118-108,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alex Len,2022-23,Regular,Tue 12/27,vsDEN,L113-106,14.0,0-1,0.0,0-1,0.0,2-2,100.0,4.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0
Alex Len,2022-23,Regular,Wed 12/7,@MIL,L126-113,1.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,2022-23,Regular,Sat 12/3,@LAC,W123-96,4.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Alex Len,2022-23,Regular,Wed 11/30,vsIND,W137-114,5.0,2-3,66.7,0-0,0.0,0-0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
Alex Len,2022-23,Regular,Thu 11/17,vsSA,W130-112,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,2022-23,Regular,Tue 11/15,vsBKN,W153-121,5.0,2-2,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Alex Len,2022-23,Regular,Mon 10/31,@CHA,W115-108,2.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alex Len,2022-23,Regular,Sat 10/29,vsMIA,W119-113,3.0,0-0,0.0,0-0,0.0,1-2,50.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Alex Len,2022-23,Regular,Thu 10/27,vsMEM,L125-110,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,2022-23,Preseason,Fri 10/14,vsLAL,W133-86,8.0,0-1,0.0,0-0,0.0,1-2,50.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Alex Len,2022-23,Preseason,Wed 10/12,@PHX,W105-104,16.0,1-1,100.0,0-0,0.0,2-2,100.0,3.0,1.0,1.0,2.0,4.0,2.0,4.0,0.0,0.0
Alex Len,2022-23,Preseason,Sun 10/9,vsPOR,W126-94,12.0,2-2,100.0,0-0,0.0,0-0,0.0,5.0,1.0,1.0,1.0,3.0,1.0,4.0,0.0,0.0
Alex Len,2022-23,Preseason,Mon 10/3,@LAL,W105-75,9.0,3-3,100.0,0-0,0.0,1-2,50.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
