Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Alperen Sengun,2022-23,Regular,Sun 4/9,@WSH,W114-109,24.0,4-9,44.4,0-0,0.0,4-5,80.0,12.0,6.0,2.0,2.0,3.0,4.0,12.0,0.0,0.0
Alperen Sengun,2022-23,Regular,Fri 4/7,@CHA,W112-109,32.0,4-9,44.4,1-1,100.0,5-6,83.3,21.0,3.0,1.0,2.0,4.0,4.0,14.0,1.0,1.0
Alperen Sengun,2022-23,Regular,Tue 4/4,vsDEN,W124-103,38.0,7-14,50.0,2-4,50.0,4-5,80.0,10.0,7.0,1.0,3.0,4.0,3.0,20.0,2.0,4.0
Alperen Sengun,2022-23,Regular,Sun 4/2,vsLAL,L134-109,38.0,9-17,52.9,0-1,0.0,0-2,0.0,15.0,5.0,3.0,2.0,3.0,2.0,18.0,0.0,1.0
Alperen Sengun,2022-23,Regular,Fri 3/31,vsDET,W121-115,35.0,5-7,71.4,0-0,0.0,5-6,83.3,13.0,7.0,0.0,0.0,5.0,4.0,15.0,0.0,0.0
Alperen Sengun,2022-23,Regular,Wed 3/29,@BKN,L123-114,33.0,10-16,62.5,0-0,0.0,1-3,33.3,12.0,2.0,1.0,1.0,3.0,2.0,21.0,0.0,0.0
Alperen Sengun,2022-23,Regular,Mon 3/27,@NY,L137-115,28.0,5-9,55.6,1-1,100.0,0-1,0.0,5.0,1.0,1.0,0.0,2.0,5.0,11.0,1.0,1.0
Alperen Sengun,2022-23,Regular,Sun 3/26,@CLE,L108-91,33.0,6-12,50.0,0-0,0.0,2-4,50.0,8.0,4.0,1.0,0.0,4.0,3.0,14.0,0.0,0.0
Alperen Sengun,2022-23,Regular,Fri 3/24,@MEM,L151-114,25.0,3-6,50.0,0-1,0.0,1-3,33.3,5.0,2.0,0.0,1.0,3.0,2.0,7.0,0.0,1.0
Alperen Sengun,2022-23,Regular,Wed 3/22,@MEM,L130-125,32.0,11-15,73.3,0-2,0.0,3-6,50.0,8.0,4.0,0.0,2.0,6.0,3.0,25.0,0.0,2.0
Alperen Sengun,2022-23,Regular,Sun 3/19,vsNO,L117-107,31.0,3-8,37.5,0-2,0.0,3-4,75.0,7.0,6.0,1.0,1.0,6.0,0.0,9.0,0.0,2.0
Alperen Sengun,2022-23,Regular,Fri 3/17,vsNO,W114-112,36.0,8-17,47.1,1-1,100.0,0-0,0.0,11.0,1.0,0.0,2.0,5.0,2.0,17.0,1.0,1.0
Alperen Sengun,2022-23,Regular,Wed 3/15,vsLAL,W114-110,31.0,6-10,60.0,0-0,0.0,1-2,50.0,9.0,6.0,2.0,1.0,4.0,2.0,13.0,0.0,0.0
Alperen Sengun,2022-23,Regular,Sat 3/11,vsCHI,L119-111,33.0,4-9,44.4,0-0,0.0,2-2,100.0,5.0,5.0,1.0,3.0,1.0,2.0,10.0,0.0,0.0
Alperen Sengun,2022-23,Regular,Thu 3/9,@IND,L134-125 OT,26.0,7-11,63.6,0-0,0.0,0-2,0.0,8.0,3.0,2.0,0.0,4.0,3.0,14.0,0.0,0.0
