Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Amir Coffey,2022-23,Postseason,Tue 4/18,@PHX,L123-109,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Sat 4/8,vsPOR,W136-125,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Fri 3/31,@MEM,L108-94,12.0,2-3,66.7,1-2,50.0,3-4,75.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,2.0
Amir Coffey,2022-23,Regular,Mon 3/27,vsCHI,W124-112,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Sat 3/25,vsNO,L131-110,10.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Thu 3/23,vsOKC,W127-105,5.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Wed 3/15,vsGS,W134-126,1.0,0-0,0.0,0-0,0.0,1-2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Amir Coffey,2022-23,Regular,Sat 3/11,vsNY,W106-95,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Fri 3/3,@SAC,L128-127,13.0,0-3,0.0,0-1,0.0,0-2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Amir Coffey,2022-23,Regular,Thu 3/2,@GS,L115-91,7.0,1-2,50.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
Amir Coffey,2022-23,Regular,Sun 2/26,@DEN,L134-124 OT,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Tue 2/14,vsGS,W134-124,2.0,1-2,50.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
Amir Coffey,2022-23,Regular,Fri 2/10,vsMIL,L119-106,30.0,5-8,62.5,0-1,0.0,0-0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0
Amir Coffey,2022-23,Regular,Sun 1/29,@CLE,L122-99,38.0,5-13,38.5,0-2,0.0,8-9,88.9,4.0,2.0,0.0,1.0,6.0,0.0,18.0,0.0,2.0
Amir Coffey,2022-23,Regular,Thu 1/26,vsSA,W138-100,7.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Tue 1/24,@LAL,W133-115,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Wed 1/18,@UTAH,L126-103,25.0,3-7,42.9,1-3,33.3,1-1,100.0,3.0,3.0,0.0,0.0,3.0,0.0,8.0,1.0,3.0
Amir Coffey,2022-23,Regular,Tue 1/17,vsPHI,L120-110,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Sun 1/15,vsHOU,W121-100,18.0,2-6,33.3,0-2,0.0,1-2,50.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0
Amir Coffey,2022-23,Regular,Tue 1/10,vsDAL,W113-101,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Fri 1/6,@MIN,L128-115,19.0,1-5,20.0,0-0,0.0,0-0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
Amir Coffey,2022-23,Regular,Thu 1/5,@DEN,L122-91,20.0,2-7,28.6,0-2,0.0,2-2,100.0,2.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0
Amir Coffey,2022-23,Regular,Tue 12/27,@TOR,W124-113,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Mon 12/26,@DET,W142-131 OT,3.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Amir Coffey,2022-23,Regular,Wed 12/21,vsCHA,W126-105,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Sat 12/17,vsWSH,W102-93,20.0,3-6,50.0,2-2,100.0,2-2,100.0,5.0,1.0,0.0,0.0,1.0,1.0,10.0,2.0,2.0
Amir Coffey,2022-23,Regular,Thu 12/15,vsPHX,L111-95,38.0,4-9,44.4,3-4,75.0,0-0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,11.0,3.0,4.0
Amir Coffey,2022-23,Regular,Wed 12/14,vsMIN,W99-88,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Mon 12/12,vsBOS,W113-93,4.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Amir Coffey,2022-23,Regular,Wed 12/7,@ORL,L116-111 OT,19.0,1-3,33.3,0-1,0.0,1-2,50.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0
Amir Coffey,2022-23,Regular,Sat 12/3,vsSAC,L123-96,33.0,1-5,20.0,0-1,0.0,1-1,100.0,2.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0
Amir Coffey,2022-23,Regular,Wed 11/30,@UTAH,L125-112,19.0,1-4,25.0,1-3,33.3,2-2,100.0,1.0,1.0,1.0,0.0,2.0,1.0,5.0,1.0,3.0
Amir Coffey,2022-23,Regular,Tue 11/29,@POR,W118-112,25.0,2-7,28.6,0-2,0.0,3-4,75.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,0.0,2.0
Amir Coffey,2022-23,Regular,Sun 11/27,vsIND,W114-100,28.0,3-8,37.5,0-2,0.0,2-2,100.0,0.0,5.0,0.0,1.0,1.0,1.0,8.0,0.0,2.0
Amir Coffey,2022-23,Regular,Fri 11/25,vsDEN,L114-104,25.0,3-6,50.0,2-4,50.0,1-2,50.0,2.0,3.0,0.0,0.0,2.0,1.0,9.0,2.0,4.0
Amir Coffey,2022-23,Regular,Wed 11/23,@GS,L124-107,36.0,5-7,71.4,0-1,0.0,3-4,75.0,3.0,7.0,0.0,0.0,2.0,2.0,13.0,0.0,1.0
Amir Coffey,2022-23,Regular,Mon 11/21,vsUTAH,W121-114,22.0,3-7,42.9,0-1,0.0,2-2,100.0,5.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,1.0
Amir Coffey,2022-23,Regular,Sat 11/19,vsSA,W119-97,8.0,1-3,33.3,0-0,0.0,1-2,50.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
Amir Coffey,2022-23,Regular,Tue 11/15,@DAL,L103-101,10.0,0-0,0.0,0-0,0.0,2-2,100.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0
Amir Coffey,2022-23,Regular,Mon 11/14,@HOU,W122-106,19.0,0-2,0.0,0-0,0.0,0-0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Amir Coffey,2022-23,Regular,Sat 11/12,vsBKN,L110-95,2.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Amir Coffey,2022-23,Regular,Wed 11/9,vsLAL,W114-101,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
