Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Andrew Nembhard,2022-23,Regular,Sun 4/9,@NY,W141-136,38.0,7-13,53.8,1-3,33.3,4-5,80.0,3.0,9.0,0.0,3.0,1.0,2.0,19.0,1.0,3.0
Andrew Nembhard,2022-23,Regular,Fri 4/7,vsDET,L122-115,30.0,5-8,62.5,0-0,0.0,2-2,100.0,4.0,10.0,0.0,0.0,1.0,4.0,12.0,0.0,0.0
Andrew Nembhard,2022-23,Regular,Wed 4/5,vsNY,L138-129,32.0,5-13,38.5,1-2,50.0,1-2,50.0,3.0,9.0,0.0,1.0,3.0,4.0,12.0,1.0,2.0
Andrew Nembhard,2022-23,Regular,Sun 4/2,@CLE,L115-105,31.0,6-14,42.9,1-2,50.0,0-0,0.0,2.0,8.0,0.0,3.0,1.0,3.0,13.0,1.0,2.0
Andrew Nembhard,2022-23,Regular,Fri 3/31,vsOKC,W121-117,31.0,7-16,43.8,3-7,42.9,1-2,50.0,3.0,6.0,0.0,0.0,4.0,4.0,18.0,3.0,7.0
Andrew Nembhard,2022-23,Regular,Wed 3/29,vsMIL,L149-136,28.0,6-15,40.0,1-4,25.0,2-2,100.0,2.0,15.0,0.0,0.0,2.0,1.0,15.0,1.0,4.0
Andrew Nembhard,2022-23,Regular,Mon 3/27,vsDAL,L127-104,36.0,8-16,50.0,1-4,25.0,0-0,0.0,5.0,5.0,0.0,1.0,3.0,0.0,17.0,1.0,4.0
Andrew Nembhard,2022-23,Regular,Sat 3/25,@ATL,L143-130,27.0,5-8,62.5,2-4,50.0,0-0,0.0,2.0,4.0,1.0,0.0,2.0,3.0,12.0,2.0,4.0
Andrew Nembhard,2022-23,Regular,Fri 3/24,@BOS,L120-95,24.0,3-5,60.0,0-1,0.0,0-0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0
Andrew Nembhard,2022-23,Regular,Wed 3/22,@TOR,W118-114,35.0,11-17,64.7,3-5,60.0,0-0,0.0,2.0,10.0,0.0,0.0,5.0,2.0,25.0,3.0,5.0
Andrew Nembhard,2022-23,Regular,Mon 3/20,@CHA,L115-109,29.0,1-6,16.7,0-0,0.0,0-0,0.0,2.0,6.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0
Andrew Nembhard,2022-23,Regular,Sat 3/18,vsPHI,L141-121,37.0,9-14,64.3,2-4,50.0,2-2,100.0,1.0,2.0,0.0,0.0,1.0,1.0,22.0,2.0,4.0
Andrew Nembhard,2022-23,Regular,Thu 3/16,@MIL,W139-123,28.0,10-21,47.6,4-9,44.4,0-2,0.0,1.0,5.0,0.0,0.0,2.0,0.0,24.0,4.0,9.0
Andrew Nembhard,2022-23,Regular,Mon 3/13,@DET,L117-97,36.0,6-14,42.9,1-3,33.3,2-3,66.7,4.0,7.0,0.0,0.0,3.0,3.0,15.0,1.0,3.0
Andrew Nembhard,2022-23,Regular,Sat 3/11,@DET,W121-115,33.0,6-15,40.0,2-6,33.3,5-6,83.3,3.0,8.0,0.0,0.0,0.0,2.0,19.0,2.0,6.0
Andrew Nembhard,2022-23,Regular,Thu 3/9,vsHOU,W134-125 OT,26.0,6-7,85.7,2-2,100.0,0-0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,14.0,2.0,2.0
Andrew Nembhard,2022-23,Regular,Mon 3/6,vsPHI,L147-143,19.0,3-4,75.0,1-2,50.0,0-0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,2.0
Andrew Nembhard,2022-23,Regular,Sun 3/5,@CHI,W125-122,20.0,2-5,40.0,0-3,0.0,0-0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,3.0
Andrew Nembhard,2022-23,Regular,Thu 3/2,@SA,L110-99,21.0,0-8,0.0,0-3,0.0,4-4,100.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0
Andrew Nembhard,2022-23,Regular,Tue 2/28,@DAL,W124-122,32.0,1-6,16.7,1-5,20.0,0-2,0.0,3.0,5.0,1.0,0.0,1.0,0.0,3.0,1.0,5.0
Andrew Nembhard,2022-23,Regular,Sat 2/25,@ORL,W121-108,24.0,5-11,45.5,3-6,50.0,0-0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,13.0,3.0,6.0
Andrew Nembhard,2022-23,Regular,Thu 2/23,vsBOS,L142-138 OT,23.0,2-7,28.6,1-5,20.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0
Andrew Nembhard,2022-23,Regular,Wed 2/15,vsCHI,W117-113,21.0,2-3,66.7,0-1,0.0,0-0,0.0,1.0,5.0,0.0,1.0,4.0,0.0,4.0,0.0,1.0
Andrew Nembhard,2022-23,Regular,Mon 2/13,vsUTAH,L123-117,23.0,1-2,50.0,0-1,0.0,0-0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0
