Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Andrew Wiggins,2022-23,Postseason,Fri 5/12,@LAL,L122-101,28.0,2-8,25.0,0-3,0.0,2-4,50.0,2.0,2.0,0.0,1.0,5.0,0.0,6.0,0.0,3.0
Andrew Wiggins,2022-23,Postseason,Wed 5/10,vsLAL,W121-106,36.0,10-18,55.6,2-5,40.0,3-3,100.0,7.0,5.0,0.0,1.0,2.0,1.0,25.0,2.0,5.0
Andrew Wiggins,2022-23,Postseason,Mon 5/8,@LAL,L104-101,39.0,6-14,42.9,2-6,33.3,3-4,75.0,4.0,1.0,0.0,2.0,4.0,3.0,17.0,2.0,6.0
Andrew Wiggins,2022-23,Postseason,Sat 5/6,@LAL,L127-97,28.0,6-11,54.5,2-4,50.0,2-2,100.0,9.0,4.0,1.0,0.0,2.0,0.0,16.0,2.0,4.0
Andrew Wiggins,2022-23,Postseason,Thu 5/4,vsLAL,W127-100,30.0,3-8,37.5,2-4,50.0,3-4,75.0,4.0,4.0,1.0,0.0,2.0,2.0,11.0,2.0,4.0
Andrew Wiggins,2022-23,Postseason,Tue 5/2,vsLAL,L117-112,34.0,6-14,42.9,1-5,20.0,2-2,100.0,6.0,0.0,0.0,0.0,3.0,2.0,15.0,1.0,5.0
Andrew Wiggins,2022-23,Postseason,Sun 4/30,@SAC,W120-100,37.0,5-16,31.3,1-5,20.0,6-10,60.0,7.0,2.0,0.0,1.0,4.0,1.0,17.0,1.0,5.0
Andrew Wiggins,2022-23,Postseason,Fri 4/28,vsSAC,L118-99,33.0,5-13,38.5,0-3,0.0,3-6,50.0,7.0,0.0,2.0,2.0,4.0,0.0,13.0,0.0,3.0
Andrew Wiggins,2022-23,Postseason,Wed 4/26,@SAC,W123-116,39.0,9-16,56.3,2-5,40.0,0-0,0.0,4.0,0.0,2.0,2.0,5.0,1.0,20.0,2.0,5.0
Andrew Wiggins,2022-23,Postseason,Sun 4/23,vsSAC,W126-125,38.0,7-12,58.3,1-2,50.0,3-4,75.0,8.0,3.0,4.0,1.0,3.0,3.0,18.0,1.0,2.0
Andrew Wiggins,2022-23,Postseason,Thu 4/20,vsSAC,W114-97,34.0,8-16,50.0,3-6,50.0,1-2,50.0,7.0,3.0,1.0,0.0,3.0,2.0,20.0,3.0,6.0
Andrew Wiggins,2022-23,Postseason,Mon 4/17,@SAC,L114-106,39.0,9-19,47.4,2-8,25.0,2-2,100.0,5.0,0.0,0.0,1.0,5.0,2.0,22.0,2.0,8.0
Andrew Wiggins,2022-23,Postseason,Sat 4/15,@SAC,L126-123,28.0,7-16,43.8,1-8,12.5,2-4,50.0,3.0,1.0,4.0,0.0,3.0,0.0,17.0,1.0,8.0
Andrew Wiggins,2022-23,Regular,Mon 2/13,vsWSH,W135-126,39.0,12-22,54.5,3-6,50.0,2-2,100.0,7.0,4.0,0.0,0.0,2.0,0.0,29.0,3.0,6.0
Andrew Wiggins,2022-23,Regular,Sat 2/11,vsLAL,L109-103,31.0,5-13,38.5,2-6,33.3,0-0,0.0,5.0,1.0,0.0,0.0,2.0,1.0,12.0,2.0,6.0
Andrew Wiggins,2022-23,Regular,Wed 2/8,@POR,L125-122,37.0,7-14,50.0,2-3,66.7,2-2,100.0,10.0,4.0,0.0,4.0,5.0,0.0,18.0,2.0,3.0
Andrew Wiggins,2022-23,Regular,Mon 2/6,vsOKC,W141-114,32.0,8-15,53.3,1-5,20.0,1-2,50.0,3.0,4.0,1.0,1.0,3.0,2.0,18.0,1.0,5.0
Andrew Wiggins,2022-23,Regular,Sat 2/4,vsDAL,W119-113,29.0,4-6,66.7,0-1,0.0,1-2,50.0,0.0,1.0,0.0,0.0,2.0,3.0,9.0,0.0,1.0
Andrew Wiggins,2022-23,Regular,Thu 2/2,@DEN,L134-117,31.0,3-14,21.4,2-3,66.7,1-3,33.3,10.0,2.0,0.0,0.0,4.0,2.0,9.0,2.0,3.0
Andrew Wiggins,2022-23,Regular,Wed 2/1,@MIN,L119-114 OT,35.0,7-13,53.8,1-4,25.0,1-2,50.0,7.0,3.0,0.0,0.0,2.0,2.0,16.0,1.0,4.0
Andrew Wiggins,2022-23,Regular,Mon 1/30,@OKC,W128-120,32.0,7-13,53.8,1-4,25.0,0-0,0.0,4.0,1.0,2.0,1.0,4.0,1.0,15.0,1.0,4.0
Andrew Wiggins,2022-23,Regular,Sun 1/22,vsBKN,L120-116,27.0,2-9,22.2,0-3,0.0,0-0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0
Andrew Wiggins,2022-23,Regular,Thu 1/19,@BOS,L121-118 OT,40.0,6-18,33.3,3-8,37.5,5-8,62.5,4.0,3.0,4.0,1.0,3.0,2.0,20.0,3.0,8.0
Andrew Wiggins,2022-23,Regular,Mon 1/16,@WSH,W127-118,32.0,6-15,40.0,1-6,16.7,1-1,100.0,3.0,4.0,0.0,0.0,4.0,1.0,14.0,1.0,6.0
Andrew Wiggins,2022-23,Regular,Sun 1/15,@CHI,L132-118,29.0,4-13,30.8,2-8,25.0,1-4,25.0,5.0,3.0,0.0,0.0,3.0,0.0,11.0,2.0,8.0
Andrew Wiggins,2022-23,Regular,Fri 1/13,@SA,W144-113,27.0,7-17,41.2,2-8,25.0,0-0,0.0,5.0,2.0,2.0,1.0,3.0,1.0,16.0,2.0,8.0
Andrew Wiggins,2022-23,Regular,Tue 1/10,vsPHX,L125-113,29.0,5-16,31.3,0-4,0.0,0-1,0.0,5.0,2.0,2.0,5.0,2.0,0.0,10.0,0.0,4.0
Andrew Wiggins,2022-23,Regular,Sat 1/7,vsORL,L115-101,19.0,4-12,33.3,2-7,28.6,2-2,100.0,3.0,2.0,0.0,1.0,3.0,3.0,12.0,2.0,7.0
Andrew Wiggins,2022-23,Regular,Sat 12/3,vsHOU,W120-101,34.0,14-19,73.7,8-10,80.0,0-2,0.0,5.0,2.0,1.0,2.0,1.0,1.0,36.0,8.0,10.0
Andrew Wiggins,2022-23,Regular,Fri 12/2,vsCHI,W119-111,30.0,5-10,50.0,2-6,33.3,0-2,0.0,2.0,1.0,1.0,0.0,2.0,2.0,12.0,2.0,6.0
Andrew Wiggins,2022-23,Regular,Tue 11/29,@DAL,L116-113,27.0,4-11,36.4,1-6,16.7,1-2,50.0,1.0,2.0,0.0,0.0,2.0,0.0,10.0,1.0,6.0
Andrew Wiggins,2022-23,Regular,Sun 11/27,@MIN,W137-114,31.0,7-12,58.3,3-6,50.0,0-0,0.0,3.0,2.0,0.0,2.0,4.0,2.0,17.0,3.0,6.0
Andrew Wiggins,2022-23,Regular,Fri 11/25,vsUTAH,W129-118,34.0,8-20,40.0,3-6,50.0,1-1,100.0,9.0,5.0,1.0,3.0,4.0,2.0,20.0,3.0,6.0
Andrew Wiggins,2022-23,Regular,Wed 11/23,vsLAC,W124-107,32.0,12-18,66.7,6-10,60.0,1-1,100.0,4.0,2.0,1.0,3.0,3.0,0.0,31.0,6.0,10.0
