Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Anthony Davis,2022-23,Postseason,Mon 5/22,vsDEN,L113-111,40.0,6-15,40.0,0-0,0.0,9-10,90.0,14.0,1.0,3.0,1.0,4.0,1.0,21.0,0.0,0.0
Anthony Davis,2022-23,Postseason,Sat 5/20,vsDEN,L119-108,42.0,11-18,61.1,0-0,0.0,6-8,75.0,18.0,1.0,2.0,0.0,3.0,1.0,28.0,0.0,0.0
Anthony Davis,2022-23,Postseason,Thu 5/18,@DEN,L108-103,41.0,4-15,26.7,1-3,33.3,9-11,81.8,14.0,4.0,4.0,1.0,4.0,4.0,18.0,1.0,3.0
Anthony Davis,2022-23,Postseason,Tue 5/16,@DEN,L132-126,42.0,14-23,60.9,1-1,100.0,11-11,100.0,10.0,3.0,2.0,3.0,3.0,0.0,40.0,1.0,1.0
Anthony Davis,2022-23,Postseason,Fri 5/12,vsGS,W122-101,40.0,5-9,55.6,0-0,0.0,7-10,70.0,20.0,3.0,2.0,2.0,3.0,0.0,17.0,0.0,0.0
Anthony Davis,2022-23,Postseason,Wed 5/10,@GS,L121-106,32.0,10-18,55.6,0-0,0.0,3-5,60.0,9.0,3.0,0.0,0.0,4.0,3.0,23.0,0.0,0.0
Anthony Davis,2022-23,Postseason,Mon 5/8,vsGS,W104-101,43.0,10-16,62.5,0-0,0.0,3-3,100.0,15.0,2.0,0.0,3.0,3.0,3.0,23.0,0.0,0.0
Anthony Davis,2022-23,Postseason,Sat 5/6,vsGS,W127-97,33.0,7-10,70.0,0-0,0.0,11-12,91.7,13.0,3.0,4.0,3.0,2.0,3.0,25.0,0.0,0.0
Anthony Davis,2022-23,Postseason,Thu 5/4,@GS,L127-100,33.0,5-11,45.5,0-0,0.0,1-1,100.0,7.0,4.0,3.0,1.0,3.0,4.0,11.0,0.0,0.0
Anthony Davis,2022-23,Postseason,Tue 5/2,@GS,W117-112,44.0,11-19,57.9,0-2,0.0,8-8,100.0,23.0,5.0,4.0,0.0,2.0,1.0,30.0,0.0,2.0
Anthony Davis,2022-23,Postseason,Fri 4/28,vsMEM,W125-85,28.0,6-9,66.7,0-0,0.0,4-4,100.0,14.0,1.0,5.0,0.0,2.0,1.0,16.0,0.0,0.0
Anthony Davis,2022-23,Postseason,Wed 4/26,@MEM,L116-99,35.0,14-23,60.9,1-3,33.3,2-3,66.7,19.0,1.0,2.0,1.0,3.0,1.0,31.0,1.0,3.0
Anthony Davis,2022-23,Postseason,Mon 4/24,vsMEM,W117-111 OT,42.0,4-13,30.8,0-1,0.0,4-6,66.7,11.0,2.0,4.0,2.0,3.0,4.0,12.0,0.0,1.0
