Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Austin Reaves,2022-23,Postseason,Mon 5/22,vsDEN,L113-111,41.0,6-11,54.5,1-2,50.0,4-4,100.0,2.0,3.0,0.0,0.0,4.0,1.0,17.0,1.0,2.0
Austin Reaves,2022-23,Postseason,Sat 5/20,vsDEN,L119-108,40.0,7-10,70.0,3-5,60.0,6-6,100.0,7.0,5.0,0.0,1.0,2.0,4.0,23.0,3.0,5.0
Austin Reaves,2022-23,Postseason,Thu 5/18,@DEN,L108-103,36.0,8-16,50.0,5-9,55.6,1-1,100.0,3.0,5.0,0.0,1.0,3.0,2.0,22.0,5.0,9.0
Austin Reaves,2022-23,Postseason,Tue 5/16,@DEN,L132-126,42.0,7-14,50.0,5-9,55.6,4-4,100.0,2.0,8.0,0.0,0.0,5.0,0.0,23.0,5.0,9.0
Austin Reaves,2022-23,Postseason,Fri 5/12,vsGS,W122-101,39.0,7-12,58.3,4-5,80.0,5-5,100.0,5.0,6.0,0.0,0.0,2.0,2.0,23.0,4.0,5.0
Austin Reaves,2022-23,Postseason,Wed 5/10,@GS,L121-106,36.0,5-12,41.7,3-6,50.0,2-2,100.0,7.0,5.0,0.0,1.0,0.0,1.0,15.0,3.0,6.0
Austin Reaves,2022-23,Postseason,Mon 5/8,vsGS,W104-101,34.0,7-15,46.7,3-6,50.0,4-4,100.0,2.0,4.0,0.0,1.0,2.0,2.0,21.0,3.0,6.0
Austin Reaves,2022-23,Postseason,Sat 5/6,vsGS,W127-97,30.0,2-8,25.0,1-4,25.0,5-7,71.4,2.0,2.0,0.0,2.0,3.0,0.0,10.0,1.0,4.0
Austin Reaves,2022-23,Postseason,Thu 5/4,@GS,L127-100,25.0,3-11,27.3,1-5,20.0,0-0,0.0,4.0,2.0,0.0,0.0,1.0,2.0,7.0,1.0,5.0
Austin Reaves,2022-23,Postseason,Tue 5/2,@GS,W117-112,39.0,4-9,44.4,2-5,40.0,0-0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,10.0,2.0,5.0
Austin Reaves,2022-23,Postseason,Fri 4/28,vsMEM,W125-85,34.0,5-12,41.7,1-7,14.3,0-0,0.0,6.0,8.0,2.0,0.0,2.0,2.0,11.0,1.0,7.0
Austin Reaves,2022-23,Postseason,Wed 4/26,@MEM,L116-99,40.0,4-13,30.8,3-8,37.5,6-6,100.0,8.0,6.0,0.0,1.0,4.0,4.0,17.0,3.0,8.0
Austin Reaves,2022-23,Postseason,Mon 4/24,vsMEM,W117-111 OT,42.0,7-16,43.8,2-5,40.0,7-8,87.5,4.0,6.0,0.0,1.0,4.0,3.0,23.0,2.0,5.0
Austin Reaves,2022-23,Postseason,Sat 4/22,vsMEM,W111-101,35.0,5-10,50.0,1-4,25.0,2-3,66.7,6.0,2.0,0.0,1.0,2.0,1.0,13.0,1.0,4.0
Austin Reaves,2022-23,Postseason,Wed 4/19,@MEM,L103-93,37.0,5-12,41.7,1-3,33.3,1-3,33.3,5.0,4.0,0.0,0.0,2.0,1.0,12.0,1.0,3.0
Austin Reaves,2022-23,Postseason,Sun 4/16,@MEM,W128-112,31.0,8-13,61.5,3-5,60.0,4-4,100.0,3.0,4.0,1.0,1.0,1.0,0.0,23.0,3.0,5.0
Austin Reaves,2022-23,Regular,Sun 4/9,vsUTAH,W128-117,34.0,3-5,60.0,3-4,75.0,3-3,100.0,4.0,6.0,0.0,0.0,2.0,0.0,12.0,3.0,4.0
Austin Reaves,2022-23,Regular,Fri 4/7,vsPHX,W121-107,31.0,9-13,69.2,1-4,25.0,3-5,60.0,0.0,5.0,0.0,1.0,1.0,2.0,22.0,1.0,4.0
Austin Reaves,2022-23,Regular,Wed 4/5,@LAC,L125-118,31.0,6-11,54.5,3-6,50.0,5-5,100.0,4.0,2.0,0.0,0.0,5.0,2.0,20.0,3.0,6.0
Austin Reaves,2022-23,Regular,Tue 4/4,@UTAH,W135-133 OT,42.0,8-13,61.5,4-7,57.1,8-8,100.0,3.0,6.0,0.0,0.0,1.0,2.0,28.0,4.0,7.0
Austin Reaves,2022-23,Regular,Sun 4/2,@HOU,W134-109,33.0,4-7,57.1,1-2,50.0,9-10,90.0,1.0,8.0,0.0,0.0,2.0,2.0,18.0,1.0,2.0
Austin Reaves,2022-23,Regular,Fri 3/31,@MIN,W123-111,30.0,4-9,44.4,2-3,66.7,5-6,83.3,6.0,2.0,0.0,0.0,1.0,2.0,15.0,2.0,3.0
Austin Reaves,2022-23,Regular,Wed 3/29,@CHI,W121-110,29.0,7-8,87.5,1-2,50.0,4-4,100.0,2.0,5.0,0.0,1.0,0.0,1.0,19.0,1.0,2.0
Austin Reaves,2022-23,Regular,Sun 3/26,vsCHI,L118-108,37.0,6-10,60.0,1-3,33.3,0-1,0.0,3.0,7.0,0.0,0.0,2.0,5.0,13.0,1.0,3.0
Austin Reaves,2022-23,Regular,Fri 3/24,vsOKC,W116-111,38.0,3-12,25.0,1-5,20.0,4-4,100.0,6.0,9.0,0.0,0.0,3.0,3.0,11.0,1.0,5.0
Austin Reaves,2022-23,Regular,Wed 3/22,vsPHX,W122-111,39.0,6-10,60.0,1-1,100.0,12-13,92.3,4.0,11.0,0.0,1.0,2.0,2.0,25.0,1.0,1.0
Austin Reaves,2022-23,Regular,Sun 3/19,vsORL,W111-105,30.0,9-14,64.3,1-4,25.0,16-18,88.9,6.0,6.0,0.0,0.0,3.0,3.0,35.0,1.0,4.0
Austin Reaves,2022-23,Regular,Fri 3/17,vsDAL,L111-110,32.0,5-8,62.5,0-1,0.0,6-9,66.7,5.0,2.0,1.0,1.0,1.0,1.0,16.0,0.0,1.0
Austin Reaves,2022-23,Regular,Wed 3/15,@HOU,L114-110,27.0,6-14,42.9,1-7,14.3,11-13,84.6,4.0,7.0,0.0,1.0,1.0,1.0,24.0,1.0,7.0
Austin Reaves,2022-23,Regular,Tue 3/14,@NO,W123-108,29.0,4-5,80.0,3-4,75.0,3-5,60.0,4.0,5.0,0.0,1.0,1.0,4.0,14.0,3.0,4.0
Austin Reaves,2022-23,Regular,Sun 3/12,vsNY,L112-108,25.0,4-6,66.7,1-2,50.0,4-5,80.0,1.0,4.0,0.0,0.0,1.0,3.0,13.0,1.0,2.0
Austin Reaves,2022-23,Regular,Fri 3/10,vsTOR,W122-112,32.0,6-10,60.0,0-2,0.0,6-6,100.0,2.0,5.0,1.0,0.0,3.0,1.0,18.0,0.0,2.0
Austin Reaves,2022-23,Regular,Tue 3/7,vsMEM,W112-103,33.0,6-13,46.2,1-3,33.3,4-6,66.7,4.0,7.0,0.0,1.0,3.0,0.0,17.0,1.0,3.0
Austin Reaves,2022-23,Regular,Sun 3/5,vsGS,W113-105,28.0,5-9,55.6,3-5,60.0,3-4,75.0,2.0,8.0,1.0,1.0,2.0,2.0,16.0,3.0,5.0
Austin Reaves,2022-23,Regular,Fri 3/3,vsMIN,L110-102,21.0,2-9,22.2,0-2,0.0,2-2,100.0,3.0,3.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0
Austin Reaves,2022-23,Regular,Wed 3/1,@OKC,W123-117,25.0,5-5,100.0,1-1,100.0,8-9,88.9,0.0,4.0,0.0,1.0,1.0,1.0,19.0,1.0,1.0
Austin Reaves,2022-23,Regular,Tue 2/28,@MEM,L121-109,27.0,5-8,62.5,4-7,57.1,3-3,100.0,2.0,7.0,1.0,1.0,2.0,4.0,17.0,4.0,7.0
