Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Bam Adebayo,2022-23,Postseason,Mon 6/12,@DEN,L94-89,44.0,9-20,45.0,0-0,0.0,2-2,100.0,12.0,1.0,0.0,1.0,2.0,1.0,20.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Fri 6/9,vsDEN,L108-95,44.0,8-19,42.1,0-0,0.0,4-4,100.0,11.0,3.0,1.0,0.0,1.0,7.0,20.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Wed 6/7,vsDEN,L109-94,41.0,7-21,33.3,0-0,0.0,8-10,80.0,17.0,3.0,1.0,0.0,2.0,0.0,22.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Sun 6/4,@DEN,W111-108,40.0,8-14,57.1,0-0,0.0,5-5,100.0,9.0,4.0,2.0,0.0,4.0,3.0,21.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Thu 6/1,@DEN,L104-93,40.0,13-25,52.0,0-1,0.0,0-0,0.0,13.0,5.0,0.0,0.0,4.0,1.0,26.0,0.0,1.0
Bam Adebayo,2022-23,Postseason,Mon 5/29,@BOS,W103-84,43.0,4-10,40.0,0-0,0.0,4-4,100.0,10.0,7.0,1.0,0.0,3.0,4.0,12.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Sat 5/27,vsBOS,L104-103,46.0,4-16,25.0,0-0,0.0,3-4,75.0,13.0,5.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Thu 5/25,@BOS,L110-97,32.0,8-15,53.3,0-0,0.0,0-0,0.0,8.0,3.0,1.0,2.0,2.0,6.0,16.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Tue 5/23,vsBOS,L116-99,35.0,4-7,57.1,0-0,0.0,2-4,50.0,5.0,0.0,0.0,1.0,4.0,4.0,10.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Sun 5/21,vsBOS,W128-102,26.0,4-5,80.0,0-0,0.0,5-6,83.3,3.0,2.0,1.0,1.0,3.0,3.0,13.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Fri 5/19,@BOS,W111-105,38.0,7-17,41.2,0-0,0.0,8-8,100.0,17.0,9.0,0.0,0.0,5.0,1.0,22.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Wed 5/17,@BOS,W123-116,37.0,9-13,69.2,0-0,0.0,2-5,40.0,8.0,5.0,0.0,1.0,3.0,3.0,20.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Fri 5/12,vsNY,W96-92,39.0,9-20,45.0,0-0,0.0,5-5,100.0,9.0,1.0,1.0,2.0,3.0,2.0,23.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Wed 5/10,@NY,L112-103,39.0,7-11,63.6,0-1,0.0,4-4,100.0,8.0,2.0,1.0,1.0,5.0,2.0,18.0,0.0,1.0
Bam Adebayo,2022-23,Postseason,Mon 5/8,vsNY,W109-101,38.0,10-17,58.8,0-0,0.0,3-5,60.0,13.0,2.0,0.0,1.0,2.0,4.0,23.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Sat 5/6,vsNY,W105-86,36.0,7-14,50.0,0-0,0.0,3-4,75.0,12.0,0.0,1.0,0.0,4.0,1.0,17.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Tue 5/2,@NY,L111-105,38.0,5-10,50.0,0-0,0.0,5-7,71.4,8.0,6.0,1.0,0.0,5.0,1.0,15.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Sun 4/30,@NY,W108-101,37.0,7-13,53.8,0-0,0.0,2-2,100.0,8.0,2.0,0.0,0.0,1.0,2.0,16.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Wed 4/26,@MIL,W128-126 OT,40.0,8-20,40.0,0-1,0.0,4-5,80.0,10.0,10.0,1.0,2.0,6.0,3.0,20.0,0.0,1.0
Bam Adebayo,2022-23,Postseason,Mon 4/24,vsMIL,W119-114,30.0,6-16,37.5,0-0,0.0,3-3,100.0,8.0,2.0,1.0,1.0,3.0,3.0,15.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Sat 4/22,vsMIL,W121-99,30.0,4-10,40.0,0-0,0.0,4-4,100.0,11.0,5.0,1.0,2.0,4.0,3.0,12.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Wed 4/19,@MIL,L138-122,25.0,9-16,56.3,0-0,0.0,0-1,0.0,5.0,1.0,0.0,1.0,1.0,3.0,18.0,0.0,0.0
Bam Adebayo,2022-23,Postseason,Sun 4/16,@MIL,W130-117,33.0,10-18,55.6,0-0,0.0,2-3,66.7,9.0,7.0,0.0,2.0,4.0,5.0,22.0,0.0,0.0
Bam Adebayo,2022-23,Regular,Sun 4/9,vsORL,W123-110,8.0,2-3,66.7,0-0,0.0,0-0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0
Bam Adebayo,2022-23,Regular,Thu 4/6,@PHI,W129-101,24.0,7-11,63.6,0-0,0.0,0-0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
Bam Adebayo,2022-23,Regular,Tue 4/4,@DET,W118-105,31.0,6-10,60.0,0-0,0.0,6-6,100.0,4.0,2.0,0.0,2.0,3.0,1.0,18.0,0.0,0.0
Bam Adebayo,2022-23,Regular,Wed 3/29,@NY,L101-92,35.0,4-10,40.0,0-0,0.0,1-2,50.0,11.0,4.0,0.0,1.0,2.0,3.0,9.0,0.0,0.0
Bam Adebayo,2022-23,Regular,Tue 3/28,@TOR,L106-92,37.0,7-18,38.9,0-0,0.0,7-8,87.5,12.0,4.0,0.0,1.0,2.0,0.0,21.0,0.0,0.0
Bam Adebayo,2022-23,Regular,Sat 3/25,vsBKN,L129-100,35.0,8-14,57.1,0-0,0.0,0-0,0.0,7.0,2.0,1.0,1.0,3.0,4.0,16.0,0.0,0.0
Bam Adebayo,2022-23,Regular,Wed 3/22,vsNY,W127-120,40.0,5-11,45.5,0-0,0.0,5-6,83.3,7.0,3.0,1.0,1.0,3.0,3.0,15.0,0.0,0.0
Bam Adebayo,2022-23,Regular,Sun 3/19,@DET,W112-100,39.0,7-12,58.3,0-0,0.0,8-9,88.9,10.0,5.0,3.0,0.0,2.0,3.0,22.0,0.0,0.0
Bam Adebayo,2022-23,Regular,Sat 3/18,@CHI,L113-99,34.0,9-17,52.9,0-0,0.0,5-8,62.5,7.0,4.0,0.0,2.0,3.0,3.0,23.0,0.0,0.0
Bam Adebayo,2022-23,Regular,Wed 3/15,vsMEM,W138-119,33.0,10-15,66.7,0-0,0.0,6-8,75.0,8.0,3.0,3.0,0.0,3.0,3.0,26.0,0.0,0.0
