Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Ben Simmons,2022-23,Regular,Wed 2/15,vsMIA,W116-105,20.0,1-2,50.0,0-0,0.0,0-0,0.0,4.0,4.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0
Ben Simmons,2022-23,Regular,Mon 2/13,@NY,L124-106,13.0,1-2,50.0,0-0,0.0,0-0,0.0,3.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0
Ben Simmons,2022-23,Regular,Sat 2/11,vsPHI,L101-98,16.0,2-3,66.7,0-0,0.0,0-0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0
Ben Simmons,2022-23,Regular,Thu 2/9,vsCHI,W116-105,20.0,4-7,57.1,0-1,0.0,0-0,0.0,8.0,4.0,0.0,0.0,3.0,1.0,8.0,0.0,1.0
Ben Simmons,2022-23,Regular,Tue 2/7,vsPHX,L116-112,27.0,1-2,50.0,0-0,0.0,0-1,0.0,4.0,6.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0
Ben Simmons,2022-23,Regular,Thu 1/26,vsDET,L130-122,20.0,0-3,0.0,0-0,0.0,0-0,0.0,1.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
Ben Simmons,2022-23,Regular,Wed 1/25,@PHI,L137-133,29.0,5-7,71.4,0-0,0.0,2-3,66.7,5.0,5.0,1.0,0.0,4.0,2.0,12.0,0.0,0.0
Ben Simmons,2022-23,Regular,Sun 1/22,@GS,W120-116,29.0,3-6,50.0,0-0,0.0,1-2,50.0,3.0,11.0,1.0,1.0,3.0,2.0,7.0,0.0,0.0
Ben Simmons,2022-23,Regular,Fri 1/20,@UTAH,W117-106,37.0,3-7,42.9,0-0,0.0,0-0,0.0,9.0,5.0,0.0,2.0,1.0,4.0,6.0,0.0,0.0
Ben Simmons,2022-23,Regular,Thu 1/19,@PHX,L117-112,18.0,3-4,75.0,0-0,0.0,1-3,33.3,4.0,6.0,0.0,0.0,5.0,4.0,7.0,0.0,0.0
Ben Simmons,2022-23,Regular,Tue 1/17,@SA,L106-98,34.0,4-10,40.0,0-0,0.0,2-2,100.0,10.0,11.0,2.0,4.0,4.0,7.0,10.0,0.0,0.0
Ben Simmons,2022-23,Regular,Thu 1/12,vsBOS,L109-98,26.0,0-3,0.0,0-0,0.0,0-0,0.0,9.0,13.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0
Ben Simmons,2022-23,Regular,Sun 1/8,@MIA,W102-101,30.0,2-4,50.0,0-0,0.0,0-0,0.0,7.0,7.0,2.0,0.0,5.0,2.0,4.0,0.0,0.0
Ben Simmons,2022-23,Regular,Fri 1/6,@NO,W108-102,34.0,3-6,50.0,0-0,0.0,0-0,0.0,6.0,9.0,1.0,3.0,4.0,1.0,6.0,0.0,0.0
Ben Simmons,2022-23,Regular,Wed 1/4,@CHI,L121-112,26.0,3-5,60.0,0-0,0.0,1-4,25.0,9.0,2.0,0.0,3.0,4.0,4.0,7.0,0.0,0.0
