Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Bennedict Mathurin,2022-23,Regular,Sun 4/9,@NY,W141-136,37.0,6-13,46.2,2-3,66.7,12-13,92.3,3.0,6.0,1.0,0.0,2.0,3.0,26.0,2.0,3.0
Bennedict Mathurin,2022-23,Regular,Fri 4/7,vsDET,L122-115,39.0,4-10,40.0,0-1,0.0,8-10,80.0,4.0,3.0,0.0,2.0,5.0,5.0,16.0,0.0,1.0
Bennedict Mathurin,2022-23,Regular,Wed 4/5,vsNY,L138-129,32.0,6-17,35.3,1-3,33.3,4-6,66.7,8.0,4.0,0.0,0.0,3.0,6.0,17.0,1.0,3.0
Bennedict Mathurin,2022-23,Regular,Sun 4/2,@CLE,L115-105,33.0,5-12,41.7,1-2,50.0,8-8,100.0,9.0,0.0,2.0,0.0,5.0,4.0,19.0,1.0,2.0
Bennedict Mathurin,2022-23,Regular,Fri 3/31,vsOKC,W121-117,35.0,5-8,62.5,1-3,33.3,4-5,80.0,4.0,0.0,0.0,0.0,1.0,1.0,15.0,1.0,3.0
Bennedict Mathurin,2022-23,Regular,Wed 3/29,vsMIL,L149-136,41.0,11-21,52.4,1-5,20.0,6-9,66.7,9.0,2.0,0.0,2.0,1.0,0.0,29.0,1.0,5.0
Bennedict Mathurin,2022-23,Regular,Mon 3/27,vsDAL,L127-104,38.0,9-19,47.4,2-8,25.0,6-7,85.7,4.0,2.0,1.0,1.0,1.0,4.0,26.0,2.0,8.0
Bennedict Mathurin,2022-23,Regular,Sat 3/25,@ATL,L143-130,24.0,2-4,50.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0
Bennedict Mathurin,2022-23,Regular,Fri 3/24,@BOS,L120-95,25.0,1-4,25.0,0-1,0.0,0-0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0
Bennedict Mathurin,2022-23,Regular,Wed 3/22,@TOR,W118-114,28.0,3-5,60.0,3-3,100.0,6-6,100.0,2.0,0.0,1.0,1.0,4.0,3.0,15.0,3.0,3.0
Bennedict Mathurin,2022-23,Regular,Mon 3/20,@CHA,L115-109,30.0,7-10,70.0,1-1,100.0,3-4,75.0,3.0,2.0,0.0,1.0,2.0,3.0,18.0,1.0,1.0
Bennedict Mathurin,2022-23,Regular,Thu 3/9,vsHOU,W134-125 OT,3.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Bennedict Mathurin,2022-23,Regular,Mon 3/6,vsPHI,L147-143,30.0,5-11,45.5,0-2,0.0,4-8,50.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0
Bennedict Mathurin,2022-23,Regular,Sun 3/5,@CHI,W125-122,34.0,5-12,41.7,0-4,0.0,7-7,100.0,4.0,3.0,0.0,1.0,1.0,2.0,17.0,0.0,4.0
Bennedict Mathurin,2022-23,Regular,Thu 3/2,@SA,L110-99,15.0,3-6,50.0,1-2,50.0,0-0,0.0,4.0,0.0,1.0,0.0,2.0,3.0,7.0,1.0,2.0
Bennedict Mathurin,2022-23,Regular,Tue 2/28,@DAL,W124-122,26.0,1-7,14.3,0-2,0.0,4-4,100.0,4.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,2.0
Bennedict Mathurin,2022-23,Regular,Sat 2/25,@ORL,W121-108,29.0,6-13,46.2,2-4,50.0,5-6,83.3,2.0,1.0,1.0,1.0,4.0,1.0,19.0,2.0,4.0
Bennedict Mathurin,2022-23,Regular,Thu 2/23,vsBOS,L142-138 OT,30.0,7-14,50.0,2-4,50.0,3-4,75.0,7.0,4.0,0.0,2.0,6.0,1.0,19.0,2.0,4.0
Bennedict Mathurin,2022-23,Regular,Wed 2/15,vsCHI,W117-113,23.0,5-10,50.0,2-4,50.0,2-3,66.7,4.0,2.0,0.0,2.0,1.0,2.0,14.0,2.0,4.0
Bennedict Mathurin,2022-23,Regular,Mon 2/13,vsUTAH,L123-117,32.0,8-13,61.5,1-3,33.3,4-4,100.0,4.0,2.0,1.0,0.0,1.0,3.0,21.0,1.0,3.0
Bennedict Mathurin,2022-23,Regular,Sat 2/11,@WSH,L127-113,31.0,7-18,38.9,1-7,14.3,1-1,100.0,3.0,4.0,0.0,1.0,4.0,0.0,16.0,1.0,7.0
Bennedict Mathurin,2022-23,Regular,Fri 2/10,vsPHX,L117-104,33.0,7-15,46.7,1-3,33.3,7-7,100.0,3.0,0.0,0.0,1.0,1.0,1.0,22.0,1.0,3.0
Bennedict Mathurin,2022-23,Regular,Wed 2/8,@MIA,L116-111,13.0,0-2,0.0,0-0,0.0,2-2,100.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
Bennedict Mathurin,2022-23,Regular,Sun 2/5,vsCLE,L122-103,27.0,4-11,36.4,0-2,0.0,1-1,100.0,6.0,0.0,0.0,0.0,3.0,2.0,9.0,0.0,2.0
Bennedict Mathurin,2022-23,Regular,Fri 2/3,vsSAC,W107-104,28.0,4-9,44.4,1-3,33.3,5-6,83.3,4.0,0.0,0.0,1.0,1.0,3.0,14.0,1.0,3.0
Bennedict Mathurin,2022-23,Regular,Thu 2/2,vsLAL,L112-111,20.0,2-5,40.0,1-3,33.3,0-0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,5.0,1.0,3.0
Bennedict Mathurin,2022-23,Regular,Sun 1/29,@MEM,L112-100,31.0,9-20,45.0,2-6,33.3,7-8,87.5,8.0,3.0,0.0,1.0,0.0,2.0,27.0,2.0,6.0
Bennedict Mathurin,2022-23,Regular,Fri 1/27,vsMIL,L141-131,31.0,6-12,50.0,1-4,25.0,8-9,88.9,8.0,0.0,0.0,1.0,3.0,5.0,21.0,1.0,4.0
Bennedict Mathurin,2022-23,Regular,Wed 1/25,@ORL,L126-120,33.0,7-18,38.9,2-6,33.3,10-12,83.3,3.0,4.0,1.0,1.0,4.0,0.0,26.0,2.0,6.0
Bennedict Mathurin,2022-23,Regular,Tue 1/24,vsCHI,W116-110,34.0,10-17,58.8,1-5,20.0,5-7,71.4,7.0,2.0,0.0,0.0,2.0,0.0,26.0,1.0,5.0
Bennedict Mathurin,2022-23,Regular,Sat 1/21,@PHX,L112-107,38.0,6-17,35.3,0-3,0.0,11-11,100.0,5.0,0.0,0.0,1.0,5.0,0.0,23.0,0.0,3.0
Bennedict Mathurin,2022-23,Regular,Fri 1/20,@DEN,L134-111,32.0,5-10,50.0,0-2,0.0,9-11,81.8,2.0,1.0,0.0,0.0,1.0,1.0,19.0,0.0,2.0
Bennedict Mathurin,2022-23,Regular,Wed 1/18,@OKC,L126-106,22.0,4-10,40.0,3-6,50.0,2-2,100.0,5.0,0.0,0.0,0.0,2.0,2.0,13.0,3.0,6.0
Bennedict Mathurin,2022-23,Regular,Mon 1/16,@MIL,L132-119,28.0,3-8,37.5,0-2,0.0,6-6,100.0,8.0,1.0,0.0,0.0,2.0,4.0,12.0,0.0,2.0
Bennedict Mathurin,2022-23,Regular,Sat 1/14,vsMEM,L130-112,24.0,5-13,38.5,2-4,50.0,4-4,100.0,3.0,0.0,0.0,0.0,1.0,2.0,16.0,2.0,4.0
Bennedict Mathurin,2022-23,Regular,Fri 1/13,vsATL,L113-111,39.0,9-18,50.0,0-1,0.0,8-11,72.7,5.0,3.0,0.0,1.0,3.0,3.0,26.0,0.0,1.0
Bennedict Mathurin,2022-23,Regular,Wed 1/11,@NY,L119-113,28.0,7-13,53.8,1-4,25.0,5-9,55.6,6.0,1.0,0.0,0.0,3.0,2.0,20.0,1.0,4.0
Bennedict Mathurin,2022-23,Regular,Sun 1/8,vsCHA,W116-111,26.0,1-9,11.1,0-3,0.0,2-3,66.7,5.0,3.0,1.0,0.0,2.0,2.0,4.0,0.0,3.0
Bennedict Mathurin,2022-23,Regular,Fri 1/6,vsPOR,W108-99,21.0,6-10,60.0,0-1,0.0,7-7,100.0,2.0,0.0,0.0,2.0,4.0,4.0,19.0,0.0,1.0
Bennedict Mathurin,2022-23,Regular,Wed 1/4,@PHI,L129-126 OT,31.0,5-15,33.3,0-2,0.0,9-10,90.0,4.0,2.0,0.0,1.0,4.0,1.0,19.0,0.0,2.0
Bennedict Mathurin,2022-23,Regular,Mon 1/2,vsTOR,W122-114,27.0,6-9,66.7,2-2,100.0,7-10,70.0,3.0,0.0,0.0,1.0,0.0,2.0,21.0,2.0,2.0
Bennedict Mathurin,2022-23,Regular,Sat 12/31,vsLAC,W131-130,20.0,4-9,44.4,0-3,0.0,7-10,70.0,4.0,1.0,0.0,0.0,1.0,2.0,15.0,0.0,3.0
Bennedict Mathurin,2022-23,Regular,Thu 12/29,vsCLE,W135-126,31.0,7-14,50.0,1-3,33.3,8-9,88.9,3.0,1.0,0.0,1.0,2.0,2.0,23.0,1.0,3.0
Bennedict Mathurin,2022-23,Regular,Tue 12/27,vsATL,W129-114,26.0,6-10,60.0,0-4,0.0,6-6,100.0,2.0,3.0,0.0,0.0,2.0,2.0,18.0,0.0,4.0
Bennedict Mathurin,2022-23,Regular,Mon 12/26,@NO,L113-93,22.0,4-11,36.4,1-5,20.0,6-6,100.0,1.0,2.0,0.0,1.0,3.0,1.0,15.0,1.0,5.0
Bennedict Mathurin,2022-23,Regular,Fri 12/23,@MIA,W111-108,20.0,2-6,33.3,1-1,100.0,1-2,50.0,2.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,1.0
Bennedict Mathurin,2022-23,Regular,Wed 12/21,@BOS,W117-112,24.0,3-9,33.3,1-4,25.0,0-0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,7.0,1.0,4.0
Bennedict Mathurin,2022-23,Regular,Sun 12/18,vsNY,L109-106,29.0,4-16,25.0,0-2,0.0,7-7,100.0,6.0,0.0,1.0,0.0,1.0,2.0,15.0,0.0,2.0
Bennedict Mathurin,2022-23,Regular,Fri 12/16,@CLE,L118-112,29.0,7-16,43.8,2-6,33.3,6-8,75.0,3.0,2.0,0.0,1.0,3.0,0.0,22.0,2.0,6.0
Bennedict Mathurin,2022-23,Regular,Wed 12/14,vsGS,W125-119,36.0,8-14,57.1,4-7,57.1,4-4,100.0,6.0,3.0,0.0,1.0,5.0,1.0,24.0,4.0,7.0
Bennedict Mathurin,2022-23,Regular,Mon 12/12,vsMIA,L87-82,28.0,2-7,28.6,1-6,16.7,4-4,100.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,6.0
Bennedict Mathurin,2022-23,Regular,Sat 12/10,vsBKN,L136-133,26.0,4-9,44.4,0-3,0.0,5-5,100.0,7.0,3.0,0.0,0.0,2.0,2.0,13.0,0.0,3.0
Bennedict Mathurin,2022-23,Regular,Fri 12/9,vsWSH,W121-111,32.0,8-15,53.3,2-7,28.6,0-0,0.0,8.0,1.0,0.0,1.0,1.0,4.0,18.0,2.0,7.0
Bennedict Mathurin,2022-23,Regular,Wed 12/7,@MIN,L121-115,32.0,5-16,31.3,1-5,20.0,3-6,50.0,5.0,1.0,0.0,1.0,0.0,2.0,14.0,1.0,5.0
Bennedict Mathurin,2022-23,Regular,Mon 12/5,@GS,W112-104,40.0,4-16,25.0,0-6,0.0,6-8,75.0,2.0,1.0,0.0,0.0,1.0,0.0,14.0,0.0,6.0
Bennedict Mathurin,2022-23,Regular,Sun 12/4,@POR,L116-100,32.0,5-15,33.3,0-2,0.0,0-0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,10.0,0.0,2.0
Bennedict Mathurin,2022-23,Regular,Fri 12/2,@UTAH,L139-119,25.0,3-10,30.0,0-1,0.0,6-9,66.7,4.0,3.0,0.0,0.0,4.0,0.0,12.0,0.0,1.0
Bennedict Mathurin,2022-23,Regular,Wed 11/30,@SAC,L137-114,26.0,6-17,35.3,0-4,0.0,10-11,90.9,2.0,0.0,0.0,1.0,2.0,2.0,22.0,0.0,4.0
Bennedict Mathurin,2022-23,Regular,Mon 11/28,@LAL,W116-115,32.0,10-22,45.5,3-8,37.5,0-0,0.0,8.0,1.0,0.0,1.0,0.0,2.0,23.0,3.0,8.0
Bennedict Mathurin,2022-23,Regular,Sun 11/27,@LAC,L114-100,25.0,4-11,36.4,1-3,33.3,0-0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,9.0,1.0,3.0
Bennedict Mathurin,2022-23,Regular,Fri 11/25,vsBKN,W128-117,30.0,6-15,40.0,2-7,28.6,6-9,66.7,4.0,0.0,1.0,2.0,0.0,0.0,20.0,2.0,7.0
Bennedict Mathurin,2022-23,Regular,Wed 11/23,vsMIN,L115-101,33.0,5-11,45.5,2-2,100.0,9-12,75.0,3.0,0.0,0.0,1.0,1.0,2.0,21.0,2.0,2.0
Bennedict Mathurin,2022-23,Regular,Mon 11/21,vsORL,W123-102,27.0,6-13,46.2,2-6,33.3,8-10,80.0,5.0,1.0,0.0,0.0,3.0,3.0,22.0,2.0,6.0
Bennedict Mathurin,2022-23,Regular,Sat 11/19,vsORL,W114-113,27.0,4-12,33.3,2-7,28.6,2-2,100.0,4.0,1.0,0.0,0.0,1.0,2.0,12.0,2.0,7.0
Bennedict Mathurin,2022-23,Regular,Fri 11/18,@HOU,W99-91,29.0,4-14,28.6,1-5,20.0,6-8,75.0,4.0,2.0,0.0,2.0,3.0,2.0,15.0,1.0,5.0
Bennedict Mathurin,2022-23,Regular,Wed 11/16,@CHA,W125-113,22.0,7-13,53.8,1-2,50.0,5-6,83.3,3.0,0.0,0.0,0.0,1.0,1.0,20.0,1.0,2.0
Bennedict Mathurin,2022-23,Regular,Sat 11/12,vsTOR,W118-104,30.0,4-10,40.0,3-4,75.0,4-6,66.7,8.0,3.0,0.0,0.0,2.0,1.0,15.0,3.0,4.0
Bennedict Mathurin,2022-23,Regular,Wed 11/9,vsDEN,L122-119,25.0,10-17,58.8,6-9,66.7,4-6,66.7,2.0,0.0,0.0,1.0,3.0,4.0,30.0,6.0,9.0
Bennedict Mathurin,2022-23,Regular,Mon 11/7,vsNO,W129-122,30.0,2-8,25.0,1-6,16.7,3-3,100.0,2.0,5.0,0.0,0.0,1.0,4.0,8.0,1.0,6.0
Bennedict Mathurin,2022-23,Regular,Fri 11/4,vsMIA,W101-99,37.0,5-11,45.5,3-7,42.9,10-12,83.3,1.0,2.0,1.0,0.0,1.0,3.0,23.0,3.0,7.0
Bennedict Mathurin,2022-23,Regular,Mon 10/31,@BKN,L116-109,22.0,6-12,50.0,2-5,40.0,2-3,66.7,2.0,1.0,0.0,0.0,1.0,4.0,16.0,2.0,5.0
Bennedict Mathurin,2022-23,Regular,Sat 10/29,@BKN,W125-116,33.0,8-16,50.0,6-9,66.7,10-10,100.0,5.0,2.0,0.0,0.0,4.0,2.0,32.0,6.0,9.0
Bennedict Mathurin,2022-23,Regular,Fri 10/28,@WSH,W127-117,23.0,4-11,36.4,1-4,25.0,2-2,100.0,2.0,2.0,0.0,0.0,1.0,1.0,11.0,1.0,4.0
Bennedict Mathurin,2022-23,Regular,Wed 10/26,@CHI,L124-109,27.0,3-11,27.3,0-3,0.0,9-10,90.0,2.0,4.0,0.0,2.0,2.0,2.0,15.0,0.0,3.0
Bennedict Mathurin,2022-23,Regular,Mon 10/24,@PHI,L120-106,25.0,6-16,37.5,1-7,14.3,4-4,100.0,4.0,2.0,0.0,0.0,3.0,3.0,17.0,1.0,7.0
Bennedict Mathurin,2022-23,Regular,Sat 10/22,vsDET,W124-115,31.0,10-18,55.6,5-8,62.5,2-2,100.0,7.0,2.0,0.0,0.0,3.0,2.0,27.0,5.0,8.0
Bennedict Mathurin,2022-23,Regular,Fri 10/21,vsSA,L137-134,28.0,8-15,53.3,3-6,50.0,7-8,87.5,5.0,2.0,0.0,0.0,3.0,0.0,26.0,3.0,6.0
Bennedict Mathurin,2022-23,Regular,Wed 10/19,vsWSH,L114-107,28.0,7-15,46.7,3-7,42.9,2-5,40.0,7.0,2.0,0.0,2.0,3.0,3.0,19.0,3.0,7.0
Bennedict Mathurin,2022-23,Preseason,Fri 10/14,vsHOU,L122-114,27.0,7-18,38.9,0-4,0.0,4-6,66.7,5.0,3.0,0.0,0.0,0.0,2.0,18.0,0.0,4.0
Bennedict Mathurin,2022-23,Preseason,Wed 10/12,vsNY,W109-100,30.0,8-13,61.5,0-2,0.0,11-12,91.7,4.0,1.0,0.0,1.0,6.0,2.0,27.0,0.0,2.0
Bennedict Mathurin,2022-23,Preseason,Fri 10/7,@NY,L131-114,18.0,7-15,46.7,2-3,66.7,3-4,75.0,5.0,0.0,0.0,1.0,2.0,2.0,19.0,2.0,3.0
Bennedict Mathurin,2022-23,Preseason,Wed 10/5,@CHA,W122-97,19.0,5-10,50.0,0-4,0.0,5-5,100.0,1.0,1.0,0.0,0.0,2.0,1.0,15.0,0.0,4.0
