Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Bismack Biyombo,2022-23,Postseason,Thu 5/11,vsDEN,L125-100,8.0,1-1,100.0,0-0,0.0,0-2,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
Bismack Biyombo,2022-23,Postseason,Mon 5/1,@DEN,L97-87,10.0,1-2,50.0,0-0,0.0,0-0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
Bismack Biyombo,2022-23,Postseason,Sat 4/29,@DEN,L125-107,6.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Bismack Biyombo,2022-23,Postseason,Tue 4/25,vsLAC,W136-130,12.0,2-4,50.0,0-0,0.0,4-5,80.0,8.0,2.0,3.0,0.0,5.0,1.0,8.0,0.0,0.0
Bismack Biyombo,2022-23,Postseason,Sat 4/22,@LAC,W112-100,12.0,1-2,50.0,0-0,0.0,1-2,50.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0
Bismack Biyombo,2022-23,Postseason,Thu 4/20,@LAC,W129-124,11.0,1-1,100.0,0-0,0.0,2-5,40.0,4.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0
Bismack Biyombo,2022-23,Postseason,Tue 4/18,vsLAC,W123-109,15.0,3-5,60.0,0-0,0.0,0-0,0.0,5.0,2.0,3.0,0.0,2.0,1.0,6.0,0.0,0.0
Bismack Biyombo,2022-23,Postseason,Sun 4/16,vsLAC,L115-110,5.0,0-0,0.0,0-0,0.0,2-4,50.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
Bismack Biyombo,2022-23,Regular,Fri 4/7,@LAL,L121-107,12.0,2-3,66.7,0-0,0.0,0-0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0
Bismack Biyombo,2022-23,Regular,Thu 4/6,vsDEN,W119-115,11.0,1-3,33.3,0-0,0.0,2-2,100.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0
Bismack Biyombo,2022-23,Regular,Tue 4/4,vsSA,W115-94,16.0,5-7,71.4,0-0,0.0,0-0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0
Bismack Biyombo,2022-23,Regular,Sun 4/2,@OKC,W128-118,15.0,1-1,100.0,0-0,0.0,1-1,100.0,6.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0
Bismack Biyombo,2022-23,Regular,Fri 3/31,vsDEN,W100-93,20.0,3-8,37.5,0-0,0.0,3-4,75.0,8.0,1.0,3.0,0.0,1.0,0.0,9.0,0.0,0.0
