Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Boban Marjanovic,2022-23,Regular,Sun 4/9,@WSH,W114-109,13.0,5-7,71.4,0-0,0.0,0-1,0.0,6.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Fri 4/7,@CHA,W112-109,7.0,2-2,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Sun 4/2,vsLAL,L134-109,4.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Fri 3/31,vsDET,W121-115,8.0,0-0,0.0,0-0,0.0,2-2,100.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Mon 3/27,@NY,L137-115,11.0,0-2,0.0,0-0,0.0,0-0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Fri 3/24,@MEM,L151-114,10.0,2-3,66.7,0-0,0.0,0-0,0.0,5.0,2.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Fri 3/17,vsNO,W114-112,2.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Sun 3/5,vsSA,W142-110,7.0,1-1,100.0,0-0,0.0,0-0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Sat 3/4,@SA,W122-110,11.0,2-3,66.7,0-0,0.0,0-1,0.0,3.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Wed 3/1,vsMEM,L113-99,4.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Tue 2/28,vsDEN,L133-112,5.0,3-4,75.0,0-0,0.0,2-2,100.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Sun 2/26,@POR,L131-114,6.0,4-5,80.0,0-0,0.0,2-4,50.0,3.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Wed 2/15,@OKC,L133-96,7.0,1-3,33.3,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Mon 2/13,@PHI,L123-104,4.0,2-2,100.0,0-0,0.0,3-3,100.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Sat 2/4,@OKC,L153-121,6.0,1-2,50.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Thu 1/26,vsCLE,L113-95,6.0,2-3,66.7,0-0,0.0,0-0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Sun 1/15,@LAC,L121-100,2.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Fri 1/13,@SAC,L139-114,4.0,1-3,33.3,0-0,0.0,1-2,50.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Wed 1/4,@NO,L119-108,4.0,2-2,100.0,0-0,0.0,1-1,100.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Sat 12/31,vsNY,L108-88,8.0,2-2,100.0,0-0,0.0,2-2,100.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Thu 12/29,@DAL,L129-114,4.0,3-4,75.0,0-0,0.0,0-0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Mon 12/19,vsSA,L124-105,4.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Sat 12/17,vsPOR,L107-95,4.0,0-0,0.0,0-0,0.0,2-2,100.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Thu 12/8,@SA,L118-109,5.0,3-3,100.0,0-0,0.0,1-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Mon 11/28,@DEN,L129-113,6.0,1-3,33.3,0-1,0.0,1-1,100.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0
Boban Marjanovic,2022-23,Regular,Mon 11/14,vsLAC,L122-106,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Sat 11/12,@NO,L119-106,4.0,1-1,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Sat 11/5,@MIN,L129-117,3.0,0-1,0.0,0-0,0.0,1-2,50.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Wed 10/26,@UTAH,L109-101,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Mon 10/24,vsUTAH,W114-108,4.0,0-0,0.0,0-0,0.0,1-2,50.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Boban Marjanovic,2022-23,Regular,Sat 10/22,@MIL,L125-105,4.0,1-2,50.0,0-0,0.0,1-1,100.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Boban Marjanovic,2022-23,Preseason,Fri 10/14,@IND,W122-114,5.0,1-1,100.0,0-0,0.0,0-0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
Boban Marjanovic,2022-23,Preseason,Mon 10/10,@MIA,L118-110,8.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
Boban Marjanovic,2022-23,Preseason,Fri 10/7,vsTOR,W116-100,1.0,1-1,100.0,0-0,0.0,1-2,50.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Boban Marjanovic,2022-23,Preseason,Sun 10/2,vsSA,W134-96,7.0,2-2,100.0,0-0,0.0,0-0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
