Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Bogdan Bogdanovic,2022-23,Postseason,Thu 4/27,vsBOS,L128-120,20.0,5-8,62.5,1-4,25.0,1-3,33.3,0.0,1.0,0.0,0.0,1.0,0.0,12.0,1.0,4.0
Bogdan Bogdanovic,2022-23,Postseason,Tue 4/25,@BOS,W119-117,35.0,6-9,66.7,3-6,50.0,3-3,100.0,6.0,5.0,2.0,1.0,2.0,0.0,18.0,3.0,6.0
Bogdan Bogdanovic,2022-23,Postseason,Sun 4/23,vsBOS,L129-121,19.0,3-8,37.5,2-5,40.0,0-0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,8.0,2.0,5.0
Bogdan Bogdanovic,2022-23,Postseason,Fri 4/21,vsBOS,W130-122,22.0,6-8,75.0,3-4,75.0,0-0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,3.0,4.0
Bogdan Bogdanovic,2022-23,Postseason,Tue 4/18,@BOS,L119-106,33.0,7-11,63.6,4-7,57.1,0-0,0.0,2.0,4.0,0.0,2.0,4.0,1.0,18.0,4.0,7.0
Bogdan Bogdanovic,2022-23,Postseason,Sat 4/15,@BOS,L112-99,28.0,3-10,30.0,2-7,28.6,1-1,100.0,4.0,4.0,2.0,2.0,2.0,1.0,9.0,2.0,7.0
Bogdan Bogdanovic,2022-23,Regular,Fri 4/7,vsPHI,L136-131 OT,18.0,3-6,50.0,2-4,50.0,1-1,100.0,2.0,1.0,0.0,1.0,0.0,2.0,9.0,2.0,4.0
Bogdan Bogdanovic,2022-23,Regular,Tue 4/4,@CHI,W123-105,33.0,9-15,60.0,5-10,50.0,3-3,100.0,4.0,5.0,0.0,0.0,2.0,1.0,26.0,5.0,10.0
Bogdan Bogdanovic,2022-23,Regular,Sun 4/2,vsDAL,W132-130 OT,25.0,6-14,42.9,4-10,40.0,0-0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,4.0,10.0
Bogdan Bogdanovic,2022-23,Regular,Fri 3/31,@BKN,L124-107,24.0,4-7,57.1,2-5,40.0,2-2,100.0,3.0,5.0,0.0,1.0,2.0,1.0,12.0,2.0,5.0
Bogdan Bogdanovic,2022-23,Regular,Tue 3/28,vsCLE,W120-118,22.0,4-8,50.0,3-6,50.0,1-1,100.0,2.0,2.0,0.0,1.0,1.0,0.0,12.0,3.0,6.0
Bogdan Bogdanovic,2022-23,Regular,Sun 3/26,vsMEM,L123-119,22.0,4-9,44.4,2-7,28.6,0-0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,10.0,2.0,7.0
Bogdan Bogdanovic,2022-23,Regular,Sat 3/25,vsIND,W143-130,32.0,4-8,50.0,1-2,50.0,0-0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,9.0,1.0,2.0
Bogdan Bogdanovic,2022-23,Regular,Wed 3/22,@MIN,L125-124,31.0,5-11,45.5,1-6,16.7,0-0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,11.0,1.0,6.0
Bogdan Bogdanovic,2022-23,Regular,Tue 3/21,vsDET,W129-107,27.0,5-11,45.5,4-9,44.4,4-5,80.0,1.0,3.0,0.0,0.0,2.0,2.0,18.0,4.0,9.0
Bogdan Bogdanovic,2022-23,Regular,Sun 3/19,@SA,L126-118,22.0,4-8,50.0,2-4,50.0,3-3,100.0,2.0,1.0,0.0,0.0,0.0,2.0,13.0,2.0,4.0
Bogdan Bogdanovic,2022-23,Regular,Fri 3/17,vsGS,W127-119,26.0,5-11,45.5,4-8,50.0,0-0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,14.0,4.0,8.0
Bogdan Bogdanovic,2022-23,Regular,Mon 3/13,vsMIN,L136-115,20.0,1-8,12.5,0-4,0.0,0-0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0
Bogdan Bogdanovic,2022-23,Regular,Fri 3/10,@WSH,W114-107,22.0,5-11,45.5,4-8,50.0,1-1,100.0,2.0,3.0,0.0,0.0,3.0,2.0,15.0,4.0,8.0
Bogdan Bogdanovic,2022-23,Regular,Wed 3/8,@WSH,W122-120,24.0,5-7,71.4,2-3,66.7,2-2,100.0,8.0,5.0,0.0,2.0,1.0,0.0,14.0,2.0,3.0
Bogdan Bogdanovic,2022-23,Regular,Mon 3/6,@MIA,L130-128,24.0,4-8,50.0,2-5,40.0,2-3,66.7,2.0,2.0,0.0,1.0,1.0,0.0,12.0,2.0,5.0
Bogdan Bogdanovic,2022-23,Regular,Sat 3/4,@MIA,L117-109,26.0,4-9,44.4,3-5,60.0,2-2,100.0,0.0,2.0,0.0,1.0,4.0,3.0,13.0,3.0,5.0
Bogdan Bogdanovic,2022-23,Regular,Fri 3/3,vsPOR,W129-111,23.0,3-9,33.3,1-5,20.0,0-0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,7.0,1.0,5.0
Bogdan Bogdanovic,2022-23,Regular,Tue 2/28,vsWSH,L119-116,20.0,4-7,57.1,4-5,80.0,4-4,100.0,2.0,2.0,0.0,0.0,0.0,2.0,16.0,4.0,5.0
Bogdan Bogdanovic,2022-23,Regular,Sun 2/26,vsBKN,W129-127,28.0,7-11,63.6,5-8,62.5,3-3,100.0,6.0,3.0,0.0,3.0,1.0,2.0,22.0,5.0,8.0
Bogdan Bogdanovic,2022-23,Regular,Fri 2/24,vsCLE,W136-119,22.0,4-5,80.0,2-3,66.7,0-0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,10.0,2.0,3.0
