Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Bones Hyland,2022-23,Postseason,Tue 4/25,@PHX,L136-130,15.0,4-13,30.8,1-4,25.0,0-0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,4.0
Bones Hyland,2022-23,Postseason,Sat 4/22,vsPHX,L112-100,18.0,2-6,33.3,1-5,20.0,0-0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,1.0,5.0
Bones Hyland,2022-23,Postseason,Thu 4/20,vsPHX,L129-124,21.0,6-12,50.0,2-4,50.0,6-8,75.0,1.0,2.0,0.0,1.0,4.0,2.0,20.0,2.0,4.0
Bones Hyland,2022-23,Postseason,Tue 4/18,@PHX,L123-109,14.0,2-7,28.6,0-4,0.0,2-2,100.0,2.0,0.0,1.0,0.0,2.0,1.0,6.0,0.0,4.0
Bones Hyland,2022-23,Postseason,Sun 4/16,@PHX,W115-110,13.0,1-6,16.7,1-3,33.3,0-0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0
Bones Hyland,2022-23,Regular,Sun 4/9,@PHX,W119-114,18.0,5-11,45.5,1-4,25.0,0-0,0.0,5.0,2.0,0.0,0.0,1.0,2.0,11.0,1.0,4.0
Bones Hyland,2022-23,Regular,Sat 4/8,vsPOR,W136-125,22.0,3-11,27.3,1-7,14.3,2-2,100.0,6.0,3.0,0.0,1.0,1.0,0.0,9.0,1.0,7.0
Bones Hyland,2022-23,Regular,Wed 4/5,vsLAL,W125-118,21.0,4-7,57.1,3-6,50.0,3-4,75.0,2.0,4.0,0.0,1.0,3.0,1.0,14.0,3.0,6.0
Bones Hyland,2022-23,Regular,Sat 4/1,@NO,L122-114,15.0,2-7,28.6,1-4,25.0,0-0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,5.0,1.0,4.0
Bones Hyland,2022-23,Regular,Fri 3/31,@MEM,L108-94,24.0,4-14,28.6,2-7,28.6,0-0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,10.0,2.0,7.0
Bones Hyland,2022-23,Regular,Wed 3/29,@MEM,W141-132,22.0,8-14,57.1,4-6,66.7,0-0,0.0,5.0,6.0,1.0,1.0,1.0,1.0,20.0,4.0,6.0
Bones Hyland,2022-23,Regular,Mon 3/27,vsCHI,W124-112,24.0,5-11,45.5,2-7,28.6,1-2,50.0,2.0,8.0,0.0,3.0,2.0,1.0,13.0,2.0,7.0
Bones Hyland,2022-23,Regular,Sat 3/25,vsNO,L131-110,24.0,7-12,58.3,3-8,37.5,1-1,100.0,2.0,7.0,0.0,0.0,2.0,5.0,18.0,3.0,8.0
Bones Hyland,2022-23,Regular,Thu 3/23,vsOKC,W127-105,26.0,6-13,46.2,4-7,57.1,0-1,0.0,4.0,7.0,1.0,1.0,0.0,1.0,16.0,4.0,7.0
Bones Hyland,2022-23,Regular,Fri 3/3,@SAC,L128-127,12.0,1-9,11.1,0-6,0.0,2-2,100.0,4.0,2.0,0.0,1.0,3.0,0.0,4.0,0.0,6.0
Bones Hyland,2022-23,Regular,Thu 3/2,@GS,L115-91,12.0,2-7,28.6,1-3,33.3,1-1,100.0,5.0,1.0,0.0,0.0,6.0,0.0,6.0,1.0,3.0
Bones Hyland,2022-23,Regular,Sun 2/26,@DEN,L134-124 OT,15.0,4-11,36.4,2-5,40.0,0-0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,10.0,2.0,5.0
Bones Hyland,2022-23,Regular,Thu 2/16,@PHX,W116-107,16.0,2-4,50.0,1-1,100.0,4-4,100.0,3.0,1.0,0.0,1.0,1.0,3.0,9.0,1.0,1.0
Bones Hyland,2022-23,Regular,Tue 2/14,vsGS,W134-124,16.0,2-6,33.3,1-3,33.3,1-3,33.3,4.0,2.0,0.0,1.0,5.0,0.0,6.0,1.0,3.0
Bones Hyland,2022-23,Regular,Tue 1/31,vsNO,W122-113,5.0,0-2,0.0,0-1,0.0,2-2,100.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
Bones Hyland,2022-23,Regular,Sat 1/28,@PHI,L126-119,21.0,4-10,40.0,1-6,16.7,2-2,100.0,1.0,2.0,2.0,1.0,1.0,0.0,11.0,1.0,6.0
Bones Hyland,2022-23,Regular,Wed 1/25,@MIL,L107-99,25.0,5-14,35.7,1-5,20.0,4-4,100.0,2.0,1.0,0.0,1.0,0.0,2.0,15.0,1.0,5.0
Bones Hyland,2022-23,Regular,Sun 1/22,vsOKC,L101-99,11.0,0-4,0.0,0-2,0.0,0-0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
Bones Hyland,2022-23,Regular,Fri 1/20,vsIND,W134-111,9.0,2-5,40.0,1-4,25.0,0-0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,5.0,1.0,4.0
Bones Hyland,2022-23,Regular,Wed 1/18,vsMIN,W122-118,19.0,2-5,40.0,1-3,33.3,4-4,100.0,1.0,2.0,0.0,0.0,0.0,1.0,9.0,1.0,3.0
Bones Hyland,2022-23,Regular,Tue 1/17,vsPOR,W122-113,16.0,2-10,20.0,1-7,14.3,0-0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,7.0
Bones Hyland,2022-23,Regular,Sun 1/15,vsORL,W119-116,9.0,2-5,40.0,0-3,0.0,0-0,0.0,2.0,3.0,0.0,1.0,2.0,1.0,4.0,0.0,3.0
Bones Hyland,2022-23,Regular,Fri 1/13,@LAC,W115-103,20.0,3-12,25.0,1-6,16.7,0-0,0.0,4.0,3.0,0.0,2.0,1.0,0.0,7.0,1.0,6.0
Bones Hyland,2022-23,Regular,Wed 1/11,vsPHX,W126-97,24.0,7-12,58.3,5-7,71.4,2-2,100.0,1.0,4.0,0.0,1.0,4.0,1.0,21.0,5.0,7.0
Bones Hyland,2022-23,Regular,Mon 1/9,vsLAL,W122-109,20.0,3-10,30.0,2-8,25.0,4-4,100.0,2.0,1.0,1.0,1.0,2.0,1.0,12.0,2.0,8.0
Bones Hyland,2022-23,Regular,Fri 1/6,vsCLE,W121-108,17.0,5-8,62.5,2-4,50.0,1-2,50.0,2.0,2.0,0.0,0.0,0.0,3.0,13.0,2.0,4.0
Bones Hyland,2022-23,Regular,Thu 1/5,vsLAC,W122-91,20.0,5-11,45.5,3-7,42.9,3-3,100.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,3.0,7.0
Bones Hyland,2022-23,Regular,Mon 1/2,@MIN,L124-111,22.0,7-12,58.3,4-7,57.1,0-0,0.0,6.0,2.0,0.0,2.0,2.0,1.0,18.0,4.0,7.0
Bones Hyland,2022-23,Regular,Sun 1/1,vsBOS,W123-111,19.0,7-12,58.3,3-7,42.9,0-1,0.0,2.0,4.0,0.0,0.0,3.0,4.0,17.0,3.0,7.0
Bones Hyland,2022-23,Regular,Fri 12/30,vsMIA,W124-119,23.0,5-9,55.6,5-6,83.3,1-1,100.0,1.0,4.0,0.0,1.0,0.0,6.0,16.0,5.0,6.0
