Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Brandon Boston Jr,2022-23,Postseason,Tue 4/18,@PHX,L123-109,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Brandon Boston Jr,2022-23,Regular,Sat 4/8,vsPOR,W136-125,2.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Boston Jr,2022-23,Regular,Tue 2/14,vsGS,W134-124,2.0,0-0,0.0,0-0,0.0,2-2,100.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Brandon Boston Jr,2022-23,Regular,Fri 2/10,vsMIL,L119-106,26.0,9-13,69.2,1-1,100.0,1-2,50.0,2.0,0.0,0.0,1.0,1.0,1.0,20.0,1.0,1.0
Brandon Boston Jr,2022-23,Regular,Sun 1/29,@CLE,L122-99,34.0,9-19,47.4,1-3,33.3,5-6,83.3,1.0,3.0,0.0,1.0,5.0,3.0,24.0,1.0,3.0
Brandon Boston Jr,2022-23,Regular,Thu 1/26,vsSA,W138-100,7.0,2-4,50.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
Brandon Boston Jr,2022-23,Regular,Wed 1/18,@UTAH,L126-103,23.0,3-9,33.3,0-2,0.0,1-2,50.0,4.0,3.0,0.0,0.0,4.0,3.0,7.0,0.0,2.0
Brandon Boston Jr,2022-23,Regular,Sun 1/15,vsHOU,W121-100,9.0,2-5,40.0,1-2,50.0,0-0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0
Brandon Boston Jr,2022-23,Regular,Fri 1/6,@MIN,L128-115,5.0,3-5,60.0,1-1,100.0,1-1,100.0,3.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0
Brandon Boston Jr,2022-23,Regular,Thu 1/5,@DEN,L122-91,15.0,0-5,0.0,0-2,0.0,4-6,66.7,2.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0
Brandon Boston Jr,2022-23,Regular,Sat 12/17,vsWSH,W102-93,7.0,1-1,100.0,0-0,0.0,0-1,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
Brandon Boston Jr,2022-23,Regular,Thu 12/15,vsPHX,L111-95,24.0,4-13,30.8,0-3,0.0,8-9,88.9,1.0,3.0,0.0,0.0,2.0,1.0,16.0,0.0,3.0
Brandon Boston Jr,2022-23,Regular,Wed 12/14,vsMIN,W99-88,3.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Brandon Boston Jr,2022-23,Regular,Mon 12/12,vsBOS,W113-93,3.0,0-3,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Boston Jr,2022-23,Regular,Sat 12/10,@WSH,W114-107,15.0,1-3,33.3,1-2,50.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0
Brandon Boston Jr,2022-23,Regular,Thu 12/8,@MIA,L115-110,14.0,2-5,40.0,0-1,0.0,3-3,100.0,3.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0
Brandon Boston Jr,2022-23,Regular,Sat 12/3,vsSAC,L123-96,20.0,6-13,46.2,4-6,66.7,2-2,100.0,3.0,2.0,0.0,1.0,1.0,2.0,18.0,4.0,6.0
Brandon Boston Jr,2022-23,Regular,Wed 11/30,@UTAH,L125-112,22.0,4-12,33.3,1-2,50.0,1-2,50.0,2.0,1.0,0.0,1.0,1.0,1.0,10.0,1.0,2.0
Brandon Boston Jr,2022-23,Regular,Mon 10/31,vsHOU,W95-93,5.0,0-1,0.0,0-0,0.0,1-2,50.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Brandon Boston Jr,2022-23,Regular,Sun 10/30,vsNO,L112-91,5.0,2-4,50.0,2-2,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0
Brandon Boston Jr,2022-23,Regular,Thu 10/27,@OKC,L118-110,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Boston Jr,2022-23,Regular,Tue 10/25,@OKC,L108-94,3.0,3-4,75.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Brandon Boston Jr,2022-23,Regular,Sun 10/23,vsPHX,L112-95,3.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Brandon Boston Jr,2022-23,Preseason,Wed 10/12,vsDEN,L126-115,15.0,1-5,20.0,0-1,0.0,3-4,75.0,2.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,1.0
Brandon Boston Jr,2022-23,Preseason,Sun 10/9,vsMIN,L119-117,11.0,2-6,33.3,0-4,0.0,2-2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0
Brandon Boston Jr,2022-23,Preseason,Mon 10/3,vsPOR,W102-97,21.0,3-11,27.3,2-4,50.0,2-2,100.0,2.0,2.0,1.0,0.0,2.0,2.0,10.0,2.0,4.0
Brandon Boston Jr,2022-23,Preseason,Fri 9/30,vsMRC,W121-81,27.0,1-9,11.1,0-2,0.0,5-6,83.3,1.0,1.0,1.0,0.0,3.0,2.0,7.0,0.0,2.0
