Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Brandon Ingram,2022-23,Regular,Sun 4/9,@MIN,L113-108,42.0,16-28,57.1,1-3,33.3,9-9,100.0,12.0,7.0,1.0,2.0,2.0,4.0,42.0,1.0,3.0
Brandon Ingram,2022-23,Regular,Fri 4/7,vsNY,W113-105,40.0,6-15,40.0,0-3,0.0,6-6,100.0,7.0,7.0,0.0,1.0,4.0,5.0,18.0,0.0,3.0
Brandon Ingram,2022-23,Regular,Wed 4/5,vsMEM,W138-131 OT,46.0,7-18,38.9,1-4,25.0,9-12,75.0,6.0,13.0,1.0,2.0,3.0,4.0,24.0,1.0,4.0
Brandon Ingram,2022-23,Regular,Tue 4/4,vsSAC,L121-103,37.0,7-15,46.7,1-2,50.0,7-8,87.5,7.0,6.0,1.0,2.0,2.0,7.0,22.0,1.0,2.0
Brandon Ingram,2022-23,Regular,Sat 4/1,vsLAC,W122-114,39.0,13-23,56.5,0-0,0.0,10-11,90.9,4.0,8.0,0.0,0.0,1.0,1.0,36.0,0.0,0.0
Brandon Ingram,2022-23,Regular,Thu 3/30,@DEN,W107-88,37.0,13-22,59.1,0-1,0.0,5-6,83.3,11.0,10.0,0.0,0.0,4.0,1.0,31.0,0.0,1.0
Brandon Ingram,2022-23,Regular,Tue 3/28,@GS,L120-109,38.0,9-22,40.9,1-1,100.0,7-7,100.0,8.0,7.0,1.0,0.0,2.0,6.0,26.0,1.0,1.0
Brandon Ingram,2022-23,Regular,Mon 3/27,@POR,W124-90,31.0,12-19,63.2,1-2,50.0,4-5,80.0,6.0,4.0,0.0,1.0,0.0,4.0,29.0,1.0,2.0
Brandon Ingram,2022-23,Regular,Sat 3/25,@LAC,W131-110,34.0,12-22,54.5,3-5,60.0,5-5,100.0,4.0,13.0,0.0,0.0,3.0,1.0,32.0,3.0,5.0
Brandon Ingram,2022-23,Regular,Thu 3/23,vsCHA,W115-96,34.0,10-23,43.5,1-6,16.7,9-9,100.0,11.0,10.0,0.0,1.0,3.0,0.0,30.0,1.0,6.0
Brandon Ingram,2022-23,Regular,Tue 3/21,vsSA,W119-84,31.0,10-16,62.5,2-2,100.0,10-10,100.0,4.0,7.0,1.0,0.0,2.0,5.0,32.0,2.0,2.0
Brandon Ingram,2022-23,Regular,Sun 3/19,@HOU,W117-107,39.0,12-24,50.0,1-3,33.3,1-2,50.0,2.0,9.0,0.0,0.0,1.0,3.0,26.0,1.0,3.0
Brandon Ingram,2022-23,Regular,Fri 3/17,@HOU,L114-112,38.0,9-20,45.0,3-5,60.0,10-11,90.9,4.0,6.0,1.0,0.0,2.0,4.0,31.0,3.0,5.0
Brandon Ingram,2022-23,Regular,Tue 3/14,vsLAL,L123-108,38.0,9-17,52.9,1-5,20.0,3-4,75.0,6.0,6.0,1.0,2.0,4.0,4.0,22.0,1.0,5.0
Brandon Ingram,2022-23,Regular,Wed 3/8,vsDAL,W113-106,18.0,5-8,62.5,0-0,0.0,2-2,100.0,4.0,5.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0
Brandon Ingram,2022-23,Regular,Mon 3/6,@SAC,L123-108,38.0,9-16,56.3,2-4,50.0,4-5,80.0,3.0,7.0,0.0,0.0,4.0,6.0,24.0,2.0,4.0
Brandon Ingram,2022-23,Regular,Fri 3/3,@GS,L108-99,38.0,6-16,37.5,0-2,0.0,5-8,62.5,5.0,4.0,0.0,1.0,6.0,4.0,17.0,0.0,2.0
Brandon Ingram,2022-23,Regular,Wed 3/1,@POR,W121-110,38.0,18-29,62.1,1-5,20.0,3-3,100.0,6.0,5.0,0.0,2.0,1.0,0.0,40.0,1.0,5.0
Brandon Ingram,2022-23,Regular,Mon 2/27,vsORL,L101-93,38.0,8-19,42.1,2-7,28.6,7-8,87.5,6.0,5.0,0.0,0.0,5.0,3.0,25.0,2.0,7.0
Brandon Ingram,2022-23,Regular,Sat 2/25,@NY,L128-106,36.0,7-22,31.8,1-6,16.7,4-4,100.0,4.0,3.0,0.0,0.0,3.0,0.0,19.0,1.0,6.0
Brandon Ingram,2022-23,Regular,Thu 2/23,@TOR,L115-110,37.0,12-27,44.4,5-7,71.4,7-8,87.5,7.0,3.0,0.0,0.0,2.0,6.0,36.0,5.0,7.0
