Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Bryce McGowens,2022-23,Regular,Sun 4/9,@CLE,W106-95,33.0,6-11,54.5,1-4,25.0,9-10,90.0,4.0,4.0,0.0,2.0,1.0,4.0,22.0,1.0,4.0
Bryce McGowens,2022-23,Regular,Fri 4/7,vsHOU,L112-109,35.0,6-15,40.0,1-5,20.0,3-4,75.0,5.0,2.0,0.0,1.0,1.0,1.0,16.0,1.0,5.0
Bryce McGowens,2022-23,Regular,Tue 4/4,vsTOR,L120-100,36.0,7-12,58.3,2-5,40.0,4-6,66.7,6.0,3.0,0.0,0.0,4.0,4.0,20.0,2.0,5.0
Bryce McGowens,2022-23,Regular,Sun 4/2,vsTOR,L128-108,30.0,3-6,50.0,1-2,50.0,4-6,66.7,2.0,2.0,0.0,0.0,1.0,2.0,11.0,1.0,2.0
Bryce McGowens,2022-23,Regular,Fri 3/31,vsCHI,L121-91,24.0,3-7,42.9,1-3,33.3,1-2,50.0,5.0,2.0,0.0,0.0,2.0,2.0,8.0,1.0,3.0
Bryce McGowens,2022-23,Regular,Tue 3/28,@OKC,W137-134,24.0,4-9,44.4,3-6,50.0,0-2,0.0,2.0,2.0,0.0,2.0,3.0,2.0,11.0,3.0,6.0
Bryce McGowens,2022-23,Regular,Sun 3/26,vsDAL,W110-104,20.0,3-8,37.5,2-3,66.7,1-2,50.0,4.0,4.0,0.0,0.0,1.0,2.0,9.0,2.0,3.0
Bryce McGowens,2022-23,Regular,Fri 3/24,@DAL,W117-109,23.0,1-6,16.7,1-3,33.3,0-0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0
Bryce McGowens,2022-23,Regular,Thu 3/23,@NO,L115-96,25.0,2-5,40.0,0-3,0.0,4-5,80.0,1.0,6.0,1.0,0.0,1.0,1.0,8.0,0.0,3.0
Bryce McGowens,2022-23,Regular,Mon 3/20,vsIND,W115-109,5.0,1-2,50.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
