Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Cam Thomas,2022-23,Postseason,Thu 4/20,vsPHI,L102-97,11.0,3-6,50.0,0-2,0.0,0-0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,2.0
Cam Thomas,2022-23,Postseason,Sat 4/15,@PHI,L121-101,4.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Thomas,2022-23,Regular,Sun 4/9,vsPHI,L134-105,43.0,16-29,55.2,6-8,75.0,8-8,100.0,2.0,1.0,1.0,1.0,1.0,4.0,46.0,6.0,8.0
Cam Thomas,2022-23,Regular,Tue 4/4,vsMIN,L107-102,5.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Cam Thomas,2022-23,Regular,Sun 4/2,vsUTAH,W111-110,9.0,1-3,33.3,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Cam Thomas,2022-23,Regular,Fri 3/31,vsATL,W124-107,3.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Thomas,2022-23,Regular,Sun 3/26,@ORL,L119-106,28.0,7-16,43.8,0-4,0.0,4-4,100.0,2.0,2.0,0.0,0.0,2.0,3.0,18.0,0.0,4.0
Cam Thomas,2022-23,Regular,Sun 3/19,vsDEN,L108-102,22.0,3-9,33.3,1-4,25.0,0-0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,7.0,1.0,4.0
Cam Thomas,2022-23,Regular,Thu 3/16,vsSAC,L101-96,6.0,0-3,0.0,0-2,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Cam Thomas,2022-23,Regular,Tue 3/14,@OKC,L121-107,3.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Cam Thomas,2022-23,Regular,Fri 3/10,@MIN,W124-123 OT,5.0,0-1,0.0,0-0,0.0,1-1,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Cam Thomas,2022-23,Regular,Thu 3/9,@MIL,L118-113,26.0,7-13,53.8,3-6,50.0,4-4,100.0,4.0,0.0,0.0,0.0,2.0,2.0,21.0,3.0,6.0
Cam Thomas,2022-23,Regular,Sun 3/5,vsCHA,W102-86,7.0,2-4,50.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Cam Thomas,2022-23,Regular,Fri 3/3,@BOS,W115-105,7.0,0-4,0.0,0-3,0.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Cam Thomas,2022-23,Regular,Wed 3/1,@NY,L142-118,24.0,6-13,46.2,1-4,25.0,2-2,100.0,1.0,1.0,1.0,1.0,4.0,2.0,15.0,1.0,4.0
Cam Thomas,2022-23,Regular,Tue 2/28,vsMIL,L118-104,23.0,0-7,0.0,0-3,0.0,2-2,100.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
Cam Thomas,2022-23,Regular,Sun 2/26,@ATL,L129-127,29.0,6-14,42.9,1-3,33.3,9-9,100.0,2.0,3.0,0.0,2.0,1.0,2.0,22.0,1.0,3.0
Cam Thomas,2022-23,Regular,Fri 2/24,@CHI,L131-87,30.0,6-15,40.0,3-6,50.0,7-9,77.8,1.0,2.0,0.0,0.0,0.0,0.0,22.0,3.0,6.0
Cam Thomas,2022-23,Regular,Wed 2/15,vsMIA,W116-105,21.0,6-11,54.5,3-5,60.0,4-4,100.0,2.0,4.0,0.0,1.0,3.0,2.0,19.0,3.0,5.0
Cam Thomas,2022-23,Regular,Mon 2/13,@NY,L124-106,20.0,2-8,25.0,0-0,0.0,3-4,75.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0
Cam Thomas,2022-23,Regular,Sat 2/11,vsPHI,L101-98,18.0,7-12,58.3,0-2,0.0,0-0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,14.0,0.0,2.0
Cam Thomas,2022-23,Regular,Thu 2/9,vsCHI,W116-105,33.0,3-16,18.8,1-6,16.7,13-13,100.0,6.0,4.0,0.0,0.0,3.0,4.0,20.0,1.0,6.0
Cam Thomas,2022-23,Regular,Tue 2/7,vsPHX,L116-112,39.0,11-23,47.8,3-9,33.3,18-20,90.0,5.0,3.0,1.0,1.0,2.0,3.0,43.0,3.0,9.0
Cam Thomas,2022-23,Regular,Mon 2/6,vsLAC,L124-116,39.0,15-29,51.7,7-11,63.6,10-11,90.9,4.0,3.0,0.0,0.0,3.0,4.0,47.0,7.0,11.0
Cam Thomas,2022-23,Regular,Sat 2/4,vsWSH,W125-123,29.0,16-23,69.6,4-5,80.0,8-9,88.9,5.0,5.0,0.0,0.0,2.0,4.0,44.0,4.0,5.0
Cam Thomas,2022-23,Regular,Wed 2/1,@BOS,L139-96,24.0,7-16,43.8,1-6,16.7,4-5,80.0,1.0,2.0,0.0,1.0,0.0,0.0,19.0,1.0,6.0
Cam Thomas,2022-23,Regular,Mon 1/30,vsLAL,W121-104,23.0,8-13,61.5,4-6,66.7,1-1,100.0,4.0,1.0,0.0,0.0,1.0,3.0,21.0,4.0,6.0
Cam Thomas,2022-23,Regular,Sat 1/28,vsNY,W122-115,13.0,2-5,40.0,1-1,100.0,0-0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,5.0,1.0,1.0
Cam Thomas,2022-23,Regular,Thu 1/26,vsDET,L130-122,2.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cam Thomas,2022-23,Regular,Fri 1/20,@UTAH,W117-106,6.0,1-3,33.3,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Cam Thomas,2022-23,Regular,Thu 1/19,@PHX,L117-112,13.0,6-11,54.5,0-2,0.0,3-4,75.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,2.0
Cam Thomas,2022-23,Regular,Tue 1/17,@SA,L106-98,30.0,6-12,50.0,0-4,0.0,3-4,75.0,2.0,1.0,1.0,1.0,3.0,1.0,15.0,0.0,4.0
Cam Thomas,2022-23,Regular,Mon 1/2,vsSA,W139-103,12.0,4-5,80.0,1-1,100.0,0-0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0
Cam Thomas,2022-23,Regular,Sat 12/31,@CHA,W123-106,3.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cam Thomas,2022-23,Regular,Fri 12/23,vsMIL,W118-100,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Thomas,2022-23,Regular,Wed 12/21,vsGS,W143-113,9.0,2-3,66.7,1-1,100.0,0-0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0
Cam Thomas,2022-23,Regular,Fri 12/16,@TOR,W119-116,5.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cam Thomas,2022-23,Regular,Mon 12/12,@WSH,W112-100,19.0,1-4,25.0,0-0,0.0,3-4,75.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Cam Thomas,2022-23,Regular,Sat 12/10,@IND,W136-133,29.0,13-20,65.0,3-3,100.0,4-6,66.7,3.0,0.0,0.0,0.0,3.0,2.0,33.0,3.0,3.0
Cam Thomas,2022-23,Regular,Wed 12/7,vsCHA,W122-116,5.0,0-2,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Thomas,2022-23,Regular,Sun 12/4,vsBOS,L103-92,9.0,1-5,20.0,1-2,50.0,5-6,83.3,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0
Cam Thomas,2022-23,Regular,Fri 12/2,vsTOR,W114-105,11.0,1-3,33.3,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0
Cam Thomas,2022-23,Regular,Wed 11/30,vsWSH,W113-107,19.0,2-5,40.0,0-1,0.0,2-2,100.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0
Cam Thomas,2022-23,Regular,Mon 11/28,vsORL,W109-102,10.0,1-3,33.3,0-1,0.0,0-0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0
Cam Thomas,2022-23,Regular,Sun 11/27,vsPOR,W111-97,6.0,1-4,25.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Cam Thomas,2022-23,Regular,Wed 11/23,@TOR,W112-98,17.0,2-5,40.0,0-1,0.0,1-2,50.0,3.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,1.0
Cam Thomas,2022-23,Regular,Tue 11/22,@PHI,L115-106,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Thomas,2022-23,Regular,Sun 11/20,vsMEM,W127-115,4.0,0-1,0.0,0-0,0.0,0-2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cam Thomas,2022-23,Regular,Thu 11/17,@POR,W109-107,7.0,0-3,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cam Thomas,2022-23,Regular,Tue 11/15,@SAC,L153-121,21.0,4-8,50.0,1-2,50.0,3-4,75.0,2.0,3.0,0.0,1.0,0.0,2.0,12.0,1.0,2.0
Cam Thomas,2022-23,Regular,Sun 11/13,@LAL,L116-103,23.0,4-9,44.4,0-2,0.0,7-9,77.8,3.0,2.0,0.0,1.0,1.0,1.0,15.0,0.0,2.0
Cam Thomas,2022-23,Regular,Sat 11/12,@LAC,W110-95,25.0,1-6,16.7,0-1,0.0,2-2,100.0,2.0,3.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0
Cam Thomas,2022-23,Regular,Wed 11/9,vsNY,W112-85,22.0,3-8,37.5,0-1,0.0,0-0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,6.0,0.0,1.0
Cam Thomas,2022-23,Regular,Mon 11/7,@DAL,L96-94,30.0,5-13,38.5,2-4,50.0,7-9,77.8,1.0,2.0,0.0,2.0,2.0,1.0,19.0,2.0,4.0
Cam Thomas,2022-23,Regular,Sat 11/5,@CHA,W98-94,29.0,5-11,45.5,1-2,50.0,10-11,90.9,4.0,4.0,1.0,1.0,2.0,1.0,21.0,1.0,2.0
Cam Thomas,2022-23,Regular,Fri 11/4,@WSH,W128-86,32.0,6-13,46.2,2-4,50.0,3-3,100.0,4.0,6.0,0.0,1.0,2.0,0.0,17.0,2.0,4.0
Cam Thomas,2022-23,Regular,Tue 11/1,vsCHI,L108-99,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Thomas,2022-23,Regular,Wed 10/26,@MIL,L110-99,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Thomas,2022-23,Regular,Wed 10/19,vsNO,L130-108,13.0,1-4,25.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Cam Thomas,2022-23,Preseason,Fri 10/14,@MIN,W112-102,22.0,4-10,40.0,1-1,100.0,2-2,100.0,2.0,2.0,1.0,1.0,3.0,5.0,11.0,1.0,1.0
Cam Thomas,2022-23,Preseason,Wed 10/12,@MIL,W107-97,15.0,5-10,50.0,0-2,0.0,1-1,100.0,1.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0
Cam Thomas,2022-23,Preseason,Thu 10/6,vsMIA,L109-80,20.0,4-9,44.4,1-3,33.3,4-5,80.0,3.0,0.0,1.0,0.0,1.0,2.0,13.0,1.0,3.0
Cam Thomas,2022-23,Preseason,Mon 10/3,vsPHI,L127-108,18.0,1-6,16.7,0-0,0.0,5-5,100.0,4.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0
