Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Cameron Payne,2022-23,Postseason,Thu 5/11,vsDEN,L125-100,42.0,12-16,75.0,7-9,77.8,0-3,0.0,6.0,2.0,1.0,0.0,3.0,4.0,31.0,7.0,9.0
Cameron Payne,2022-23,Postseason,Tue 5/9,@DEN,L118-102,31.0,3-5,60.0,1-3,33.3,0-0,0.0,2.0,4.0,0.0,1.0,2.0,2.0,7.0,1.0,3.0
Cameron Payne,2022-23,Postseason,Sun 5/7,vsDEN,W129-124,25.0,2-8,25.0,1-4,25.0,0-0,0.0,2.0,4.0,0.0,1.0,3.0,2.0,5.0,1.0,4.0
Cameron Payne,2022-23,Postseason,Fri 5/5,vsDEN,W121-114,30.0,3-9,33.3,1-5,20.0,0-0,0.0,0.0,6.0,0.0,1.0,3.0,1.0,7.0,1.0,5.0
Cameron Payne,2022-23,Postseason,Mon 5/1,@DEN,L97-87,17.0,1-7,14.3,0-4,0.0,0-0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,4.0
Cameron Payne,2022-23,Postseason,Sat 4/29,@DEN,L125-107,5.0,2-3,66.7,1-2,50.0,0-0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0
Cameron Payne,2022-23,Postseason,Tue 4/25,vsLAC,W136-130,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Payne,2022-23,Regular,Fri 4/7,@LAL,L121-107,15.0,5-13,38.5,1-4,25.0,2-2,100.0,1.0,4.0,0.0,0.0,1.0,2.0,13.0,1.0,4.0
Cameron Payne,2022-23,Regular,Thu 4/6,vsDEN,W119-115,7.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0
Cameron Payne,2022-23,Regular,Sun 4/2,@OKC,W128-118,9.0,2-4,50.0,1-2,50.0,0-0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,5.0,1.0,2.0
Cameron Payne,2022-23,Regular,Fri 3/31,vsDEN,W100-93,15.0,0-5,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Cameron Payne,2022-23,Regular,Wed 3/29,vsMIN,W107-100,13.0,5-10,50.0,1-2,50.0,0-0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,11.0,1.0,2.0
Cameron Payne,2022-23,Regular,Mon 3/27,@UTAH,W117-103,21.0,4-9,44.4,1-3,33.3,3-3,100.0,3.0,5.0,0.0,0.0,1.0,0.0,12.0,1.0,3.0
Cameron Payne,2022-23,Regular,Sat 3/25,vsPHI,W125-105,22.0,6-9,66.7,2-2,100.0,0-0,0.0,2.0,7.0,0.0,0.0,2.0,0.0,14.0,2.0,2.0
Cameron Payne,2022-23,Regular,Fri 3/24,@SAC,L135-127,16.0,0-5,0.0,0-3,0.0,1-2,50.0,3.0,5.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0
Cameron Payne,2022-23,Regular,Wed 3/22,@LAL,L122-111,14.0,3-7,42.9,1-2,50.0,0-0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,7.0,1.0,2.0
Cameron Payne,2022-23,Regular,Sun 3/19,@OKC,L124-120,14.0,1-5,20.0,0-2,0.0,0-0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
Cameron Payne,2022-23,Regular,Thu 3/16,vsORL,W116-113,21.0,7-12,58.3,3-5,60.0,1-1,100.0,2.0,5.0,0.0,1.0,1.0,1.0,18.0,3.0,5.0
Cameron Payne,2022-23,Regular,Tue 3/14,vsMIL,L116-104,17.0,4-9,44.4,3-5,60.0,2-2,100.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,3.0,5.0
Cameron Payne,2022-23,Regular,Mon 3/13,@GS,L123-112,18.0,4-8,50.0,0-1,0.0,1-1,100.0,1.0,3.0,0.0,1.0,1.0,2.0,9.0,0.0,1.0
Cameron Payne,2022-23,Regular,Sat 3/11,vsSAC,L128-119,7.0,2-3,66.7,1-2,50.0,0-0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,5.0,1.0,2.0
Cameron Payne,2022-23,Regular,Wed 3/8,vsOKC,W132-101,18.0,4-10,40.0,0-5,0.0,0-0,0.0,3.0,7.0,0.0,2.0,1.0,3.0,8.0,0.0,5.0
Cameron Payne,2022-23,Regular,Sun 3/5,@DAL,W130-126,15.0,3-4,75.0,0-1,0.0,0-0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0
Cameron Payne,2022-23,Regular,Fri 3/3,@CHI,W125-104,17.0,2-8,25.0,2-7,28.6,0-0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,6.0,2.0,7.0
Cameron Payne,2022-23,Regular,Wed 3/1,@CHA,W105-91,15.0,2-6,33.3,1-3,33.3,0-0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,5.0,1.0,3.0
Cameron Payne,2022-23,Regular,Sun 2/26,@MIL,L104-101,8.0,1-7,14.3,0-2,0.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0
Cameron Payne,2022-23,Regular,Fri 2/24,vsOKC,W124-115,16.0,5-9,55.6,3-5,60.0,1-4,25.0,4.0,0.0,0.0,1.0,4.0,3.0,14.0,3.0,5.0
Cameron Payne,2022-23,Regular,Wed 1/4,@CLE,L90-88,9.0,1-5,20.0,0-2,0.0,0-0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0
Cameron Payne,2022-23,Regular,Mon 1/2,@NY,L102-83,18.0,3-7,42.9,0-1,0.0,2-2,100.0,1.0,7.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0
Cameron Payne,2022-23,Regular,Tue 12/13,@HOU,L111-97,8.0,3-4,75.0,3-4,75.0,0-0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,3.0,4.0
Cameron Payne,2022-23,Regular,Sun 12/11,@NO,L129-124 OT,24.0,6-14,42.9,2-5,40.0,3-3,100.0,0.0,3.0,0.0,0.0,1.0,3.0,17.0,2.0,5.0
Cameron Payne,2022-23,Regular,Fri 12/9,@NO,L128-117,16.0,2-6,33.3,1-5,20.0,0-0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,5.0,1.0,5.0
Cameron Payne,2022-23,Regular,Wed 12/7,vsBOS,L125-98,16.0,5-13,38.5,0-2,0.0,2-3,66.7,3.0,3.0,0.0,1.0,2.0,0.0,12.0,0.0,2.0
Cameron Payne,2022-23,Regular,Mon 12/5,@DAL,L130-111,34.0,4-16,25.0,2-9,22.2,4-4,100.0,6.0,10.0,0.0,0.0,1.0,1.0,14.0,2.0,9.0
Cameron Payne,2022-23,Regular,Sun 12/4,@SA,W133-95,25.0,2-8,25.0,1-4,25.0,0-0,0.0,2.0,6.0,0.0,0.0,2.0,1.0,5.0,1.0,4.0
Cameron Payne,2022-23,Regular,Fri 12/2,vsHOU,L122-121,37.0,8-12,66.7,4-7,57.1,0-2,0.0,1.0,12.0,0.0,4.0,1.0,4.0,20.0,4.0,7.0
Cameron Payne,2022-23,Regular,Wed 11/30,vsCHI,W132-113,32.0,3-10,30.0,2-3,66.7,0-0,0.0,5.0,6.0,1.0,1.0,2.0,3.0,8.0,2.0,3.0
Cameron Payne,2022-23,Regular,Mon 11/28,@SAC,W122-117,24.0,2-10,20.0,1-3,33.3,0-0,0.0,2.0,7.0,0.0,0.0,5.0,2.0,5.0,1.0,3.0
Cameron Payne,2022-23,Regular,Sat 11/26,vsUTAH,W113-112,30.0,4-13,30.8,1-6,16.7,2-4,50.0,0.0,6.0,0.0,1.0,4.0,0.0,11.0,1.0,6.0
Cameron Payne,2022-23,Regular,Fri 11/25,vsDET,W108-102,32.0,7-12,58.3,0-2,0.0,2-4,50.0,2.0,10.0,0.0,1.0,1.0,2.0,16.0,0.0,2.0
Cameron Payne,2022-23,Regular,Tue 11/22,vsLAL,W115-105,28.0,5-15,33.3,1-3,33.3,0-0,0.0,2.0,7.0,0.0,1.0,5.0,5.0,11.0,1.0,3.0
Cameron Payne,2022-23,Regular,Sun 11/20,vsNY,W116-95,32.0,7-14,50.0,2-5,40.0,5-5,100.0,7.0,9.0,2.0,0.0,1.0,2.0,21.0,2.0,5.0
Cameron Payne,2022-23,Regular,Fri 11/18,@UTAH,L134-133,34.0,6-12,50.0,2-4,50.0,3-4,75.0,0.0,5.0,0.0,3.0,4.0,4.0,17.0,2.0,4.0
Cameron Payne,2022-23,Regular,Wed 11/16,vsGS,W130-119,33.0,9-17,52.9,6-10,60.0,5-6,83.3,3.0,7.0,1.0,0.0,5.0,2.0,29.0,6.0,10.0
Cameron Payne,2022-23,Regular,Mon 11/14,@MIA,L113-112,31.0,4-17,23.5,1-6,16.7,0-0,0.0,3.0,5.0,0.0,1.0,4.0,1.0,9.0,1.0,6.0
Cameron Payne,2022-23,Regular,Fri 11/11,@ORL,L114-97,35.0,8-15,53.3,5-10,50.0,1-1,100.0,3.0,4.0,0.0,1.0,3.0,4.0,22.0,5.0,10.0
Cameron Payne,2022-23,Regular,Wed 11/9,@MIN,W129-117,35.0,8-17,47.1,4-9,44.4,3-3,100.0,6.0,8.0,0.0,1.0,1.0,0.0,23.0,4.0,9.0
Cameron Payne,2022-23,Regular,Mon 11/7,@PHI,L100-88,28.0,6-14,42.9,1-4,25.0,1-2,50.0,2.0,5.0,0.0,0.0,4.0,3.0,14.0,1.0,4.0
Cameron Payne,2022-23,Regular,Tue 11/1,vsMIN,W116-107,14.0,3-8,37.5,2-5,40.0,0-0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,8.0,2.0,5.0
Cameron Payne,2022-23,Regular,Sun 10/30,vsHOU,W124-109,17.0,5-12,41.7,2-7,28.6,0-0,0.0,2.0,4.0,0.0,4.0,0.0,3.0,12.0,2.0,7.0
Cameron Payne,2022-23,Regular,Fri 10/28,vsNO,W124-111,17.0,5-10,50.0,2-3,66.7,0-0,0.0,2.0,5.0,1.0,1.0,0.0,1.0,12.0,2.0,3.0
Cameron Payne,2022-23,Regular,Tue 10/25,vsGS,W134-105,14.0,3-6,50.0,0-0,0.0,2-2,100.0,4.0,5.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0
Cameron Payne,2022-23,Regular,Sun 10/23,@LAC,W112-95,15.0,4-11,36.4,1-3,33.3,1-2,50.0,1.0,2.0,0.0,1.0,0.0,2.0,10.0,1.0,3.0
Cameron Payne,2022-23,Regular,Fri 10/21,@POR,L113-111 OT,17.0,1-3,33.3,1-3,33.3,2-2,100.0,2.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,3.0
Cameron Payne,2022-23,Regular,Wed 10/19,vsDAL,W107-105,19.0,3-7,42.9,1-2,50.0,0-0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,7.0,1.0,2.0
Cameron Payne,2022-23,Preseason,Wed 10/5,vsLAL,W119-115,1.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Payne,2022-23,Preseason,Sun 10/2,vsADL,L134-124,26.0,8-19,42.1,1-5,20.0,6-6,100.0,1.0,4.0,0.0,2.0,1.0,2.0,23.0,1.0,5.0
