Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Caris LeVert,2022-23,Postseason,Wed 4/26,vsNY,L106-95,37.0,6-13,46.2,4-7,57.1,1-2,50.0,5.0,4.0,0.0,1.0,3.0,0.0,17.0,4.0,7.0
Caris LeVert,2022-23,Postseason,Sun 4/23,@NY,L102-93,39.0,4-10,40.0,2-6,33.3,4-5,80.0,9.0,2.0,1.0,1.0,2.0,1.0,14.0,2.0,6.0
Caris LeVert,2022-23,Postseason,Fri 4/21,@NY,L99-79,35.0,7-17,41.2,3-11,27.3,0-2,0.0,4.0,3.0,0.0,0.0,3.0,1.0,17.0,3.0,11.0
Caris LeVert,2022-23,Postseason,Tue 4/18,vsNY,W107-90,40.0,9-16,56.3,4-9,44.4,2-2,100.0,4.0,3.0,0.0,0.0,1.0,2.0,24.0,4.0,9.0
Caris LeVert,2022-23,Postseason,Sat 4/15,vsNY,L101-97,18.0,1-7,14.3,0-3,0.0,1-2,50.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0
Caris LeVert,2022-23,Regular,Tue 4/4,@ORL,W117-113,36.0,7-10,70.0,5-6,83.3,0-0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,19.0,5.0,6.0
Caris LeVert,2022-23,Regular,Sun 4/2,vsIND,W115-105,33.0,5-10,50.0,2-6,33.3,3-4,75.0,3.0,4.0,3.0,0.0,6.0,0.0,15.0,2.0,6.0
Caris LeVert,2022-23,Regular,Fri 3/31,vsNY,L130-116,37.0,5-12,41.7,4-7,57.1,1-1,100.0,4.0,7.0,1.0,1.0,1.0,2.0,15.0,4.0,7.0
Caris LeVert,2022-23,Regular,Tue 3/28,@ATL,L120-118,34.0,4-6,66.7,1-2,50.0,0-3,0.0,4.0,3.0,0.0,1.0,4.0,0.0,9.0,1.0,2.0
Caris LeVert,2022-23,Regular,Sun 3/26,vsHOU,W108-91,31.0,4-8,50.0,2-5,40.0,0-0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,10.0,2.0,5.0
Caris LeVert,2022-23,Regular,Thu 3/23,@BKN,W116-114,22.0,3-7,42.9,2-5,40.0,4-4,100.0,3.0,2.0,0.0,2.0,4.0,3.0,12.0,2.0,5.0
Caris LeVert,2022-23,Regular,Tue 3/21,@BKN,W115-109,31.0,5-9,55.6,3-6,50.0,5-6,83.3,2.0,4.0,0.0,2.0,3.0,1.0,18.0,3.0,6.0
Caris LeVert,2022-23,Regular,Fri 3/17,vsWSH,W117-94,26.0,6-9,66.7,1-3,33.3,2-2,100.0,4.0,3.0,1.0,4.0,2.0,1.0,15.0,1.0,3.0
Caris LeVert,2022-23,Regular,Wed 3/15,vsPHI,L118-109,36.0,8-14,57.1,5-10,50.0,3-4,75.0,3.0,6.0,0.0,1.0,4.0,2.0,24.0,5.0,10.0
Caris LeVert,2022-23,Regular,Tue 3/14,@CHA,W120-104,27.0,8-13,61.5,4-5,80.0,2-3,66.7,4.0,7.0,1.0,4.0,1.0,0.0,22.0,4.0,5.0
Caris LeVert,2022-23,Regular,Sun 3/12,@CHA,W114-108,34.0,5-12,41.7,2-4,50.0,3-4,75.0,2.0,4.0,0.0,2.0,2.0,2.0,15.0,2.0,4.0
Caris LeVert,2022-23,Regular,Fri 3/10,@MIA,L119-115,39.0,6-13,46.2,4-9,44.4,0-0,0.0,3.0,4.0,1.0,1.0,1.0,2.0,16.0,4.0,9.0
