Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Charles Bassey,2022-23,Regular,Tue 3/14,vsORL,W132-114,8.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
Charles Bassey,2022-23,Regular,Sun 3/12,vsOKC,L102-90,15.0,3-5,60.0,0-0,0.0,2-4,50.0,6.0,1.0,2.0,0.0,3.0,0.0,8.0,0.0,0.0
Charles Bassey,2022-23,Regular,Fri 3/10,vsDEN,W128-120,15.0,2-4,50.0,0-1,0.0,0-0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0,1.0
Charles Bassey,2022-23,Regular,Sun 3/5,@HOU,L142-110,25.0,7-10,70.0,0-0,0.0,0-1,0.0,6.0,2.0,1.0,0.0,4.0,0.0,14.0,0.0,0.0
Charles Bassey,2022-23,Regular,Sat 3/4,vsHOU,L122-110,19.0,7-8,87.5,0-0,0.0,0-0,0.0,8.0,4.0,0.0,1.0,2.0,4.0,14.0,0.0,0.0
Charles Bassey,2022-23,Regular,Thu 3/2,vsIND,W110-99,17.0,3-4,75.0,0-0,0.0,0-1,0.0,5.0,2.0,2.0,0.0,1.0,4.0,6.0,0.0,0.0
Charles Bassey,2022-23,Regular,Tue 2/28,@UTAH,W102-94,21.0,3-7,42.9,0-0,0.0,1-2,50.0,10.0,1.0,3.0,1.0,1.0,1.0,7.0,0.0,0.0
Charles Bassey,2022-23,Regular,Sat 2/25,@UTAH,L118-102,15.0,3-4,75.0,0-0,0.0,0-0,0.0,3.0,1.0,0.0,2.0,5.0,2.0,6.0,0.0,0.0
Charles Bassey,2022-23,Regular,Thu 2/23,@DAL,L142-116,19.0,7-8,87.5,1-1,100.0,1-1,100.0,7.0,2.0,0.0,1.0,1.0,0.0,16.0,1.0,1.0
Charles Bassey,2022-23,Regular,Wed 2/15,@CHA,L120-110,14.0,2-10,20.0,0-0,0.0,0-2,0.0,11.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0
Charles Bassey,2022-23,Regular,Mon 2/13,@CLE,L117-109,13.0,2-3,66.7,0-0,0.0,2-2,100.0,8.0,0.0,0.0,1.0,2.0,2.0,6.0,0.0,0.0
Charles Bassey,2022-23,Regular,Sat 1/7,vsBOS,L121-116,14.0,0-0,0.0,0-0,0.0,0-0,0.0,5.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Charles Bassey,2022-23,Regular,Tue 12/27,@OKC,L130-114,3.0,1-1,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Charles Bassey,2022-23,Regular,Fri 12/23,@ORL,L133-113,5.0,0-0,0.0,0-0,0.0,2-2,100.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Charles Bassey,2022-23,Regular,Thu 12/22,@NO,L126-117,8.0,0-2,0.0,0-0,0.0,0-0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0
Charles Bassey,2022-23,Regular,Mon 12/19,@HOU,W124-105,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Bassey,2022-23,Regular,Sat 12/17,vsMIA,L111-101,3.0,0-0,0.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
