Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Chimezie Metu,2022-23,Postseason,Sun 4/30,vsGS,L120-100,3.0,0-1,0.0,0-0,0.0,1-2,50.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chimezie Metu,2022-23,Postseason,Thu 4/20,@GS,L114-97,3.0,0-0,0.0,0-0,0.0,1-1,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Sun 4/9,@DEN,L109-95,12.0,2-4,50.0,0-1,0.0,5-6,83.3,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0
Chimezie Metu,2022-23,Regular,Fri 4/7,vsGS,L119-97,17.0,5-8,62.5,0-0,0.0,5-9,55.6,9.0,0.0,0.0,0.0,1.0,2.0,15.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Tue 4/4,@NO,W121-103,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Fri 3/31,@POR,W138-114,2.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Wed 3/29,@POR,W120-80,6.0,1-2,50.0,0-0,0.0,0-0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Sat 3/25,vsUTAH,W121-113,3.0,0-2,0.0,0-1,0.0,0-0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chimezie Metu,2022-23,Regular,Fri 3/24,vsPHX,W135-127,10.0,3-4,75.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Tue 3/21,vsBOS,L132-109,5.0,1-2,50.0,0-0,0.0,1-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Mon 3/20,@UTAH,L128-120,10.0,1-3,33.3,0-1,0.0,2-3,66.7,4.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0
Chimezie Metu,2022-23,Regular,Sat 3/18,@WSH,W132-118,11.0,1-3,33.3,0-0,0.0,0-0,0.0,6.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Thu 3/16,@BKN,W101-96,6.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Wed 3/15,@CHI,W117-114,8.0,3-4,75.0,0-1,0.0,1-2,50.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0
Chimezie Metu,2022-23,Regular,Mon 3/13,vsMIL,L133-124,9.0,1-4,25.0,1-2,50.0,2-2,100.0,2.0,0.0,1.0,0.0,3.0,0.0,5.0,1.0,2.0
Chimezie Metu,2022-23,Regular,Sat 3/11,@PHX,W128-119,13.0,2-2,100.0,0-0,0.0,5-5,100.0,3.0,0.0,0.0,3.0,1.0,0.0,9.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Thu 3/9,vsNY,W122-117,7.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Mon 3/6,vsNO,W123-108,13.0,4-4,100.0,0-0,0.0,1-2,50.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Sat 3/4,vsMIN,L138-134,7.0,3-4,75.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Fri 3/3,vsLAC,W128-127,13.0,1-4,25.0,0-0,0.0,0-0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Tue 2/28,@OKC,W123-117,13.0,2-4,50.0,0-1,0.0,0-2,0.0,4.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0
Chimezie Metu,2022-23,Regular,Sun 2/26,@OKC,W124-115,11.0,2-3,66.7,0-0,0.0,2-2,100.0,3.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Fri 2/24,@LAC,W176-175 2OT,21.0,4-4,100.0,0-0,0.0,0-1,0.0,9.0,0.0,0.0,2.0,4.0,1.0,8.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Thu 2/23,vsPOR,W133-116,15.0,1-4,25.0,0-0,0.0,0-1,0.0,5.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Tue 2/14,@PHX,L120-109,10.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Sat 2/11,vsDAL,W133-128 OT,8.0,1-1,100.0,0-0,0.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Fri 2/10,vsDAL,L122-114,11.0,2-2,100.0,0-0,0.0,3-4,75.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Wed 2/8,@HOU,W130-128,12.0,4-4,100.0,0-0,0.0,0-0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,8.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Mon 2/6,@HOU,W140-120,13.0,2-3,66.7,0-0,0.0,0-0,0.0,3.0,2.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Sun 2/5,@NO,L136-104,10.0,2-3,66.7,1-2,50.0,2-2,100.0,2.0,1.0,2.0,0.0,2.0,1.0,7.0,1.0,2.0
Chimezie Metu,2022-23,Regular,Fri 2/3,@IND,L107-104,10.0,4-5,80.0,2-3,66.7,0-0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,10.0,2.0,3.0
Chimezie Metu,2022-23,Regular,Wed 2/1,@SA,W119-109,11.0,2-5,40.0,0-2,0.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0
Chimezie Metu,2022-23,Regular,Mon 1/30,@MIN,W118-111 OT,11.0,2-3,66.7,0-1,0.0,1-2,50.0,3.0,2.0,0.0,1.0,3.0,0.0,5.0,0.0,1.0
Chimezie Metu,2022-23,Regular,Sat 1/28,@MIN,L117-110,9.0,3-5,60.0,0-1,0.0,1-2,50.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
Chimezie Metu,2022-23,Regular,Wed 1/25,vsTOR,L113-95,16.0,1-5,20.0,0-1,0.0,0-0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0
Chimezie Metu,2022-23,Regular,Sat 1/21,vsPHI,L129-127,5.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Fri 1/20,vsOKC,W118-113,10.0,2-3,66.7,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Wed 1/18,@LAL,W116-111,17.0,2-3,66.7,0-0,0.0,2-2,100.0,5.0,1.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Sun 1/15,@SA,W132-119,13.0,3-6,50.0,0-0,0.0,2-2,100.0,5.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0
Chimezie Metu,2022-23,Regular,Fri 1/13,vsHOU,W139-114,7.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
