Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Chris Duarte,2022-23,Regular,Sat 3/25,@ATL,L143-130,5.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Chris Duarte,2022-23,Regular,Mon 3/13,@DET,L117-97,24.0,4-8,50.0,2-4,50.0,2-2,100.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,4.0
Chris Duarte,2022-23,Regular,Sat 3/11,@DET,W121-115,33.0,2-11,18.2,1-6,16.7,1-1,100.0,6.0,0.0,0.0,1.0,4.0,3.0,6.0,1.0,6.0
Chris Duarte,2022-23,Regular,Thu 3/9,vsHOU,W134-125 OT,24.0,3-10,30.0,2-6,33.3,2-2,100.0,3.0,3.0,1.0,2.0,0.0,0.0,10.0,2.0,6.0
Chris Duarte,2022-23,Regular,Mon 3/6,vsPHI,L147-143,24.0,2-4,50.0,0-1,0.0,0-0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0
Chris Duarte,2022-23,Regular,Sun 3/5,@CHI,W125-122,22.0,5-10,50.0,5-8,62.5,0-0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,15.0,5.0,8.0
Chris Duarte,2022-23,Regular,Thu 3/2,@SA,L110-99,34.0,8-14,57.1,2-3,66.7,0-0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,18.0,2.0,3.0
Chris Duarte,2022-23,Regular,Tue 2/28,@DAL,W124-122,7.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Chris Duarte,2022-23,Regular,Sat 2/25,@ORL,W121-108,15.0,2-5,40.0,1-3,33.3,1-1,100.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,3.0
Chris Duarte,2022-23,Regular,Thu 2/23,vsBOS,L142-138 OT,16.0,3-6,50.0,1-2,50.0,0-0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,2.0
Chris Duarte,2022-23,Regular,Wed 2/15,vsCHI,W117-113,20.0,5-11,45.5,4-7,57.1,0-0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,14.0,4.0,7.0
Chris Duarte,2022-23,Regular,Sat 2/11,@WSH,L127-113,18.0,3-6,50.0,1-3,33.3,2-2,100.0,2.0,1.0,0.0,0.0,0.0,2.0,9.0,1.0,3.0
Chris Duarte,2022-23,Regular,Fri 2/10,vsPHX,L117-104,29.0,2-9,22.2,0-6,0.0,3-4,75.0,6.0,1.0,0.0,2.0,2.0,1.0,7.0,0.0,6.0
Chris Duarte,2022-23,Regular,Wed 2/8,@MIA,L116-111,20.0,2-4,50.0,0-0,0.0,0-1,0.0,1.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0
Chris Duarte,2022-23,Regular,Thu 2/2,vsLAL,L112-111,6.0,0-4,0.0,0-2,0.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Chris Duarte,2022-23,Regular,Sun 1/29,@MEM,L112-100,26.0,4-7,57.1,1-4,25.0,0-0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,9.0,1.0,4.0
