Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Chris Paul,2022-23,Postseason,Mon 5/1,@DEN,L97-87,25.0,4-10,40.0,0-0,0.0,0-0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Chris Paul,2022-23,Postseason,Sat 4/29,@DEN,L125-107,32.0,5-11,45.5,1-5,20.0,0-0,0.0,0.0,5.0,0.0,1.0,3.0,1.0,11.0,1.0,5.0
Chris Paul,2022-23,Postseason,Tue 4/25,vsLAC,W136-130,37.0,6-13,46.2,3-6,50.0,0-0,0.0,5.0,7.0,0.0,2.0,2.0,1.0,15.0,3.0,6.0
Chris Paul,2022-23,Postseason,Sat 4/22,@LAC,W112-100,38.0,8-17,47.1,3-6,50.0,0-0,0.0,4.0,9.0,3.0,3.0,0.0,0.0,19.0,3.0,6.0
Chris Paul,2022-23,Postseason,Thu 4/20,@LAC,W129-124,41.0,5-18,27.8,1-8,12.5,0-2,0.0,6.0,7.0,1.0,3.0,4.0,3.0,11.0,1.0,8.0
Chris Paul,2022-23,Postseason,Tue 4/18,vsLAC,W123-109,38.0,8-14,57.1,0-1,0.0,0-0,0.0,4.0,8.0,1.0,1.0,3.0,1.0,16.0,0.0,1.0
Chris Paul,2022-23,Postseason,Sun 4/16,vsLAC,L115-110,39.0,2-8,25.0,1-2,50.0,2-2,100.0,11.0,10.0,0.0,2.0,4.0,1.0,7.0,1.0,2.0
Chris Paul,2022-23,Regular,Thu 4/6,vsDEN,W119-115,37.0,9-15,60.0,7-12,58.3,0-0,0.0,6.0,2.0,1.0,1.0,0.0,1.0,25.0,7.0,12.0
Chris Paul,2022-23,Regular,Tue 4/4,vsSA,W115-94,33.0,9-14,64.3,4-6,66.7,0-0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,22.0,4.0,6.0
Chris Paul,2022-23,Regular,Sun 4/2,@OKC,W128-118,32.0,5-9,55.6,2-5,40.0,4-5,80.0,3.0,8.0,0.0,1.0,5.0,3.0,16.0,2.0,5.0
Chris Paul,2022-23,Regular,Fri 3/31,vsDEN,W100-93,33.0,2-9,22.2,1-4,25.0,0-0,0.0,6.0,13.0,0.0,1.0,3.0,5.0,5.0,1.0,4.0
Chris Paul,2022-23,Regular,Wed 3/29,vsMIN,W107-100,35.0,7-15,46.7,1-5,20.0,4-4,100.0,3.0,6.0,0.0,2.0,0.0,0.0,19.0,1.0,5.0
Chris Paul,2022-23,Regular,Mon 3/27,@UTAH,W117-103,27.0,4-12,33.3,1-4,25.0,0-0,0.0,3.0,10.0,2.0,2.0,1.0,0.0,9.0,1.0,4.0
Chris Paul,2022-23,Regular,Sat 3/25,vsPHI,W125-105,26.0,4-7,57.1,2-3,66.7,3-3,100.0,5.0,7.0,0.0,1.0,2.0,1.0,13.0,2.0,3.0
Chris Paul,2022-23,Regular,Fri 3/24,@SAC,L135-127,32.0,5-12,41.7,1-5,20.0,4-4,100.0,6.0,13.0,0.0,0.0,1.0,1.0,15.0,1.0,5.0
Chris Paul,2022-23,Regular,Wed 3/22,@LAL,L122-111,30.0,8-17,47.1,2-4,50.0,0-0,0.0,4.0,4.0,0.0,1.0,5.0,1.0,18.0,2.0,4.0
Chris Paul,2022-23,Regular,Sun 3/19,@OKC,L124-120,33.0,5-15,33.3,2-3,66.7,2-2,100.0,6.0,13.0,1.0,3.0,3.0,1.0,14.0,2.0,3.0
Chris Paul,2022-23,Regular,Thu 3/16,vsORL,W116-113,31.0,7-11,63.6,0-3,0.0,2-2,100.0,2.0,7.0,0.0,2.0,0.0,2.0,16.0,0.0,3.0
Chris Paul,2022-23,Regular,Tue 3/14,vsMIL,L116-104,33.0,5-11,45.5,0-2,0.0,1-1,100.0,4.0,8.0,0.0,2.0,4.0,1.0,11.0,0.0,2.0
Chris Paul,2022-23,Regular,Mon 3/13,@GS,L123-112,30.0,5-13,38.5,0-4,0.0,1-2,50.0,5.0,11.0,0.0,1.0,2.0,2.0,11.0,0.0,4.0
Chris Paul,2022-23,Regular,Sat 3/11,vsSAC,L128-119,39.0,6-13,46.2,2-9,22.2,2-2,100.0,6.0,16.0,0.0,1.0,2.0,3.0,16.0,2.0,9.0
Chris Paul,2022-23,Regular,Wed 3/8,vsOKC,W132-101,24.0,6-8,75.0,4-5,80.0,2-2,100.0,4.0,9.0,0.0,4.0,2.0,1.0,18.0,4.0,5.0
Chris Paul,2022-23,Regular,Sun 3/5,@DAL,W130-126,33.0,4-9,44.4,2-6,33.3,1-2,50.0,6.0,7.0,0.0,1.0,2.0,0.0,11.0,2.0,6.0
Chris Paul,2022-23,Regular,Fri 3/3,@CHI,W125-104,29.0,4-8,50.0,3-7,42.9,0-0,0.0,6.0,10.0,0.0,2.0,1.0,2.0,11.0,3.0,7.0
Chris Paul,2022-23,Regular,Wed 3/1,@CHA,W105-91,33.0,1-8,12.5,0-4,0.0,0-0,0.0,2.0,11.0,0.0,2.0,2.0,3.0,2.0,0.0,4.0
Chris Paul,2022-23,Regular,Sun 2/26,@MIL,L104-101,40.0,7-18,38.9,2-5,40.0,2-3,66.7,5.0,7.0,0.0,1.0,3.0,4.0,18.0,2.0,5.0
Chris Paul,2022-23,Regular,Fri 2/24,vsOKC,W124-115,32.0,6-10,60.0,1-2,50.0,3-5,60.0,2.0,6.0,0.0,0.0,3.0,0.0,16.0,1.0,2.0
Chris Paul,2022-23,Regular,Thu 2/16,vsLAC,L116-107,33.0,2-8,25.0,0-1,0.0,1-3,33.3,3.0,11.0,0.0,4.0,0.0,2.0,5.0,0.0,1.0
Chris Paul,2022-23,Regular,Tue 2/14,vsSAC,W120-109,37.0,7-15,46.7,1-5,20.0,2-2,100.0,5.0,19.0,0.0,2.0,0.0,4.0,17.0,1.0,5.0
Chris Paul,2022-23,Regular,Fri 2/10,@IND,W117-104,30.0,7-18,38.9,1-3,33.3,4-4,100.0,2.0,9.0,0.0,2.0,0.0,3.0,19.0,1.0,3.0
Chris Paul,2022-23,Regular,Thu 2/9,@ATL,L116-107,33.0,5-13,38.5,0-2,0.0,5-5,100.0,5.0,8.0,2.0,3.0,0.0,1.0,15.0,0.0,2.0
Chris Paul,2022-23,Regular,Tue 2/7,@BKN,W116-112,34.0,3-10,30.0,1-3,33.3,2-2,100.0,2.0,12.0,2.0,5.0,4.0,2.0,9.0,1.0,3.0
Chris Paul,2022-23,Regular,Sat 2/4,@DET,W116-100,33.0,0-7,0.0,0-3,0.0,2-2,100.0,4.0,14.0,0.0,2.0,2.0,4.0,2.0,0.0,3.0
Chris Paul,2022-23,Regular,Fri 2/3,@BOS,W106-94,35.0,6-15,40.0,1-5,20.0,2-3,66.7,6.0,8.0,1.0,1.0,3.0,0.0,15.0,1.0,5.0
Chris Paul,2022-23,Regular,Wed 2/1,vsATL,L132-100,27.0,1-6,16.7,0-3,0.0,1-2,50.0,2.0,3.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0
Chris Paul,2022-23,Regular,Mon 1/30,vsTOR,W114-106,35.0,5-11,45.5,4-7,57.1,5-5,100.0,4.0,9.0,2.0,0.0,3.0,3.0,19.0,4.0,7.0
Chris Paul,2022-23,Regular,Sat 1/28,@SA,W128-118 OT,39.0,12-20,60.0,1-4,25.0,6-6,100.0,7.0,11.0,2.0,1.0,1.0,1.0,31.0,1.0,4.0
Chris Paul,2022-23,Regular,Thu 1/26,vsDAL,L99-95,38.0,9-16,56.3,4-7,57.1,0-0,0.0,6.0,10.0,0.0,1.0,4.0,2.0,22.0,4.0,7.0
Chris Paul,2022-23,Regular,Tue 1/24,vsCHA,W128-97,27.0,6-9,66.7,2-3,66.7,0-0,0.0,5.0,11.0,0.0,0.0,1.0,0.0,14.0,2.0,3.0
Chris Paul,2022-23,Regular,Sun 1/22,vsMEM,W112-110,38.0,8-18,44.4,3-9,33.3,3-3,100.0,6.0,11.0,1.0,3.0,1.0,5.0,22.0,3.0,9.0
Chris Paul,2022-23,Regular,Fri 1/6,vsMIA,L104-96,12.0,2-3,66.7,1-1,100.0,0-0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,1.0,1.0
