Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Christian Wood,2022-23,Regular,Wed 4/5,vsSAC,W123-119,25.0,5-15,33.3,3-7,42.9,1-1,100.0,4.0,0.0,3.0,1.0,1.0,1.0,14.0,3.0,7.0
Christian Wood,2022-23,Regular,Sun 4/2,@ATL,L132-130 OT,30.0,5-10,50.0,2-3,66.7,6-10,60.0,11.0,3.0,1.0,0.0,1.0,4.0,18.0,2.0,3.0
Christian Wood,2022-23,Regular,Sat 4/1,@MIA,L129-122,13.0,3-5,60.0,2-3,66.7,0-0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,8.0,2.0,3.0
Christian Wood,2022-23,Regular,Wed 3/29,@PHI,L116-108,12.0,3-3,100.0,1-1,100.0,2-3,66.7,4.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,1.0
Christian Wood,2022-23,Regular,Mon 3/27,@IND,W127-104,12.0,3-6,50.0,0-1,0.0,0-0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0
Christian Wood,2022-23,Regular,Sun 3/26,@CHA,L110-104,17.0,3-4,75.0,1-2,50.0,2-2,100.0,4.0,1.0,1.0,0.0,2.0,1.0,9.0,1.0,2.0
Christian Wood,2022-23,Regular,Fri 3/24,vsCHA,L117-109,26.0,5-10,50.0,1-3,33.3,3-4,75.0,6.0,2.0,1.0,0.0,3.0,0.0,14.0,1.0,3.0
Christian Wood,2022-23,Regular,Wed 3/22,vsGS,L127-125,25.0,5-10,50.0,0-3,0.0,9-11,81.8,4.0,4.0,1.0,1.0,1.0,2.0,19.0,0.0,3.0
Christian Wood,2022-23,Regular,Mon 3/20,@MEM,L112-108,29.0,6-13,46.2,1-3,33.3,7-8,87.5,9.0,6.0,0.0,0.0,2.0,4.0,20.0,1.0,3.0
Christian Wood,2022-23,Regular,Fri 3/17,@LAL,W111-110,34.0,5-15,33.3,2-3,66.7,0-0,0.0,9.0,8.0,1.0,4.0,3.0,3.0,12.0,2.0,3.0
Christian Wood,2022-23,Regular,Wed 3/15,@SA,W137-128 OT,28.0,8-17,47.1,2-4,50.0,10-11,90.9,13.0,3.0,1.0,0.0,5.0,4.0,28.0,2.0,4.0
Christian Wood,2022-23,Regular,Sat 3/11,@MEM,L112-108,15.0,4-8,50.0,0-2,0.0,6-6,100.0,2.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,2.0
Christian Wood,2022-23,Regular,Wed 3/8,@NO,L113-106,26.0,6-10,60.0,1-2,50.0,2-3,66.7,8.0,1.0,0.0,0.0,4.0,1.0,15.0,1.0,2.0
Christian Wood,2022-23,Regular,Tue 3/7,vsUTAH,W120-116,21.0,3-8,37.5,0-1,0.0,1-2,50.0,5.0,0.0,2.0,0.0,3.0,1.0,7.0,0.0,1.0
Christian Wood,2022-23,Regular,Sun 3/5,vsPHX,L130-126,22.0,5-7,71.4,1-2,50.0,6-7,85.7,3.0,0.0,0.0,1.0,1.0,1.0,17.0,1.0,2.0
Christian Wood,2022-23,Regular,Thu 3/2,vsPHI,W133-126,14.0,3-7,42.9,2-5,40.0,2-4,50.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,2.0,5.0
Christian Wood,2022-23,Regular,Tue 2/28,vsIND,L124-122,18.0,5-13,38.5,0-5,0.0,2-2,100.0,6.0,1.0,0.0,0.0,4.0,2.0,12.0,0.0,5.0
Christian Wood,2022-23,Regular,Sun 2/26,vsLAL,L111-108,20.0,6-13,46.2,2-5,40.0,0-0,0.0,9.0,2.0,1.0,0.0,1.0,0.0,14.0,2.0,5.0
Christian Wood,2022-23,Regular,Thu 2/23,vsSA,W142-116,22.0,4-10,40.0,0-2,0.0,8-9,88.9,7.0,1.0,2.0,0.0,5.0,2.0,16.0,0.0,2.0
Christian Wood,2022-23,Regular,Wed 2/15,@DEN,L118-109,22.0,6-13,46.2,2-6,33.3,3-3,100.0,4.0,2.0,1.0,0.0,1.0,1.0,17.0,2.0,6.0
Christian Wood,2022-23,Regular,Mon 2/13,vsMIN,L124-121,23.0,7-12,58.3,2-6,33.3,8-8,100.0,5.0,2.0,0.0,1.0,0.0,0.0,24.0,2.0,6.0
Christian Wood,2022-23,Regular,Sat 2/11,@SAC,L133-128 OT,18.0,6-10,60.0,3-6,50.0,0-1,0.0,3.0,2.0,1.0,0.0,1.0,0.0,15.0,3.0,6.0
Christian Wood,2022-23,Regular,Fri 2/10,@SAC,W122-114,12.0,5-12,41.7,2-4,50.0,1-1,100.0,3.0,2.0,0.0,1.0,2.0,0.0,13.0,2.0,4.0
Christian Wood,2022-23,Regular,Wed 2/8,@LAC,W110-104,17.0,2-4,50.0,0-1,0.0,2-2,100.0,6.0,1.0,1.0,0.0,2.0,3.0,6.0,0.0,1.0
Christian Wood,2022-23,Regular,Mon 2/6,@UTAH,W124-111,19.0,1-7,14.3,0-4,0.0,4-4,100.0,9.0,4.0,0.0,0.0,2.0,0.0,6.0,0.0,4.0
Christian Wood,2022-23,Regular,Wed 1/18,vsATL,L130-122,35.0,9-17,52.9,3-7,42.9,1-1,100.0,9.0,4.0,2.0,1.0,5.0,1.0,22.0,3.0,7.0
Christian Wood,2022-23,Regular,Sun 1/15,@POR,L140-123,36.0,8-22,36.4,1-8,12.5,6-7,85.7,16.0,2.0,1.0,0.0,2.0,3.0,23.0,1.0,8.0
Christian Wood,2022-23,Regular,Thu 1/12,@LAL,W119-115 2OT,47.0,10-17,58.8,2-6,33.3,2-4,50.0,14.0,6.0,5.0,1.0,3.0,1.0,24.0,2.0,6.0
Christian Wood,2022-23,Regular,Tue 1/10,@LAC,L113-101,35.0,2-7,28.6,0-1,0.0,8-8,100.0,3.0,0.0,2.0,0.0,3.0,3.0,12.0,0.0,1.0
Christian Wood,2022-23,Regular,Sun 1/8,@OKC,L120-109,39.0,8-13,61.5,1-5,20.0,10-12,83.3,16.0,2.0,0.0,0.0,3.0,4.0,27.0,1.0,5.0
Christian Wood,2022-23,Regular,Sat 1/7,vsNO,W127-117,24.0,9-14,64.3,4-7,57.1,6-7,85.7,6.0,1.0,2.0,0.0,3.0,1.0,28.0,4.0,7.0
Christian Wood,2022-23,Regular,Thu 1/5,vsBOS,L124-95,29.0,5-12,41.7,0-2,0.0,2-3,66.7,12.0,1.0,1.0,0.0,1.0,1.0,12.0,0.0,2.0
Christian Wood,2022-23,Regular,Mon 1/2,@HOU,W111-106,29.0,8-14,57.1,3-7,42.9,2-2,100.0,7.0,4.0,5.0,1.0,4.0,1.0,21.0,3.0,7.0
Christian Wood,2022-23,Regular,Sat 12/31,@SA,W126-125,29.0,10-15,66.7,4-7,57.1,1-2,50.0,7.0,2.0,1.0,0.0,3.0,1.0,25.0,4.0,7.0
Christian Wood,2022-23,Regular,Thu 12/29,vsHOU,W129-114,21.0,8-15,53.3,5-8,62.5,0-1,0.0,6.0,1.0,4.0,0.0,5.0,1.0,21.0,5.0,8.0
Christian Wood,2022-23,Regular,Tue 12/27,vsNY,W126-121 OT,40.0,7-15,46.7,3-9,33.3,2-2,100.0,9.0,2.0,3.0,0.0,4.0,1.0,19.0,3.0,9.0
Christian Wood,2022-23,Regular,Sun 12/25,vsLAL,W124-115,38.0,12-17,70.6,2-6,33.3,4-6,66.7,8.0,7.0,2.0,4.0,3.0,2.0,30.0,2.0,6.0
Christian Wood,2022-23,Regular,Fri 12/23,@HOU,W112-106,28.0,2-6,33.3,1-3,33.3,3-3,100.0,5.0,0.0,4.0,0.0,3.0,1.0,8.0,1.0,3.0
Christian Wood,2022-23,Regular,Wed 12/21,@MIN,W104-99,27.0,5-12,41.7,1-5,20.0,1-1,100.0,5.0,1.0,2.0,0.0,1.0,2.0,12.0,1.0,5.0
Christian Wood,2022-23,Regular,Mon 12/19,@MIN,L116-106,34.0,4-11,36.4,1-4,25.0,6-7,85.7,13.0,1.0,2.0,1.0,5.0,5.0,15.0,1.0,4.0
Christian Wood,2022-23,Regular,Sat 12/17,@CLE,L100-99 OT,43.0,9-18,50.0,5-13,38.5,3-4,75.0,14.0,2.0,2.0,2.0,1.0,1.0,26.0,5.0,13.0
Christian Wood,2022-23,Regular,Fri 12/16,vsPOR,W130-110,30.0,11-17,64.7,2-7,28.6,8-10,80.0,12.0,0.0,2.0,0.0,2.0,2.0,32.0,2.0,7.0
Christian Wood,2022-23,Regular,Wed 12/14,vsCLE,L105-90,35.0,7-14,50.0,4-7,57.1,2-4,50.0,7.0,1.0,0.0,0.0,3.0,2.0,20.0,4.0,7.0
Christian Wood,2022-23,Regular,Mon 12/12,vsOKC,W121-114,20.0,3-9,33.3,0-2,0.0,2-3,66.7,5.0,1.0,0.0,0.0,3.0,1.0,8.0,0.0,2.0
Christian Wood,2022-23,Regular,Sat 12/10,@CHI,L144-115,28.0,8-15,53.3,3-7,42.9,2-3,66.7,9.0,2.0,1.0,0.0,0.0,2.0,21.0,3.0,7.0
Christian Wood,2022-23,Regular,Fri 12/9,vsMIL,L106-105,23.0,6-14,42.9,2-5,40.0,0-0,0.0,9.0,2.0,0.0,0.0,4.0,2.0,14.0,2.0,5.0
Christian Wood,2022-23,Regular,Tue 12/6,@DEN,W116-115,27.0,6-7,85.7,0-1,0.0,2-2,100.0,6.0,2.0,1.0,2.0,3.0,1.0,14.0,0.0,1.0
Christian Wood,2022-23,Regular,Mon 12/5,vsPHX,W130-111,27.0,6-12,50.0,2-4,50.0,4-5,80.0,9.0,5.0,1.0,0.0,4.0,6.0,18.0,2.0,4.0
Christian Wood,2022-23,Regular,Thu 12/1,@DET,L131-125 OT,35.0,10-13,76.9,1-2,50.0,4-6,66.7,8.0,3.0,0.0,0.0,3.0,2.0,25.0,1.0,2.0
Christian Wood,2022-23,Regular,Tue 11/29,vsGS,W116-113,26.0,2-12,16.7,0-5,0.0,0-2,0.0,8.0,1.0,1.0,0.0,3.0,2.0,4.0,0.0,5.0
Christian Wood,2022-23,Regular,Sun 11/27,@MIL,L124-115,32.0,8-17,47.1,2-6,33.3,3-4,75.0,7.0,2.0,0.0,1.0,4.0,1.0,21.0,2.0,6.0
Christian Wood,2022-23,Regular,Sat 11/26,@TOR,L105-100,23.0,3-8,37.5,2-4,50.0,2-4,50.0,6.0,0.0,3.0,1.0,2.0,3.0,10.0,2.0,4.0
Christian Wood,2022-23,Regular,Wed 11/23,@BOS,L125-112,34.0,10-14,71.4,2-3,66.7,4-5,80.0,12.0,2.0,0.0,0.0,4.0,5.0,26.0,2.0,3.0
Christian Wood,2022-23,Regular,Sun 11/20,vsDEN,L98-97,17.0,2-3,66.7,0-0,0.0,1-2,50.0,7.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
Christian Wood,2022-23,Regular,Fri 11/18,vsDEN,W127-99,26.0,11-16,68.8,2-4,50.0,4-5,80.0,8.0,1.0,0.0,0.0,2.0,3.0,28.0,2.0,4.0
Christian Wood,2022-23,Regular,Wed 11/16,vsHOU,L101-92,31.0,9-22,40.9,2-7,28.6,6-6,100.0,8.0,3.0,1.0,1.0,4.0,0.0,26.0,2.0,7.0
Christian Wood,2022-23,Regular,Tue 11/15,vsLAC,W103-101,24.0,6-8,75.0,2-2,100.0,1-4,25.0,7.0,0.0,0.0,0.0,2.0,4.0,15.0,2.0,2.0
Christian Wood,2022-23,Regular,Sat 11/12,vsPOR,W117-112,25.0,7-11,63.6,1-5,20.0,4-5,80.0,5.0,1.0,0.0,2.0,6.0,2.0,19.0,1.0,5.0
Christian Wood,2022-23,Regular,Mon 11/7,vsBKN,W96-94,21.0,3-9,33.3,0-1,0.0,0-0,0.0,6.0,1.0,0.0,1.0,2.0,4.0,6.0,0.0,1.0
Christian Wood,2022-23,Regular,Fri 11/4,vsTOR,W111-110,23.0,5-8,62.5,1-2,50.0,2-2,100.0,5.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,2.0
Christian Wood,2022-23,Regular,Wed 11/2,vsUTAH,W103-100,23.0,10-15,66.7,1-5,20.0,0-0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,21.0,1.0,5.0
Christian Wood,2022-23,Regular,Sun 10/30,vsORL,W114-105,24.0,2-6,33.3,0-1,0.0,1-1,100.0,10.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,1.0
Christian Wood,2022-23,Regular,Sat 10/29,vsOKC,L117-111 OT,29.0,5-10,50.0,0-2,0.0,1-2,50.0,7.0,0.0,1.0,0.0,5.0,3.0,11.0,0.0,2.0
Christian Wood,2022-23,Regular,Thu 10/27,@BKN,W129-125 OT,24.0,3-5,60.0,2-2,100.0,3-4,75.0,6.0,0.0,1.0,0.0,5.0,3.0,11.0,2.0,2.0
Christian Wood,2022-23,Regular,Tue 10/25,@NO,L113-111,29.0,8-10,80.0,3-3,100.0,4-6,66.7,6.0,0.0,0.0,1.0,1.0,3.0,23.0,3.0,3.0
Christian Wood,2022-23,Regular,Sat 10/22,vsMEM,W137-96,25.0,6-12,50.0,1-3,33.3,12-14,85.7,12.0,3.0,1.0,0.0,4.0,2.0,25.0,1.0,3.0
Christian Wood,2022-23,Regular,Wed 10/19,@PHX,L107-105,24.0,9-15,60.0,4-7,57.1,3-10,30.0,8.0,2.0,1.0,0.0,2.0,1.0,25.0,4.0,7.0
Christian Wood,2022-23,Preseason,Fri 10/14,@UTAH,W115-101,23.0,2-7,28.6,2-7,28.6,6-8,75.0,10.0,2.0,2.0,1.0,4.0,2.0,12.0,2.0,7.0
Christian Wood,2022-23,Preseason,Fri 10/7,vsORL,L110-105,19.0,8-12,66.7,3-6,50.0,4-4,100.0,2.0,1.0,0.0,0.0,1.0,1.0,23.0,3.0,6.0
Christian Wood,2022-23,Preseason,Wed 10/5,vsOKC,W98-96,25.0,7-13,53.8,2-4,50.0,0-0,0.0,13.0,1.0,0.0,0.0,3.0,2.0,16.0,2.0,4.0
