Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Chuma Okeke,2022-23,Regular,Sun 4/9,@MIA,L123-110,33.0,5-11,45.5,4-8,50.0,0-0,0.0,4.0,5.0,0.0,3.0,1.0,2.0,14.0,4.0,8.0
Chuma Okeke,2022-23,Regular,Fri 4/7,@BKN,L101-84,25.0,2-9,22.2,1-8,12.5,0-0,0.0,6.0,3.0,0.0,1.0,1.0,3.0,5.0,1.0,8.0
Chuma Okeke,2022-23,Regular,Thu 4/6,vsCLE,L118-94,32.0,1-6,16.7,0-3,0.0,0-0,0.0,5.0,3.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0
Chuma Okeke,2022-23,Regular,Sun 4/2,vsDET,W128-102,11.0,1-2,50.0,1-2,50.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
Chuma Okeke,2022-23,Regular,Sun 3/26,vsBKN,W119-106,4.0,0-1,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuma Okeke,2022-23,Regular,Sat 3/11,vsMIA,W126-114 OT,3.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Chuma Okeke,2022-23,Regular,Tue 3/7,vsMIL,L134-123,1.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Chuma Okeke,2022-23,Regular,Wed 3/1,@MIL,L139-117,5.0,1-3,33.3,1-2,50.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0
Chuma Okeke,2022-23,Regular,Tue 2/14,@TOR,L123-113,13.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Chuma Okeke,2022-23,Regular,Mon 11/21,@IND,L123-102,12.0,0-3,0.0,0-3,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Chuma Okeke,2022-23,Regular,Sat 11/19,@IND,L114-113,25.0,1-3,33.3,1-3,33.3,1-2,50.0,3.0,1.0,0.0,2.0,1.0,0.0,4.0,1.0,3.0
Chuma Okeke,2022-23,Regular,Fri 11/18,@CHI,W108-107,29.0,1-5,20.0,0-2,0.0,2-2,100.0,7.0,2.0,2.0,1.0,4.0,0.0,4.0,0.0,2.0
Chuma Okeke,2022-23,Regular,Wed 11/16,vsMIN,L126-108,32.0,2-8,25.0,1-6,16.7,0-0,0.0,5.0,1.0,0.0,2.0,3.0,1.0,5.0,1.0,6.0
Chuma Okeke,2022-23,Regular,Mon 11/14,vsCHA,L112-105,33.0,4-10,40.0,2-6,33.3,0-0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,10.0,2.0,6.0
Chuma Okeke,2022-23,Regular,Fri 11/11,vsPHX,W114-97,30.0,4-10,40.0,2-6,33.3,1-1,100.0,5.0,3.0,1.0,1.0,1.0,0.0,11.0,2.0,6.0
Chuma Okeke,2022-23,Regular,Wed 11/9,vsDAL,W94-87,32.0,2-5,40.0,1-2,50.0,3-6,50.0,7.0,2.0,1.0,0.0,4.0,3.0,8.0,1.0,2.0
Chuma Okeke,2022-23,Regular,Mon 11/7,vsHOU,L134-127,16.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
Chuma Okeke,2022-23,Regular,Sat 11/5,vsSAC,L126-123 OT,23.0,2-6,33.3,0-3,0.0,0-0,0.0,6.0,0.0,2.0,2.0,1.0,1.0,4.0,0.0,3.0
Chuma Okeke,2022-23,Regular,Thu 11/3,vsGS,W130-129,27.0,4-6,66.7,3-5,60.0,5-6,83.3,9.0,3.0,1.0,0.0,2.0,0.0,16.0,3.0,5.0
Chuma Okeke,2022-23,Regular,Tue 11/1,@OKC,L116-108,13.0,2-3,66.7,2-3,66.7,0-0,0.0,5.0,1.0,0.0,1.0,1.0,3.0,6.0,2.0,3.0
Chuma Okeke,2022-23,Regular,Sun 10/30,@DAL,L114-105,25.0,2-5,40.0,1-4,25.0,0-0,0.0,8.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0,4.0
Chuma Okeke,2022-23,Regular,Fri 10/28,vsCHA,W113-93,29.0,3-7,42.9,2-5,40.0,2-2,100.0,6.0,2.0,0.0,1.0,4.0,0.0,10.0,2.0,5.0
Chuma Okeke,2022-23,Regular,Wed 10/26,@CLE,L103-92,5.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chuma Okeke,2022-23,Regular,Mon 10/24,@NY,L115-102,12.0,0-5,0.0,0-5,0.0,0-0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0
Chuma Okeke,2022-23,Regular,Sat 10/22,vsBOS,L126-120,16.0,3-3,100.0,2-2,100.0,0-0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,8.0,2.0,2.0
Chuma Okeke,2022-23,Regular,Fri 10/21,@ATL,L108-98,14.0,1-2,50.0,1-2,50.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
Chuma Okeke,2022-23,Regular,Wed 10/19,@DET,L113-109,18.0,0-3,0.0,0-1,0.0,2-2,100.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
Chuma Okeke,2022-23,Preseason,Fri 10/14,vsCLE,W114-108,14.0,2-6,33.3,1-5,20.0,0-1,0.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0
Chuma Okeke,2022-23,Preseason,Tue 10/11,vsMEM,W109-105,18.0,2-6,33.3,1-5,20.0,2-2,100.0,0.0,4.0,1.0,1.0,0.0,1.0,7.0,1.0,5.0
Chuma Okeke,2022-23,Preseason,Fri 10/7,@DAL,W110-105,22.0,3-7,42.9,1-4,25.0,0-0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,4.0
Chuma Okeke,2022-23,Preseason,Thu 10/6,@SA,W102-99,18.0,2-5,40.0,1-4,25.0,2-2,100.0,5.0,2.0,0.0,2.0,1.0,0.0,7.0,1.0,4.0
