Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Cody Zeller,2022-23,Postseason,Mon 6/12,@DEN,L94-89,1.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Fri 6/9,vsDEN,L108-95,4.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Wed 6/7,vsDEN,L109-94,6.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Sun 6/4,@DEN,W111-108,8.0,2-2,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Thu 6/1,@DEN,L104-93,8.0,0-1,0.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Sat 5/27,vsBOS,L104-103,2.0,0-0,0.0,0-0,0.0,1-2,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Thu 5/25,@BOS,L110-97,4.0,2-2,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Tue 5/23,vsBOS,L116-99,13.0,1-2,50.0,0-0,0.0,3-3,100.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Sun 5/21,vsBOS,W128-102,18.0,2-4,50.0,0-0,0.0,0-2,0.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Fri 5/19,@BOS,W111-105,10.0,1-3,33.3,0-0,0.0,0-0,0.0,6.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Wed 5/17,@BOS,W123-116,9.0,0-2,0.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Fri 5/12,vsNY,W96-92,9.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Wed 5/10,@NY,L112-103,9.0,2-3,66.7,0-0,0.0,1-2,50.0,2.0,1.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Mon 5/8,vsNY,W109-101,8.0,1-2,50.0,0-0,0.0,0-2,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Sat 5/6,vsNY,W105-86,12.0,3-6,50.0,0-0,0.0,0-0,0.0,6.0,1.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Tue 5/2,@NY,L111-105,7.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Sun 4/30,@NY,W108-101,8.0,0-0,0.0,0-0,0.0,1-2,50.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Wed 4/26,@MIL,W128-126 OT,10.0,2-2,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Mon 4/24,vsMIL,W119-114,7.0,1-2,50.0,0-0,0.0,0-2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Sat 4/22,vsMIL,W121-99,7.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cody Zeller,2022-23,Postseason,Wed 4/19,@MIL,L138-122,12.0,2-2,100.0,0-0,0.0,0-0,0.0,8.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0
Cody Zeller,2022-23,Regular,Sun 4/9,vsORL,W123-110,12.0,2-2,100.0,0-0,0.0,2-4,50.0,4.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0
Cody Zeller,2022-23,Regular,Fri 4/7,@WSH,L114-108,22.0,8-10,80.0,0-0,0.0,1-1,100.0,5.0,1.0,0.0,0.0,3.0,3.0,17.0,0.0,0.0
Cody Zeller,2022-23,Regular,Sat 4/1,vsDAL,W129-122,29.0,9-13,69.2,0-1,0.0,2-3,66.7,8.0,0.0,0.0,1.0,2.0,0.0,20.0,0.0,1.0
Cody Zeller,2022-23,Regular,Wed 3/29,@NY,L101-92,13.0,1-2,50.0,0-0,0.0,0-2,0.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
Cody Zeller,2022-23,Regular,Tue 3/28,@TOR,L106-92,11.0,2-3,66.7,0-0,0.0,2-2,100.0,7.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0
Cody Zeller,2022-23,Regular,Sat 3/11,@ORL,L126-114 OT,4.0,0-1,0.0,0-1,0.0,2-2,100.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Cody Zeller,2022-23,Regular,Fri 3/10,vsCLE,W119-115,11.0,0-5,0.0,0-0,0.0,0-0,0.0,6.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
