Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Cole Anthony,2022-23,Regular,Fri 4/7,@BKN,L101-84,30.0,6-16,37.5,2-6,33.3,0-0,0.0,9.0,6.0,0.0,0.0,1.0,3.0,14.0,2.0,6.0
Cole Anthony,2022-23,Regular,Tue 4/4,vsCLE,L117-113,26.0,4-6,66.7,1-1,100.0,6-6,100.0,4.0,5.0,0.0,1.0,2.0,2.0,15.0,1.0,1.0
Cole Anthony,2022-23,Regular,Sun 4/2,vsDET,W128-102,28.0,6-11,54.5,2-5,40.0,3-4,75.0,6.0,3.0,0.0,0.0,4.0,1.0,17.0,2.0,5.0
Cole Anthony,2022-23,Regular,Fri 3/31,@WSH,W116-109,28.0,7-11,63.6,2-3,66.7,0-0,0.0,7.0,4.0,2.0,0.0,2.0,1.0,16.0,2.0,3.0
Cole Anthony,2022-23,Regular,Tue 3/28,@MEM,L113-108,28.0,5-11,45.5,0-3,0.0,0-0,0.0,5.0,5.0,0.0,2.0,3.0,4.0,10.0,0.0,3.0
Cole Anthony,2022-23,Regular,Sun 3/26,vsBKN,W119-106,31.0,8-13,61.5,1-2,50.0,4-4,100.0,6.0,3.0,0.0,0.0,5.0,0.0,21.0,1.0,2.0
Cole Anthony,2022-23,Regular,Thu 3/23,vsNY,W111-106,26.0,6-13,46.2,4-6,66.7,2-2,100.0,6.0,1.0,1.0,1.0,2.0,1.0,18.0,4.0,6.0
Cole Anthony,2022-23,Regular,Tue 3/21,vsWSH,W122-112,30.0,7-14,50.0,1-4,25.0,1-1,100.0,7.0,5.0,0.0,1.0,3.0,4.0,16.0,1.0,4.0
Cole Anthony,2022-23,Regular,Sun 3/19,@LAL,L111-105,28.0,5-15,33.3,3-8,37.5,4-4,100.0,5.0,3.0,1.0,1.0,4.0,0.0,17.0,3.0,8.0
Cole Anthony,2022-23,Regular,Sat 3/18,@LAC,W113-108,29.0,7-14,50.0,1-4,25.0,3-3,100.0,8.0,2.0,0.0,1.0,3.0,1.0,18.0,1.0,4.0
Cole Anthony,2022-23,Regular,Thu 3/16,@PHX,L116-113,27.0,5-9,55.6,2-4,50.0,5-5,100.0,5.0,3.0,0.0,0.0,1.0,1.0,17.0,2.0,4.0
Cole Anthony,2022-23,Regular,Tue 3/14,@SA,L132-114,29.0,5-13,38.5,2-5,40.0,2-2,100.0,5.0,4.0,0.0,0.0,4.0,0.0,14.0,2.0,5.0
Cole Anthony,2022-23,Regular,Sat 3/11,vsMIA,W126-114 OT,33.0,5-9,55.6,1-1,100.0,5-5,100.0,6.0,3.0,1.0,0.0,5.0,3.0,16.0,1.0,1.0
Cole Anthony,2022-23,Regular,Thu 3/9,vsUTAH,L131-124,22.0,2-8,25.0,2-2,100.0,0-1,0.0,1.0,0.0,0.0,3.0,2.0,3.0,6.0,2.0,2.0
Cole Anthony,2022-23,Regular,Tue 3/7,vsMIL,L134-123,33.0,9-17,52.9,1-3,33.3,4-5,80.0,5.0,3.0,0.0,2.0,2.0,0.0,23.0,1.0,3.0
Cole Anthony,2022-23,Regular,Sun 3/5,vsPOR,L122-119,24.0,2-9,22.2,1-5,20.0,0-0,0.0,3.0,6.0,0.0,0.0,3.0,1.0,5.0,1.0,5.0
Cole Anthony,2022-23,Regular,Fri 3/3,@CHA,W117-106,29.0,6-10,60.0,1-2,50.0,3-3,100.0,3.0,4.0,0.0,1.0,3.0,2.0,16.0,1.0,2.0
Cole Anthony,2022-23,Regular,Wed 3/1,@MIL,L139-117,33.0,10-16,62.5,3-7,42.9,5-7,71.4,7.0,4.0,0.0,0.0,4.0,1.0,28.0,3.0,7.0
Cole Anthony,2022-23,Regular,Mon 2/27,@NO,W101-93,27.0,1-6,16.7,0-3,0.0,0-0,0.0,3.0,2.0,0.0,1.0,4.0,2.0,2.0,0.0,3.0
Cole Anthony,2022-23,Regular,Sat 2/25,vsIND,L121-108,17.0,2-7,28.6,0-2,0.0,4-4,100.0,4.0,5.0,2.0,0.0,3.0,2.0,8.0,0.0,2.0
Cole Anthony,2022-23,Regular,Thu 2/23,vsDET,W108-106,18.0,5-12,41.7,3-3,100.0,2-2,100.0,4.0,4.0,0.0,0.0,2.0,1.0,15.0,3.0,3.0
Cole Anthony,2022-23,Regular,Sat 2/11,vsMIA,L107-103 OT,20.0,3-9,33.3,1-3,33.3,0-0,0.0,4.0,6.0,1.0,0.0,1.0,0.0,7.0,1.0,3.0
Cole Anthony,2022-23,Regular,Thu 2/9,vsDEN,W115-104,24.0,8-14,57.1,0-3,0.0,1-2,50.0,7.0,7.0,3.0,0.0,1.0,2.0,17.0,0.0,3.0
Cole Anthony,2022-23,Regular,Tue 2/7,vsNY,L102-98,21.0,3-7,42.9,1-2,50.0,2-2,100.0,3.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,2.0
Cole Anthony,2022-23,Regular,Sun 2/5,@CHA,W119-113,20.0,4-8,50.0,0-1,0.0,1-1,100.0,2.0,5.0,1.0,0.0,2.0,2.0,9.0,0.0,1.0
Cole Anthony,2022-23,Regular,Fri 2/3,@MIN,W127-120,27.0,6-8,75.0,2-2,100.0,6-8,75.0,8.0,6.0,1.0,1.0,5.0,2.0,20.0,2.0,2.0
Cole Anthony,2022-23,Regular,Wed 2/1,@PHI,L105-94,18.0,2-7,28.6,0-2,0.0,7-7,100.0,4.0,0.0,1.0,1.0,1.0,0.0,11.0,0.0,2.0
Cole Anthony,2022-23,Regular,Mon 1/30,@PHI,W119-109,16.0,2-7,28.6,1-3,33.3,0-0,0.0,5.0,2.0,1.0,0.0,1.0,2.0,5.0,1.0,3.0
Cole Anthony,2022-23,Regular,Sat 1/28,vsCHI,L128-109,30.0,9-15,60.0,3-5,60.0,0-0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,21.0,3.0,5.0
Cole Anthony,2022-23,Regular,Fri 1/27,@MIA,L110-105,28.0,5-9,55.6,4-7,57.1,5-6,83.3,7.0,1.0,0.0,0.0,1.0,3.0,19.0,4.0,7.0
Cole Anthony,2022-23,Regular,Wed 1/25,vsIND,W126-120,25.0,4-9,44.4,0-2,0.0,0-0,0.0,2.0,5.0,1.0,0.0,1.0,0.0,8.0,0.0,2.0
Cole Anthony,2022-23,Regular,Mon 1/23,vsBOS,W113-98,23.0,8-12,66.7,0-1,0.0,2-3,66.7,5.0,4.0,1.0,2.0,1.0,1.0,18.0,0.0,1.0
Cole Anthony,2022-23,Regular,Sat 1/21,@WSH,L138-118,22.0,3-7,42.9,0-1,0.0,0-0,0.0,6.0,1.0,3.0,1.0,1.0,2.0,6.0,0.0,1.0
Cole Anthony,2022-23,Regular,Fri 1/20,vsNO,W123-110,26.0,6-9,66.7,2-4,50.0,8-8,100.0,3.0,4.0,0.0,0.0,2.0,2.0,22.0,2.0,4.0
Cole Anthony,2022-23,Regular,Sun 1/15,@DEN,L119-116,24.0,1-7,14.3,0-1,0.0,5-6,83.3,5.0,6.0,1.0,0.0,4.0,0.0,7.0,0.0,1.0
Cole Anthony,2022-23,Regular,Fri 1/13,@UTAH,L112-108,19.0,1-4,25.0,1-1,100.0,2-2,100.0,2.0,4.0,1.0,0.0,2.0,3.0,5.0,1.0,1.0
Cole Anthony,2022-23,Regular,Tue 1/10,@POR,W109-106,25.0,2-6,33.3,0-0,0.0,2-3,66.7,3.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
Cole Anthony,2022-23,Regular,Mon 1/9,@SAC,L136-111,29.0,3-13,23.1,0-5,0.0,2-2,100.0,7.0,3.0,1.0,1.0,3.0,1.0,8.0,0.0,5.0
Cole Anthony,2022-23,Regular,Sat 1/7,@GS,W115-101,30.0,6-9,66.7,2-4,50.0,2-3,66.7,7.0,5.0,0.0,1.0,1.0,1.0,16.0,2.0,4.0
Cole Anthony,2022-23,Regular,Thu 1/5,vsMEM,L123-115,22.0,0-8,0.0,0-5,0.0,4-4,100.0,4.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,5.0
Cole Anthony,2022-23,Regular,Wed 1/4,vsOKC,W126-115,30.0,2-6,33.3,0-3,0.0,2-2,100.0,3.0,6.0,1.0,0.0,2.0,2.0,6.0,0.0,3.0
Cole Anthony,2022-23,Regular,Wed 12/28,@DET,L121-101,28.0,2-6,33.3,0-2,0.0,4-4,100.0,5.0,6.0,2.0,1.0,3.0,2.0,8.0,0.0,2.0
Cole Anthony,2022-23,Regular,Tue 12/27,vsLAL,L129-110,26.0,4-13,30.8,0-3,0.0,0-0,0.0,2.0,4.0,0.0,1.0,4.0,2.0,8.0,0.0,3.0
Cole Anthony,2022-23,Regular,Fri 12/23,vsSA,W133-113,31.0,8-10,80.0,4-4,100.0,3-3,100.0,10.0,9.0,0.0,0.0,5.0,3.0,23.0,4.0,4.0
Cole Anthony,2022-23,Regular,Wed 12/21,@HOU,W116-110,23.0,5-13,38.5,3-8,37.5,2-2,100.0,4.0,6.0,0.0,1.0,1.0,0.0,15.0,3.0,8.0
Cole Anthony,2022-23,Regular,Mon 12/19,@ATL,L126-125,20.0,1-5,20.0,0-1,0.0,6-6,100.0,3.0,4.0,1.0,1.0,4.0,1.0,8.0,0.0,1.0
Cole Anthony,2022-23,Regular,Sun 12/18,@BOS,W95-92,22.0,3-7,42.9,1-1,100.0,0-0,0.0,3.0,3.0,0.0,0.0,3.0,4.0,7.0,1.0,1.0
Cole Anthony,2022-23,Regular,Fri 12/16,@BOS,W117-109,29.0,7-13,53.8,0-5,0.0,0-0,0.0,5.0,3.0,0.0,0.0,2.0,2.0,14.0,0.0,5.0
Cole Anthony,2022-23,Regular,Wed 12/14,vsATL,W135-124,20.0,3-7,42.9,0-3,0.0,7-7,100.0,5.0,6.0,0.0,0.0,4.0,3.0,13.0,0.0,3.0
Cole Anthony,2022-23,Regular,Sun 12/11,vsTOR,W111-99,29.0,5-9,55.6,1-3,33.3,3-3,100.0,6.0,6.0,0.0,1.0,4.0,1.0,14.0,1.0,3.0
Cole Anthony,2022-23,Regular,Fri 12/9,vsTOR,W113-109,23.0,7-10,70.0,3-5,60.0,1-2,50.0,3.0,5.0,0.0,1.0,4.0,4.0,18.0,3.0,5.0
Cole Anthony,2022-23,Regular,Wed 12/7,vsLAC,W116-111 OT,27.0,5-13,38.5,2-5,40.0,1-1,100.0,4.0,4.0,0.0,0.0,2.0,0.0,13.0,2.0,5.0
Cole Anthony,2022-23,Regular,Mon 12/5,vsMIL,L109-102,21.0,0-9,0.0,0-4,0.0,0-0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0
Cole Anthony,2022-23,Regular,Sat 12/3,@TOR,L121-108,24.0,4-10,40.0,1-3,33.3,3-3,100.0,3.0,5.0,0.0,1.0,2.0,0.0,12.0,1.0,3.0
Cole Anthony,2022-23,Regular,Fri 12/2,@CLE,L107-96,29.0,7-11,63.6,3-4,75.0,2-2,100.0,6.0,3.0,1.0,3.0,4.0,1.0,19.0,3.0,4.0
Cole Anthony,2022-23,Regular,Wed 11/30,vsATL,L125-108,24.0,3-7,42.9,0-1,0.0,5-5,100.0,4.0,2.0,0.0,1.0,6.0,2.0,11.0,0.0,1.0
Cole Anthony,2022-23,Regular,Wed 10/26,@CLE,L103-92,32.0,2-10,20.0,1-5,20.0,4-4,100.0,6.0,5.0,1.0,0.0,5.0,3.0,9.0,1.0,5.0
Cole Anthony,2022-23,Regular,Mon 10/24,@NY,L115-102,29.0,6-18,33.3,0-5,0.0,2-2,100.0,4.0,4.0,0.0,1.0,4.0,1.0,14.0,0.0,5.0
Cole Anthony,2022-23,Regular,Sat 10/22,vsBOS,L126-120,32.0,6-13,46.2,2-5,40.0,0-2,0.0,9.0,6.0,1.0,1.0,4.0,2.0,14.0,2.0,5.0
Cole Anthony,2022-23,Regular,Fri 10/21,@ATL,L108-98,28.0,8-12,66.7,4-5,80.0,5-7,71.4,0.0,2.0,1.0,1.0,1.0,2.0,25.0,4.0,5.0
