Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Collin Sexton,2022-23,Regular,Tue 4/4,vsLAL,L135-133 OT,16.0,7-14,50.0,0-5,0.0,1-2,50.0,1.0,3.0,0.0,0.0,3.0,1.0,15.0,0.0,5.0
Collin Sexton,2022-23,Regular,Wed 2/15,@MEM,L117-111,4.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Collin Sexton,2022-23,Regular,Mon 2/13,@IND,W123-117,29.0,7-14,50.0,0-1,0.0,4-5,80.0,1.0,6.0,0.0,2.0,2.0,2.0,18.0,0.0,1.0
Collin Sexton,2022-23,Regular,Sat 2/11,@NY,L126-120,31.0,6-12,50.0,1-4,25.0,2-5,40.0,2.0,5.0,0.0,0.0,6.0,2.0,15.0,1.0,4.0
Collin Sexton,2022-23,Regular,Fri 2/10,@TOR,W122-116,37.0,8-14,57.1,0-3,0.0,6-7,85.7,5.0,6.0,2.0,2.0,3.0,3.0,22.0,0.0,3.0
Collin Sexton,2022-23,Regular,Wed 2/8,vsMIN,L143-118,31.0,6-10,60.0,4-5,80.0,6-8,75.0,5.0,5.0,0.0,0.0,0.0,0.0,22.0,4.0,5.0
Collin Sexton,2022-23,Regular,Mon 2/6,vsDAL,L124-111,25.0,2-3,66.7,0-0,0.0,6-6,100.0,0.0,1.0,0.0,0.0,4.0,2.0,10.0,0.0,0.0
Collin Sexton,2022-23,Regular,Fri 2/3,vsATL,L115-108,20.0,6-9,66.7,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,1.0
Collin Sexton,2022-23,Regular,Wed 2/1,vsTOR,W131-128,20.0,4-7,57.1,2-4,50.0,2-2,100.0,3.0,4.0,0.0,0.0,1.0,3.0,12.0,2.0,4.0
Collin Sexton,2022-23,Regular,Sat 1/28,vsDAL,W108-100,19.0,3-7,42.9,2-4,50.0,4-4,100.0,2.0,1.0,0.0,1.0,2.0,1.0,12.0,2.0,4.0
Collin Sexton,2022-23,Regular,Wed 1/25,@POR,L134-124,22.0,8-11,72.7,3-3,100.0,0-0,0.0,4.0,2.0,1.0,0.0,3.0,3.0,19.0,3.0,3.0
Collin Sexton,2022-23,Regular,Mon 1/23,vsCHA,W120-102,20.0,3-8,37.5,0-1,0.0,5-5,100.0,2.0,3.0,0.0,0.0,2.0,2.0,11.0,0.0,1.0
Collin Sexton,2022-23,Regular,Fri 1/20,vsBKN,L117-106,29.0,7-12,58.3,2-3,66.7,1-4,25.0,0.0,1.0,0.0,1.0,3.0,0.0,17.0,2.0,3.0
Collin Sexton,2022-23,Regular,Wed 1/18,vsLAC,W126-103,22.0,3-9,33.3,0-1,0.0,5-7,71.4,1.0,1.0,1.0,1.0,3.0,3.0,11.0,0.0,1.0
Collin Sexton,2022-23,Regular,Mon 1/16,@MIN,W126-125,26.0,7-10,70.0,0-0,0.0,5-5,100.0,4.0,4.0,0.0,0.0,3.0,3.0,19.0,0.0,0.0
Collin Sexton,2022-23,Regular,Fri 1/13,vsORL,W112-108,24.0,7-12,58.3,2-3,66.7,2-4,50.0,3.0,3.0,0.0,0.0,1.0,2.0,18.0,2.0,3.0
Collin Sexton,2022-23,Regular,Sat 12/31,vsMIA,L126-123,24.0,4-11,36.4,3-5,60.0,3-3,100.0,2.0,3.0,0.0,1.0,4.0,1.0,14.0,3.0,5.0
Collin Sexton,2022-23,Regular,Fri 12/30,@SAC,L126-125,29.0,3-9,33.3,0-3,0.0,3-4,75.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,0.0,3.0
Collin Sexton,2022-23,Regular,Wed 12/28,@GS,L112-107,16.0,3-7,42.9,1-2,50.0,4-4,100.0,2.0,4.0,0.0,0.0,4.0,1.0,11.0,1.0,2.0
Collin Sexton,2022-23,Regular,Mon 12/26,@SA,L126-122,23.0,5-12,41.7,1-2,50.0,2-2,100.0,2.0,4.0,0.0,2.0,2.0,1.0,13.0,1.0,2.0
Collin Sexton,2022-23,Regular,Thu 12/22,vsWSH,W120-112,17.0,6-7,85.7,2-2,100.0,4-4,100.0,1.0,0.0,0.0,0.0,4.0,1.0,18.0,2.0,2.0
