Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Cory Joseph,2022-23,Regular,Sun 4/9,@CHI,L103-81,37.0,2-10,20.0,1-7,14.3,0-1,0.0,4.0,9.0,0.0,0.0,1.0,2.0,5.0,1.0,7.0
Cory Joseph,2022-23,Regular,Fri 4/7,@IND,W122-115,33.0,7-14,50.0,4-9,44.4,0-0,0.0,3.0,5.0,0.0,2.0,5.0,1.0,18.0,4.0,9.0
Cory Joseph,2022-23,Regular,Wed 4/5,vsBKN,L123-108,30.0,4-7,57.1,4-5,80.0,0-0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,12.0,4.0,5.0
Cory Joseph,2022-23,Regular,Tue 4/4,vsMIA,L118-105,28.0,2-7,28.6,2-6,33.3,0-0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,2.0,6.0
Cory Joseph,2022-23,Regular,Sun 4/2,@ORL,L128-102,21.0,2-4,50.0,2-4,50.0,2-3,66.7,2.0,5.0,0.0,0.0,2.0,0.0,8.0,2.0,4.0
Cory Joseph,2022-23,Regular,Fri 3/31,@HOU,L121-115,25.0,7-11,63.6,3-6,50.0,0-0,0.0,4.0,5.0,1.0,1.0,1.0,2.0,17.0,3.0,6.0
Cory Joseph,2022-23,Regular,Wed 3/29,@OKC,L107-106,33.0,5-10,50.0,3-6,50.0,0-0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,13.0,3.0,6.0
Cory Joseph,2022-23,Regular,Mon 3/27,vsMIL,L126-117,24.0,1-7,14.3,1-4,25.0,1-1,100.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0
Cory Joseph,2022-23,Regular,Tue 3/21,@ATL,L129-107,25.0,3-8,37.5,2-6,33.3,4-4,100.0,1.0,4.0,0.0,1.0,2.0,1.0,12.0,2.0,6.0
Cory Joseph,2022-23,Regular,Sun 3/19,vsMIA,L112-100,29.0,5-11,45.5,3-6,50.0,3-4,75.0,3.0,2.0,0.0,0.0,1.0,0.0,16.0,3.0,6.0
Cory Joseph,2022-23,Regular,Thu 3/16,vsDEN,L119-100,31.0,3-7,42.9,3-4,75.0,4-5,80.0,0.0,2.0,0.0,0.0,1.0,3.0,13.0,3.0,4.0
Cory Joseph,2022-23,Regular,Tue 3/14,@WSH,L117-97,30.0,4-9,44.4,2-5,40.0,2-2,100.0,4.0,5.0,1.0,2.0,0.0,4.0,12.0,2.0,5.0
Cory Joseph,2022-23,Regular,Mon 3/13,vsIND,W117-97,32.0,8-14,57.1,5-8,62.5,1-1,100.0,5.0,5.0,0.0,1.0,2.0,2.0,22.0,5.0,8.0
