Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Damian Jones,2022-23,Regular,Sun 4/9,@LAL,L128-117,21.0,4-5,80.0,0-1,0.0,0-0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,8.0,0.0,1.0
Damian Jones,2022-23,Regular,Sat 4/8,vsDEN,W118-114,18.0,3-4,75.0,0-0,0.0,0-0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
Damian Jones,2022-23,Regular,Thu 4/6,vsOKC,L114-98,21.0,2-3,66.7,0-0,0.0,0-0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,4.0,0.0,0.0
Damian Jones,2022-23,Regular,Tue 4/4,vsLAL,L135-133 OT,32.0,5-5,100.0,3-3,100.0,3-4,75.0,8.0,1.0,0.0,0.0,3.0,1.0,16.0,3.0,3.0
Damian Jones,2022-23,Regular,Fri 3/31,@BOS,L122-114,14.0,1-1,100.0,1-1,100.0,0-0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0
Damian Jones,2022-23,Regular,Wed 3/29,@SA,W128-117,23.0,3-4,75.0,1-1,100.0,0-0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,7.0,1.0,1.0
Damian Jones,2022-23,Regular,Mon 3/27,vsPHX,L117-103,18.0,1-2,50.0,1-2,50.0,0-0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0
Damian Jones,2022-23,Regular,Sat 3/25,@SAC,L121-113,7.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Damian Jones,2022-23,Regular,Fri 3/24,vsMIL,L144-116,17.0,2-7,28.6,1-3,33.3,0-0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,3.0
Damian Jones,2022-23,Regular,Wed 3/22,vsPOR,L127-115,2.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
