Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Damion Lee,2022-23,Postseason,Thu 5/11,vsDEN,L125-100,12.0,3-4,75.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0
Damion Lee,2022-23,Postseason,Tue 5/9,@DEN,L118-102,4.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Damion Lee,2022-23,Postseason,Mon 5/1,@DEN,L97-87,26.0,0-5,0.0,0-3,0.0,0-0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Damion Lee,2022-23,Postseason,Sat 4/29,@DEN,L125-107,12.0,1-4,25.0,1-4,25.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0
Damion Lee,2022-23,Postseason,Tue 4/25,vsLAC,W136-130,7.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0
Damion Lee,2022-23,Postseason,Sat 4/22,@LAC,W112-100,14.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
Damion Lee,2022-23,Postseason,Thu 4/20,@LAC,W129-124,11.0,2-3,66.7,2-3,66.7,2-2,100.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,2.0,3.0
Damion Lee,2022-23,Postseason,Tue 4/18,vsLAC,W123-109,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damion Lee,2022-23,Regular,Sun 4/9,vsLAC,L119-114,31.0,3-7,42.9,0-3,0.0,2-2,100.0,4.0,1.0,0.0,0.0,4.0,2.0,8.0,0.0,3.0
Damion Lee,2022-23,Regular,Fri 4/7,@LAL,L121-107,18.0,3-9,33.3,1-2,50.0,0-0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,2.0
Damion Lee,2022-23,Regular,Tue 4/4,vsSA,W115-94,3.0,1-3,33.3,1-1,100.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
