Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Daniel Gafford,2022-23,Regular,Fri 4/7,vsMIA,W114-108,25.0,9-10,90.0,0-0,0.0,4-4,100.0,8.0,4.0,1.0,0.0,3.0,2.0,22.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Wed 4/5,@ATL,L134-116,23.0,8-10,80.0,0-0,0.0,9-9,100.0,10.0,1.0,2.0,1.0,3.0,3.0,25.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Tue 4/4,vsMIL,L140-128,21.0,7-10,70.0,0-0,0.0,1-2,50.0,7.0,2.0,0.0,0.0,4.0,1.0,15.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Sun 4/2,@NY,L118-109,28.0,2-2,100.0,0-0,0.0,0-0,0.0,7.0,0.0,2.0,0.0,3.0,2.0,4.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Fri 3/31,vsORL,L116-109,33.0,8-14,57.1,0-0,0.0,2-3,66.7,13.0,1.0,2.0,1.0,5.0,3.0,18.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Sun 3/26,@TOR,L114-104,29.0,3-9,33.3,0-0,0.0,4-6,66.7,8.0,3.0,1.0,0.0,2.0,1.0,10.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Fri 3/24,vsSA,W136-124,31.0,4-5,80.0,0-0,0.0,1-2,50.0,3.0,1.0,2.0,0.0,3.0,2.0,9.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Wed 3/22,vsDEN,L118-104,29.0,3-6,50.0,0-0,0.0,0-0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,6.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Tue 3/21,@ORL,L122-112,24.0,6-7,85.7,0-0,0.0,0-0,0.0,3.0,0.0,2.0,1.0,4.0,1.0,12.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Sat 3/18,vsSAC,L132-118,14.0,2-3,66.7,0-0,0.0,3-3,100.0,2.0,3.0,1.0,1.0,4.0,1.0,7.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Fri 3/17,@CLE,L117-94,22.0,2-4,50.0,0-0,0.0,2-2,100.0,5.0,2.0,1.0,1.0,3.0,2.0,6.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Tue 3/14,vsDET,W117-97,22.0,2-4,50.0,0-0,0.0,0-0,0.0,6.0,4.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Sun 3/12,@PHI,L112-93,21.0,2-3,66.7,0-0,0.0,3-4,75.0,3.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Fri 3/10,vsATL,L114-107,29.0,6-7,85.7,0-0,0.0,1-1,100.0,8.0,2.0,1.0,0.0,1.0,1.0,13.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Wed 3/8,vsATL,L122-120,23.0,2-3,66.7,0-0,0.0,0-0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Tue 3/7,@DET,W119-117,25.0,4-5,80.0,0-0,0.0,0-0,0.0,7.0,1.0,1.0,1.0,4.0,2.0,8.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Sun 3/5,vsMIL,L117-111,24.0,4-7,57.1,0-0,0.0,0-0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Sat 3/4,vsTOR,L116-109 OT,24.0,4-5,80.0,0-0,0.0,1-2,50.0,4.0,1.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Thu 3/2,vsTOR,W119-108,31.0,8-10,80.0,0-0,0.0,2-3,66.7,5.0,2.0,1.0,0.0,1.0,0.0,18.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Tue 2/28,@ATL,W119-116,34.0,5-6,83.3,0-0,0.0,3-4,75.0,12.0,2.0,3.0,1.0,2.0,2.0,13.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Sun 2/26,@CHI,L102-82,31.0,7-9,77.8,0-0,0.0,1-2,50.0,11.0,1.0,1.0,2.0,4.0,2.0,15.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Fri 2/24,vsNY,L115-109,12.0,1-1,100.0,0-0,0.0,1-1,100.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Thu 2/16,@MIN,W114-106,19.0,3-3,100.0,0-0,0.0,0-0,0.0,6.0,2.0,2.0,1.0,2.0,1.0,6.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Tue 2/14,@POR,W126-101,15.0,1-2,50.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Mon 2/13,@GS,L135-126,28.0,3-4,75.0,0-0,0.0,3-4,75.0,8.0,5.0,0.0,0.0,2.0,1.0,9.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Sat 2/11,vsIND,W127-113,30.0,6-6,100.0,0-0,0.0,1-3,33.3,5.0,2.0,4.0,0.0,3.0,2.0,13.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Wed 2/8,vsCHA,W118-104,27.0,3-5,60.0,0-0,0.0,7-8,87.5,5.0,1.0,3.0,1.0,1.0,1.0,13.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Mon 2/6,vsCLE,L114-91,24.0,5-6,83.3,0-0,0.0,1-1,100.0,8.0,1.0,3.0,0.0,2.0,2.0,11.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Sat 2/4,@BKN,L125-123,30.0,4-7,57.1,0-0,0.0,2-3,66.7,10.0,0.0,1.0,1.0,2.0,1.0,10.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Fri 2/3,vsPOR,L124-116,26.0,4-5,80.0,0-0,0.0,1-2,50.0,6.0,3.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Sat 1/28,@NO,W113-103,29.0,8-11,72.7,0-0,0.0,5-8,62.5,12.0,2.0,5.0,1.0,2.0,2.0,21.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Wed 1/25,@HOU,W108-103,33.0,3-6,50.0,0-0,0.0,3-5,60.0,8.0,2.0,4.0,0.0,2.0,1.0,9.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Tue 1/24,@DAL,W127-126,19.0,2-3,66.7,0-0,0.0,5-8,62.5,7.0,3.0,1.0,0.0,6.0,1.0,9.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Sat 1/21,vsORL,W138-118,24.0,6-8,75.0,0-0,0.0,2-2,100.0,8.0,2.0,1.0,1.0,6.0,1.0,14.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Wed 1/18,@NY,W116-105,17.0,3-4,75.0,0-0,0.0,0-0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,6.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Mon 1/16,vsGS,L127-118,22.0,6-8,75.0,0-0,0.0,2-2,100.0,5.0,0.0,0.0,0.0,3.0,1.0,14.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Fri 1/13,vsNY,L112-108,17.0,1-1,100.0,0-0,0.0,4-4,100.0,6.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0
Daniel Gafford,2022-23,Regular,Mon 1/9,vsNO,L132-112,23.0,5-6,83.3,0-0,0.0,3-4,75.0,4.0,2.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0
