Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Dario Saric,2022-23,Regular,Thu 4/6,@UTAH,W114-98,23.0,5-10,50.0,2-4,50.0,2-2,100.0,10.0,1.0,2.0,1.0,1.0,0.0,14.0,2.0,4.0
Dario Saric,2022-23,Regular,Tue 4/4,@GS,L136-125,19.0,1-3,33.3,1-2,50.0,2-4,50.0,4.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,2.0
Dario Saric,2022-23,Regular,Sun 4/2,vsPHX,L128-118,14.0,2-3,66.7,2-3,66.7,2-2,100.0,2.0,1.0,0.0,0.0,2.0,1.0,8.0,2.0,3.0
Dario Saric,2022-23,Regular,Tue 3/28,vsCHA,L137-134,3.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dario Saric,2022-23,Regular,Thu 3/23,@LAC,L127-105,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dario Saric,2022-23,Regular,Sun 3/19,vsPHX,W124-120,10.0,1-2,50.0,0-1,0.0,2-2,100.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0
Dario Saric,2022-23,Regular,Thu 3/16,@TOR,L128-111,12.0,2-8,25.0,0-2,0.0,0-0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0
Dario Saric,2022-23,Regular,Tue 3/14,vsBKN,W121-107,10.0,2-4,50.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,1.0
Dario Saric,2022-23,Regular,Sun 3/12,@SA,W102-90,18.0,4-9,44.4,1-5,20.0,1-2,50.0,7.0,3.0,0.0,1.0,2.0,2.0,10.0,1.0,5.0
Dario Saric,2022-23,Regular,Sat 3/11,@NO,W110-96,20.0,1-6,16.7,0-3,0.0,2-2,100.0,6.0,2.0,0.0,1.0,2.0,1.0,4.0,0.0,3.0
Dario Saric,2022-23,Regular,Wed 3/8,@PHX,L132-101,6.0,1-2,50.0,1-1,100.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Dario Saric,2022-23,Regular,Tue 3/7,vsGS,W137-128,15.0,6-8,75.0,1-1,100.0,1-1,100.0,5.0,1.0,0.0,1.0,1.0,0.0,14.0,1.0,1.0
