Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Darius Garland,2022-23,Postseason,Wed 4/26,vsNY,L106-95,40.0,7-13,53.8,1-6,16.7,6-6,100.0,2.0,4.0,0.0,0.0,6.0,6.0,21.0,1.0,6.0
Darius Garland,2022-23,Postseason,Sun 4/23,@NY,L102-93,36.0,9-16,56.3,2-4,50.0,3-3,100.0,2.0,10.0,0.0,0.0,4.0,0.0,23.0,2.0,4.0
Darius Garland,2022-23,Postseason,Fri 4/21,@NY,L99-79,33.0,4-21,19.0,1-7,14.3,1-2,50.0,2.0,3.0,0.0,4.0,2.0,3.0,10.0,1.0,7.0
Darius Garland,2022-23,Postseason,Tue 4/18,vsNY,W107-90,36.0,8-17,47.1,6-10,60.0,10-11,90.9,3.0,7.0,0.0,0.0,2.0,4.0,32.0,6.0,10.0
Darius Garland,2022-23,Postseason,Sat 4/15,vsNY,L101-97,43.0,7-13,53.8,2-4,50.0,1-3,33.3,0.0,1.0,1.0,4.0,3.0,5.0,17.0,2.0,4.0
Darius Garland,2022-23,Regular,Tue 4/4,@ORL,W117-113,38.0,6-16,37.5,1-4,25.0,3-3,100.0,2.0,10.0,1.0,0.0,1.0,3.0,16.0,1.0,4.0
Darius Garland,2022-23,Regular,Sun 4/2,vsIND,W115-105,39.0,8-20,40.0,2-3,66.7,2-2,100.0,3.0,6.0,0.0,2.0,2.0,2.0,20.0,2.0,3.0
Darius Garland,2022-23,Regular,Fri 3/31,vsNY,L130-116,38.0,8-19,42.1,2-4,50.0,2-2,100.0,3.0,9.0,0.0,0.0,2.0,2.0,20.0,2.0,4.0
Darius Garland,2022-23,Regular,Tue 3/28,@ATL,L120-118,41.0,10-22,45.5,1-6,16.7,6-6,100.0,2.0,5.0,1.0,0.0,4.0,4.0,27.0,1.0,6.0
Darius Garland,2022-23,Regular,Sun 3/26,vsHOU,W108-91,38.0,6-16,37.5,1-4,25.0,4-4,100.0,4.0,8.0,0.0,0.0,4.0,1.0,17.0,1.0,4.0
Darius Garland,2022-23,Regular,Thu 3/23,@BKN,W116-114,39.0,4-16,25.0,2-6,33.3,3-3,100.0,1.0,8.0,0.0,3.0,2.0,3.0,13.0,2.0,6.0
Darius Garland,2022-23,Regular,Tue 3/21,@BKN,W115-109,32.0,7-13,53.8,1-3,33.3,2-2,100.0,1.0,6.0,0.0,1.0,1.0,5.0,17.0,1.0,3.0
Darius Garland,2022-23,Regular,Fri 3/17,vsWSH,W117-94,37.0,11-19,57.9,1-5,20.0,1-1,100.0,4.0,9.0,0.0,0.0,0.0,1.0,24.0,1.0,5.0
Darius Garland,2022-23,Regular,Wed 3/15,vsPHI,L118-109,36.0,6-17,35.3,1-7,14.3,2-2,100.0,2.0,5.0,0.0,0.0,3.0,4.0,15.0,1.0,7.0
Darius Garland,2022-23,Regular,Tue 3/14,@CHA,W120-104,28.0,7-15,46.7,2-4,50.0,3-5,60.0,3.0,7.0,0.0,1.0,1.0,2.0,19.0,2.0,4.0
Darius Garland,2022-23,Regular,Sun 3/12,@CHA,W114-108,39.0,8-20,40.0,2-10,20.0,10-13,76.9,6.0,6.0,0.0,1.0,1.0,4.0,28.0,2.0,10.0
Darius Garland,2022-23,Regular,Wed 3/8,@MIA,W104-100,39.0,8-16,50.0,3-6,50.0,6-6,100.0,0.0,7.0,0.0,2.0,5.0,3.0,25.0,3.0,6.0
Darius Garland,2022-23,Regular,Mon 3/6,vsBOS,W118-114 OT,42.0,6-18,33.3,2-7,28.6,3-4,75.0,5.0,12.0,0.0,1.0,2.0,3.0,17.0,2.0,7.0
Darius Garland,2022-23,Regular,Sat 3/4,vsDET,W114-90,24.0,8-11,72.7,5-6,83.3,0-0,0.0,3.0,7.0,0.0,2.0,4.0,2.0,21.0,5.0,6.0
Darius Garland,2022-23,Regular,Wed 3/1,@BOS,L117-113,41.0,12-21,57.1,5-9,55.6,0-3,0.0,3.0,9.0,0.0,4.0,2.0,4.0,29.0,5.0,9.0
Darius Garland,2022-23,Regular,Sun 2/26,vsTOR,W118-93,34.0,6-12,50.0,3-4,75.0,3-3,100.0,3.0,11.0,2.0,0.0,1.0,0.0,18.0,3.0,4.0
Darius Garland,2022-23,Regular,Fri 2/24,@ATL,L136-119,31.0,11-19,57.9,4-8,50.0,7-7,100.0,0.0,2.0,0.0,2.0,1.0,3.0,33.0,4.0,8.0
Darius Garland,2022-23,Regular,Thu 2/23,vsDEN,L115-109,37.0,7-20,35.0,1-6,16.7,7-8,87.5,1.0,5.0,0.0,2.0,2.0,2.0,22.0,1.0,6.0
Darius Garland,2022-23,Regular,Wed 2/15,@PHI,L118-112,43.0,10-14,71.4,3-3,100.0,4-6,66.7,2.0,6.0,0.0,3.0,4.0,1.0,27.0,3.0,3.0
