Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Day'Ron Sharpe,2022-23,Postseason,Thu 4/20,vsPHI,L102-97,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day'Ron Sharpe,2022-23,Postseason,Sat 4/15,@PHI,L121-101,17.0,2-3,66.7,0-0,0.0,2-2,100.0,6.0,4.0,1.0,0.0,3.0,2.0,6.0,0.0,0.0
Day'Ron Sharpe,2022-23,Regular,Sun 4/9,vsPHI,L134-105,25.0,2-6,33.3,0-0,0.0,1-1,100.0,10.0,4.0,2.0,0.0,3.0,0.0,5.0,0.0,0.0
Day'Ron Sharpe,2022-23,Regular,Fri 4/7,vsORL,W101-84,10.0,2-2,100.0,0-0,0.0,2-2,100.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0
Day'Ron Sharpe,2022-23,Regular,Wed 4/5,@DET,W123-108,12.0,4-6,66.7,0-0,0.0,2-6,33.3,7.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0
Day'Ron Sharpe,2022-23,Regular,Tue 4/4,vsMIN,L107-102,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Day'Ron Sharpe,2022-23,Regular,Sun 4/2,vsUTAH,W111-110,15.0,2-3,66.7,0-0,0.0,2-2,100.0,7.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0
Day'Ron Sharpe,2022-23,Regular,Fri 3/31,vsATL,W124-107,9.0,0-2,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Day'Ron Sharpe,2022-23,Regular,Wed 3/29,vsHOU,W123-114,7.0,2-3,66.7,0-0,0.0,0-2,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
Day'Ron Sharpe,2022-23,Regular,Sun 3/26,@ORL,L119-106,15.0,3-4,75.0,0-0,0.0,2-2,100.0,6.0,0.0,1.0,1.0,4.0,1.0,8.0,0.0,0.0
Day'Ron Sharpe,2022-23,Regular,Sat 3/25,@MIA,W129-100,14.0,3-4,75.0,0-0,0.0,3-3,100.0,8.0,2.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0
Day'Ron Sharpe,2022-23,Regular,Thu 3/23,vsCLE,L116-114,14.0,3-5,60.0,0-1,0.0,0-1,0.0,3.0,2.0,2.0,0.0,2.0,2.0,6.0,0.0,1.0
Day'Ron Sharpe,2022-23,Regular,Tue 3/21,vsCLE,L115-109,20.0,8-12,66.7,1-1,100.0,3-4,75.0,11.0,0.0,2.0,2.0,2.0,2.0,20.0,1.0,1.0
