Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
DeMar DeRozan,2022-23,Regular,Sun 4/9,vsDET,W103-81,24.0,7-15,46.7,1-4,25.0,1-1,100.0,2.0,5.0,0.0,1.0,1.0,0.0,16.0,1.0,4.0
DeMar DeRozan,2022-23,Regular,Wed 4/5,@MIL,L105-92,36.0,3-12,25.0,0-1,0.0,2-2,100.0,3.0,6.0,0.0,2.0,4.0,3.0,8.0,0.0,1.0
DeMar DeRozan,2022-23,Regular,Tue 4/4,vsATL,L123-105,37.0,7-17,41.2,1-4,25.0,6-6,100.0,4.0,2.0,0.0,1.0,2.0,1.0,21.0,1.0,4.0
DeMar DeRozan,2022-23,Regular,Sun 4/2,vsMEM,W128-107,34.0,11-26,42.3,0-4,0.0,9-9,100.0,5.0,7.0,0.0,1.0,3.0,0.0,31.0,0.0,4.0
DeMar DeRozan,2022-23,Regular,Fri 3/31,@CHA,W121-91,33.0,8-15,53.3,1-2,50.0,6-7,85.7,3.0,4.0,0.0,1.0,0.0,1.0,23.0,1.0,2.0
DeMar DeRozan,2022-23,Regular,Wed 3/29,vsLAL,L121-110,39.0,9-15,60.0,0-2,0.0,4-6,66.7,4.0,5.0,2.0,2.0,1.0,3.0,22.0,0.0,2.0
DeMar DeRozan,2022-23,Regular,Mon 3/27,@LAC,L124-112,33.0,8-16,50.0,2-5,40.0,3-3,100.0,5.0,7.0,0.0,2.0,0.0,2.0,21.0,2.0,5.0
DeMar DeRozan,2022-23,Regular,Sun 3/26,@LAL,W118-108,36.0,7-13,53.8,2-2,100.0,1-2,50.0,6.0,10.0,1.0,0.0,1.0,2.0,17.0,2.0,2.0
DeMar DeRozan,2022-23,Regular,Wed 3/22,vsPHI,L116-91,21.0,0-7,0.0,0-3,0.0,4-4,100.0,3.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,3.0
DeMar DeRozan,2022-23,Regular,Mon 3/20,@PHI,W109-105 2OT,46.0,10-22,45.5,0-3,0.0,5-6,83.3,8.0,2.0,1.0,3.0,2.0,2.0,25.0,0.0,3.0
DeMar DeRozan,2022-23,Regular,Sat 3/18,vsMIA,W113-99,41.0,10-15,66.7,2-4,50.0,2-2,100.0,5.0,10.0,0.0,3.0,2.0,0.0,24.0,2.0,4.0
DeMar DeRozan,2022-23,Regular,Fri 3/17,vsMIN,W139-131 2OT,52.0,15-25,60.0,2-4,50.0,17-18,94.4,14.0,4.0,0.0,3.0,3.0,1.0,49.0,2.0,4.0
DeMar DeRozan,2022-23,Regular,Wed 3/15,vsSAC,L117-114,40.0,10-20,50.0,4-6,66.7,9-11,81.8,3.0,3.0,0.0,2.0,2.0,2.0,33.0,4.0,6.0
DeMar DeRozan,2022-23,Regular,Sat 3/11,@HOU,W119-111,39.0,9-21,42.9,2-3,66.7,7-10,70.0,7.0,5.0,2.0,1.0,1.0,4.0,27.0,2.0,3.0
DeMar DeRozan,2022-23,Regular,Wed 3/8,@DEN,W117-96,38.0,6-16,37.5,0-2,0.0,5-6,83.3,6.0,8.0,0.0,3.0,3.0,2.0,17.0,0.0,2.0
DeMar DeRozan,2022-23,Regular,Sun 3/5,vsIND,L125-122,38.0,9-16,56.3,1-4,25.0,4-4,100.0,5.0,3.0,0.0,0.0,3.0,3.0,23.0,1.0,4.0
DeMar DeRozan,2022-23,Regular,Fri 3/3,vsPHX,L125-104,36.0,13-18,72.2,1-1,100.0,4-7,57.1,0.0,6.0,0.0,2.0,3.0,0.0,31.0,1.0,1.0
DeMar DeRozan,2022-23,Regular,Wed 3/1,@DET,W117-115,37.0,7-16,43.8,0-0,0.0,7-9,77.8,7.0,7.0,0.0,0.0,1.0,2.0,21.0,0.0,0.0
DeMar DeRozan,2022-23,Regular,Tue 2/28,@TOR,L104-98,35.0,5-11,45.5,0-0,0.0,3-5,60.0,0.0,2.0,1.0,1.0,5.0,3.0,13.0,0.0,0.0
DeMar DeRozan,2022-23,Regular,Sun 2/26,vsWSH,W102-82,35.0,11-15,73.3,0-0,0.0,7-8,87.5,2.0,6.0,0.0,2.0,1.0,1.0,29.0,0.0,0.0
DeMar DeRozan,2022-23,Regular,Fri 2/24,vsBKN,W131-87,28.0,8-17,47.1,0-3,0.0,1-1,100.0,4.0,4.0,1.0,1.0,2.0,1.0,17.0,0.0,3.0
DeMar DeRozan,2022-23,Regular,Sun 2/19,vsLEB*,W184-175,16.0,4-6,66.7,0-0,0.0,0-0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
DeMar DeRozan,2022-23,Regular,Mon 2/13,vsORL,L100-91,36.0,8-20,40.0,0-2,0.0,3-3,100.0,3.0,6.0,1.0,0.0,5.0,3.0,19.0,0.0,2.0
DeMar DeRozan,2022-23,Regular,Sat 2/11,@CLE,L97-89,40.0,6-10,60.0,2-5,40.0,2-3,66.7,1.0,6.0,0.0,0.0,3.0,4.0,16.0,2.0,5.0
DeMar DeRozan,2022-23,Regular,Thu 2/9,@BKN,L116-105,36.0,5-13,38.5,0-1,0.0,4-7,57.1,3.0,6.0,1.0,0.0,2.0,3.0,14.0,0.0,1.0
DeMar DeRozan,2022-23,Regular,Mon 2/6,vsSA,W128-104,34.0,8-17,47.1,0-1,0.0,3-3,100.0,1.0,5.0,0.0,1.0,1.0,2.0,19.0,0.0,1.0
DeMar DeRozan,2022-23,Regular,Sat 2/4,vsPOR,W129-121,40.0,10-16,62.5,1-1,100.0,6-6,100.0,7.0,7.0,1.0,1.0,2.0,3.0,27.0,1.0,1.0
DeMar DeRozan,2022-23,Regular,Thu 2/2,vsCHA,W114-98,38.0,4-12,33.3,2-5,40.0,5-6,83.3,4.0,7.0,2.0,1.0,3.0,4.0,15.0,2.0,5.0
DeMar DeRozan,2022-23,Regular,Tue 1/31,vsLAC,L108-103,36.0,8-19,42.1,0-2,0.0,4-6,66.7,2.0,5.0,1.0,1.0,3.0,8.0,20.0,0.0,2.0
DeMar DeRozan,2022-23,Regular,Sat 1/28,@ORL,W128-109,38.0,11-14,78.6,5-5,100.0,5-6,83.3,2.0,8.0,1.0,0.0,4.0,3.0,32.0,5.0,5.0
DeMar DeRozan,2022-23,Regular,Thu 1/26,@CHA,L111-96,35.0,9-21,42.9,0-1,0.0,10-11,90.9,3.0,5.0,0.0,1.0,4.0,2.0,28.0,0.0,1.0
DeMar DeRozan,2022-23,Regular,Tue 1/24,@IND,L116-110,40.0,14-21,66.7,0-0,0.0,5-5,100.0,5.0,3.0,1.0,0.0,5.0,1.0,33.0,0.0,0.0
DeMar DeRozan,2022-23,Regular,Mon 1/23,vsATL,W111-100,37.0,11-21,52.4,1-2,50.0,3-4,75.0,1.0,6.0,0.0,3.0,2.0,1.0,26.0,1.0,2.0
DeMar DeRozan,2022-23,Regular,Thu 1/19,vsDET,W126-108,38.0,9-18,50.0,0-1,0.0,8-8,100.0,9.0,5.0,1.0,2.0,1.0,5.0,26.0,0.0,1.0
DeMar DeRozan,2022-23,Regular,Mon 1/9,@BOS,L107-99,23.0,6-9,66.7,0-0,0.0,1-1,100.0,3.0,3.0,0.0,1.0,1.0,2.0,13.0,0.0,0.0
DeMar DeRozan,2022-23,Regular,Sat 1/7,vsUTAH,W126-118,40.0,13-22,59.1,0-0,0.0,9-10,90.0,2.0,7.0,0.0,0.0,2.0,2.0,35.0,0.0,0.0
DeMar DeRozan,2022-23,Regular,Fri 1/6,@PHI,W126-112,37.0,4-13,30.8,0-2,0.0,4-5,80.0,5.0,6.0,1.0,1.0,0.0,2.0,12.0,0.0,2.0
DeMar DeRozan,2022-23,Regular,Wed 1/4,vsBKN,W121-112,35.0,8-20,40.0,0-1,0.0,6-6,100.0,7.0,3.0,1.0,1.0,1.0,1.0,22.0,0.0,1.0
