Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Dean Wade,2022-23,Postseason,Fri 4/21,@NY,L99-79,4.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean Wade,2022-23,Postseason,Sat 4/15,vsNY,L101-97,7.0,0-1,0.0,0-1,0.0,2-2,100.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Dean Wade,2022-23,Regular,Sun 4/9,vsCHA,L106-95,24.0,3-6,50.0,3-4,75.0,0-0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,9.0,3.0,4.0
Dean Wade,2022-23,Regular,Thu 4/6,@ORL,W118-94,23.0,3-7,42.9,1-4,25.0,0-0,0.0,6.0,2.0,0.0,1.0,1.0,2.0,7.0,1.0,4.0
Dean Wade,2022-23,Regular,Tue 4/4,@ORL,W117-113,29.0,1-5,20.0,1-5,20.0,0-0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,3.0,1.0,5.0
Dean Wade,2022-23,Regular,Sun 4/2,vsIND,W115-105,27.0,2-3,66.7,1-2,50.0,0-0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,5.0,1.0,2.0
Dean Wade,2022-23,Regular,Fri 3/31,vsNY,L130-116,13.0,2-4,50.0,1-3,33.3,0-0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,3.0
Dean Wade,2022-23,Regular,Fri 3/17,vsWSH,W117-94,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean Wade,2022-23,Regular,Tue 3/14,@CHA,W120-104,19.0,0-4,0.0,0-4,0.0,0-0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
Dean Wade,2022-23,Regular,Mon 3/6,vsBOS,W118-114 OT,11.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dean Wade,2022-23,Regular,Sat 3/4,vsDET,W114-90,14.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0
Dean Wade,2022-23,Regular,Wed 3/1,@BOS,L117-113,15.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Dean Wade,2022-23,Regular,Sun 2/26,vsTOR,W118-93,25.0,1-7,14.3,1-5,20.0,0-0,0.0,6.0,2.0,0.0,1.0,3.0,0.0,3.0,1.0,5.0
Dean Wade,2022-23,Regular,Fri 2/24,@ATL,L136-119,8.0,1-2,50.0,1-2,50.0,0-0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0
Dean Wade,2022-23,Regular,Thu 2/23,vsDEN,L115-109,8.0,1-2,50.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
Dean Wade,2022-23,Regular,Wed 2/15,@PHI,L118-112,9.0,0-1,0.0,0-1,0.0,0-0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Dean Wade,2022-23,Regular,Mon 2/13,vsSA,W117-109,6.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0
Dean Wade,2022-23,Regular,Sat 2/11,vsCHI,W97-89,11.0,0-5,0.0,0-3,0.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Dean Wade,2022-23,Regular,Fri 2/10,@NO,W118-107,26.0,2-5,40.0,1-4,25.0,0-0,0.0,2.0,0.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0
Dean Wade,2022-23,Regular,Wed 2/8,vsDET,W113-85,31.0,3-4,75.0,2-3,66.7,2-2,100.0,9.0,0.0,1.0,0.0,4.0,1.0,10.0,2.0,3.0
Dean Wade,2022-23,Regular,Mon 2/6,@WSH,W114-91,26.0,0-0,0.0,0-0,0.0,0-0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Dean Wade,2022-23,Regular,Sun 2/5,@IND,W122-103,25.0,2-4,50.0,2-4,50.0,0-0,0.0,6.0,3.0,1.0,1.0,3.0,0.0,6.0,2.0,4.0
Dean Wade,2022-23,Regular,Thu 2/2,vsMEM,W128-113,17.0,2-3,66.7,1-2,50.0,0-0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,2.0
Dean Wade,2022-23,Regular,Tue 1/31,vsMIA,L100-97,21.0,2-6,33.3,1-4,25.0,0-0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,5.0,1.0,4.0
Dean Wade,2022-23,Regular,Sun 1/29,vsLAC,W122-99,27.0,2-5,40.0,1-4,25.0,3-5,60.0,4.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,4.0
Dean Wade,2022-23,Regular,Fri 1/27,@OKC,L112-100,26.0,2-5,40.0,1-4,25.0,0-0,0.0,4.0,2.0,0.0,1.0,3.0,1.0,5.0,1.0,4.0
Dean Wade,2022-23,Regular,Thu 1/26,@HOU,W113-95,23.0,5-8,62.5,4-7,57.1,1-3,33.3,3.0,1.0,2.0,1.0,2.0,1.0,15.0,4.0,7.0
Dean Wade,2022-23,Regular,Tue 1/24,@NY,L105-103,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Dean Wade,2022-23,Regular,Sat 1/21,vsMIL,W114-102,10.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Dean Wade,2022-23,Regular,Fri 12/2,vsORL,W107-96,10.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
Dean Wade,2022-23,Regular,Wed 11/30,vsPHI,W113-85,31.0,3-7,42.9,0-1,0.0,0-0,0.0,5.0,2.0,1.0,3.0,1.0,2.0,6.0,0.0,1.0
Dean Wade,2022-23,Regular,Mon 11/28,@TOR,L100-88,28.0,3-10,30.0,2-6,33.3,0-0,0.0,6.0,1.0,0.0,1.0,4.0,0.0,8.0,2.0,6.0
Dean Wade,2022-23,Regular,Sun 11/27,@DET,W102-94,35.0,1-5,20.0,1-5,20.0,0-0,0.0,7.0,1.0,0.0,0.0,4.0,1.0,3.0,1.0,5.0
Dean Wade,2022-23,Regular,Fri 11/25,@MIL,L117-102,36.0,2-7,28.6,2-6,33.3,1-2,50.0,12.0,2.0,1.0,1.0,4.0,0.0,7.0,2.0,6.0
Dean Wade,2022-23,Regular,Wed 11/23,vsPOR,W114-96,18.0,2-3,66.7,0-1,0.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0
Dean Wade,2022-23,Regular,Wed 11/9,@SAC,L127-120,14.0,1-1,100.0,1-1,100.0,0-0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0
Dean Wade,2022-23,Regular,Mon 11/7,@LAC,L119-117,15.0,2-4,50.0,2-3,66.7,0-0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,2.0,3.0
Dean Wade,2022-23,Regular,Sun 11/6,@LAL,W114-100,25.0,1-3,33.3,0-2,0.0,0-0,0.0,6.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0
Dean Wade,2022-23,Regular,Fri 11/4,@DET,W112-88,23.0,0-4,0.0,0-3,0.0,0-0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0
Dean Wade,2022-23,Regular,Wed 11/2,vsBOS,W114-113 OT,24.0,2-7,28.6,0-3,0.0,2-2,100.0,4.0,0.0,0.0,2.0,4.0,1.0,6.0,0.0,3.0
Dean Wade,2022-23,Regular,Sun 10/30,vsNY,W121-108,33.0,8-11,72.7,6-8,75.0,0-0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,22.0,6.0,8.0
Dean Wade,2022-23,Regular,Fri 10/28,@BOS,W132-123 OT,39.0,1-3,33.3,1-2,50.0,1-2,50.0,6.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,2.0
Dean Wade,2022-23,Regular,Wed 10/26,vsORL,W103-92,30.0,4-7,57.1,4-7,57.1,0-0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,12.0,4.0,7.0
Dean Wade,2022-23,Regular,Sun 10/23,vsWSH,W117-107 OT,21.0,3-4,75.0,2-3,66.7,4-5,80.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,2.0,3.0
Dean Wade,2022-23,Regular,Sat 10/22,@CHI,W128-96,4.0,2-3,66.7,1-2,50.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0
Dean Wade,2022-23,Regular,Wed 10/19,@TOR,L108-105,22.0,3-4,75.0,1-2,50.0,1-2,50.0,3.0,2.0,1.0,0.0,1.0,0.0,8.0,1.0,2.0
Dean Wade,2022-23,Preseason,Mon 10/10,vsPHI,L113-97,23.0,3-8,37.5,1-3,33.3,1-1,100.0,7.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,3.0
Dean Wade,2022-23,Preseason,Wed 10/5,@PHI,L113-112,23.0,3-6,50.0,3-5,60.0,2-2,100.0,5.0,1.0,0.0,1.0,2.0,0.0,11.0,3.0,5.0
