Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Deandre Ayton,2022-23,Postseason,Tue 5/9,@DEN,L118-102,32.0,7-12,58.3,0-0,0.0,0-0,0.0,9.0,1.0,1.0,2.0,3.0,1.0,14.0,0.0,0.0
Deandre Ayton,2022-23,Postseason,Sun 5/7,vsDEN,W129-124,27.0,3-6,50.0,0-0,0.0,2-4,50.0,8.0,0.0,1.0,1.0,4.0,0.0,8.0,0.0,0.0
Deandre Ayton,2022-23,Postseason,Fri 5/5,vsDEN,W121-114,26.0,2-6,33.3,0-0,0.0,0-0,0.0,9.0,0.0,1.0,0.0,4.0,1.0,4.0,0.0,0.0
Deandre Ayton,2022-23,Postseason,Mon 5/1,@DEN,L97-87,33.0,7-10,70.0,0-0,0.0,0-0,0.0,8.0,4.0,1.0,0.0,5.0,4.0,14.0,0.0,0.0
Deandre Ayton,2022-23,Postseason,Sat 4/29,@DEN,L125-107,30.0,7-11,63.6,0-0,0.0,0-1,0.0,7.0,1.0,0.0,0.0,4.0,2.0,14.0,0.0,0.0
Deandre Ayton,2022-23,Postseason,Tue 4/25,vsLAC,W136-130,36.0,9-18,50.0,0-0,0.0,3-4,75.0,11.0,3.0,0.0,0.0,3.0,0.0,21.0,0.0,0.0
Deandre Ayton,2022-23,Postseason,Sat 4/22,@LAC,W112-100,36.0,7-13,53.8,0-0,0.0,1-4,25.0,13.0,1.0,2.0,2.0,2.0,5.0,15.0,0.0,0.0
Deandre Ayton,2022-23,Postseason,Thu 4/20,@LAC,W129-124,35.0,4-9,44.4,0-0,0.0,4-8,50.0,11.0,0.0,0.0,1.0,1.0,2.0,12.0,0.0,0.0
Deandre Ayton,2022-23,Postseason,Tue 4/18,vsLAC,W123-109,32.0,7-10,70.0,0-0,0.0,0-0,0.0,13.0,0.0,0.0,0.0,5.0,1.0,14.0,0.0,0.0
Deandre Ayton,2022-23,Postseason,Sun 4/16,vsLAC,L115-110,33.0,8-16,50.0,0-0,0.0,2-2,100.0,8.0,0.0,1.0,0.0,4.0,1.0,18.0,0.0,0.0
Deandre Ayton,2022-23,Regular,Thu 4/6,vsDEN,W119-115,32.0,7-9,77.8,0-0,0.0,2-2,100.0,5.0,2.0,2.0,0.0,4.0,1.0,16.0,0.0,0.0
Deandre Ayton,2022-23,Regular,Tue 4/4,vsSA,W115-94,29.0,6-9,66.7,0-0,0.0,7-7,100.0,11.0,1.0,1.0,1.0,2.0,3.0,19.0,0.0,0.0
Deandre Ayton,2022-23,Regular,Sun 4/2,@OKC,W128-118,31.0,8-12,66.7,0-0,0.0,3-4,75.0,11.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0
Deandre Ayton,2022-23,Regular,Fri 3/31,vsDEN,W100-93,28.0,4-11,36.4,0-0,0.0,0-2,0.0,10.0,1.0,0.0,1.0,5.0,2.0,8.0,0.0,0.0
Deandre Ayton,2022-23,Regular,Wed 3/29,vsMIN,W107-100,29.0,5-9,55.6,0-0,0.0,0-0,0.0,3.0,0.0,3.0,1.0,4.0,1.0,10.0,0.0,0.0
Deandre Ayton,2022-23,Regular,Mon 3/27,@UTAH,W117-103,30.0,5-10,50.0,0-0,0.0,4-4,100.0,8.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0
Deandre Ayton,2022-23,Regular,Thu 3/16,vsORL,W116-113,35.0,6-12,50.0,0-0,0.0,4-4,100.0,7.0,0.0,1.0,0.0,3.0,1.0,16.0,0.0,0.0
Deandre Ayton,2022-23,Regular,Tue 3/14,vsMIL,L116-104,25.0,8-19,42.1,0-1,0.0,0-0,0.0,8.0,0.0,0.0,0.0,5.0,2.0,16.0,0.0,1.0
