Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Delon Wright,2022-23,Regular,Fri 4/7,vsMIA,W114-108,21.0,4-7,57.1,0-2,0.0,3-3,100.0,7.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0
Delon Wright,2022-23,Regular,Sun 4/2,@NY,L118-109,32.0,3-9,33.3,1-3,33.3,1-2,50.0,5.0,7.0,0.0,4.0,0.0,2.0,8.0,1.0,3.0
Delon Wright,2022-23,Regular,Fri 3/31,vsORL,L116-109,32.0,8-15,53.3,2-6,33.3,3-3,100.0,9.0,4.0,0.0,1.0,2.0,0.0,21.0,2.0,6.0
Delon Wright,2022-23,Regular,Tue 3/28,vsBOS,W130-111,31.0,3-5,60.0,1-2,50.0,1-3,33.3,5.0,2.0,0.0,2.0,2.0,1.0,8.0,1.0,2.0
Delon Wright,2022-23,Regular,Sun 3/26,@TOR,L114-104,34.0,2-9,22.2,1-4,25.0,0-0,0.0,7.0,8.0,0.0,2.0,0.0,1.0,5.0,1.0,4.0
Delon Wright,2022-23,Regular,Fri 3/24,vsSA,W136-124,29.0,9-14,64.3,3-6,50.0,3-3,100.0,7.0,3.0,0.0,0.0,0.0,0.0,24.0,3.0,6.0
Delon Wright,2022-23,Regular,Wed 3/22,vsDEN,L118-104,21.0,3-6,50.0,0-1,0.0,1-2,50.0,3.0,2.0,2.0,0.0,1.0,0.0,7.0,0.0,1.0
Delon Wright,2022-23,Regular,Tue 3/21,@ORL,L122-112,16.0,1-3,33.3,0-2,0.0,0-0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0
Delon Wright,2022-23,Regular,Sat 3/18,vsSAC,L132-118,20.0,1-2,50.0,0-1,0.0,2-2,100.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0
Delon Wright,2022-23,Regular,Fri 3/17,@CLE,L117-94,17.0,2-4,50.0,0-0,0.0,0-0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0
Delon Wright,2022-23,Regular,Tue 3/14,vsDET,W117-97,22.0,0-5,0.0,0-3,0.0,0-0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Delon Wright,2022-23,Regular,Sun 3/12,@PHI,L112-93,20.0,1-5,20.0,0-2,0.0,0-0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0
Delon Wright,2022-23,Regular,Fri 3/10,vsATL,L114-107,30.0,4-6,66.7,0-1,0.0,2-2,100.0,2.0,5.0,0.0,3.0,1.0,1.0,10.0,0.0,1.0
Delon Wright,2022-23,Regular,Wed 3/8,vsATL,L122-120,32.0,3-4,75.0,0-0,0.0,1-1,100.0,4.0,5.0,0.0,3.0,2.0,2.0,7.0,0.0,0.0
Delon Wright,2022-23,Regular,Tue 3/7,@DET,W119-117,32.0,1-4,25.0,0-1,0.0,1-2,50.0,3.0,6.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0
