Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Deni Avdija,2022-23,Regular,Sun 4/2,@NY,L118-109,34.0,3-8,37.5,1-3,33.3,2-2,100.0,3.0,5.0,1.0,3.0,4.0,8.0,9.0,1.0,3.0
Deni Avdija,2022-23,Regular,Fri 3/31,vsORL,L116-109,32.0,2-14,14.3,0-6,0.0,2-3,66.7,6.0,4.0,0.0,0.0,4.0,1.0,6.0,0.0,6.0
Deni Avdija,2022-23,Regular,Tue 3/28,vsBOS,W130-111,37.0,10-16,62.5,2-5,40.0,3-5,60.0,10.0,5.0,0.0,1.0,1.0,4.0,25.0,2.0,5.0
Deni Avdija,2022-23,Regular,Sun 3/26,@TOR,L114-104,34.0,6-13,46.2,1-4,25.0,2-4,50.0,9.0,7.0,0.0,1.0,2.0,3.0,15.0,1.0,4.0
Deni Avdija,2022-23,Regular,Fri 3/24,vsSA,W136-124,34.0,9-14,64.3,3-6,50.0,0-1,0.0,11.0,6.0,0.0,1.0,4.0,2.0,21.0,3.0,6.0
Deni Avdija,2022-23,Regular,Wed 3/22,vsDEN,L118-104,32.0,7-9,77.8,1-2,50.0,1-2,50.0,8.0,6.0,0.0,0.0,1.0,4.0,16.0,1.0,2.0
Deni Avdija,2022-23,Regular,Tue 3/21,@ORL,L122-112,34.0,5-6,83.3,3-4,75.0,2-3,66.7,10.0,3.0,0.0,2.0,2.0,4.0,15.0,3.0,4.0
Deni Avdija,2022-23,Regular,Sat 3/18,vsSAC,L132-118,28.0,1-9,11.1,1-2,50.0,0-0,0.0,11.0,6.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0
Deni Avdija,2022-23,Regular,Fri 3/17,@CLE,L117-94,18.0,0-3,0.0,0-3,0.0,2-4,50.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0
Deni Avdija,2022-23,Regular,Tue 3/14,vsDET,W117-97,28.0,6-8,75.0,1-3,33.3,0-0,0.0,6.0,2.0,0.0,0.0,1.0,1.0,13.0,1.0,3.0
Deni Avdija,2022-23,Regular,Sun 3/12,@PHI,L112-93,24.0,1-8,12.5,0-2,0.0,2-2,100.0,2.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0
Deni Avdija,2022-23,Regular,Fri 3/10,vsATL,L114-107,18.0,2-5,40.0,1-2,50.0,0-0,0.0,6.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0,2.0
Deni Avdija,2022-23,Regular,Wed 3/8,vsATL,L122-120,23.0,1-6,16.7,0-3,0.0,0-0,0.0,8.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,3.0
Deni Avdija,2022-23,Regular,Tue 3/7,@DET,W119-117,21.0,2-2,100.0,1-1,100.0,2-2,100.0,5.0,2.0,0.0,0.0,4.0,4.0,7.0,1.0,1.0
Deni Avdija,2022-23,Regular,Sun 3/5,vsMIL,L117-111,31.0,5-10,50.0,2-4,50.0,5-5,100.0,6.0,2.0,0.0,3.0,4.0,2.0,17.0,2.0,4.0
Deni Avdija,2022-23,Regular,Sat 3/4,vsTOR,L116-109 OT,7.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
Deni Avdija,2022-23,Regular,Thu 3/2,vsTOR,W119-108,28.0,2-7,28.6,0-3,0.0,2-3,66.7,9.0,3.0,1.0,0.0,2.0,0.0,6.0,0.0,3.0
Deni Avdija,2022-23,Regular,Tue 2/28,@ATL,W119-116,31.0,2-9,22.2,0-1,0.0,0-0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0
Deni Avdija,2022-23,Regular,Sun 2/26,@CHI,L102-82,27.0,2-5,40.0,1-4,25.0,3-4,75.0,4.0,2.0,0.0,1.0,3.0,4.0,8.0,1.0,4.0
Deni Avdija,2022-23,Regular,Fri 2/24,vsNY,L115-109,27.0,5-7,71.4,1-3,33.3,0-0,0.0,7.0,5.0,0.0,1.0,0.0,0.0,11.0,1.0,3.0
