Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Desmond Bane,2022-23,Postseason,Fri 4/28,@LAL,L125-85,37.0,5-16,31.3,2-6,33.3,3-4,75.0,5.0,2.0,0.0,1.0,2.0,2.0,15.0,2.0,6.0
Desmond Bane,2022-23,Postseason,Wed 4/26,vsLAL,W116-99,43.0,12-21,57.1,4-9,44.4,5-6,83.3,10.0,5.0,0.0,0.0,1.0,2.0,33.0,4.0,9.0
Desmond Bane,2022-23,Postseason,Mon 4/24,@LAL,L117-111 OT,47.0,13-29,44.8,3-12,25.0,7-7,100.0,7.0,3.0,0.0,1.0,4.0,3.0,36.0,3.0,12.0
Desmond Bane,2022-23,Postseason,Sat 4/22,@LAL,L111-101,33.0,7-14,50.0,3-7,42.9,1-1,100.0,5.0,2.0,0.0,1.0,3.0,4.0,18.0,3.0,7.0
Desmond Bane,2022-23,Postseason,Wed 4/19,vsLAL,W103-93,35.0,6-18,33.3,1-6,16.7,4-4,100.0,4.0,1.0,0.0,0.0,4.0,5.0,17.0,1.0,6.0
Desmond Bane,2022-23,Postseason,Sun 4/16,vsLAL,L128-112,37.0,6-18,33.3,3-10,30.0,7-7,100.0,5.0,6.0,0.0,0.0,5.0,1.0,22.0,3.0,10.0
Desmond Bane,2022-23,Regular,Fri 4/7,@MIL,W137-114,31.0,6-12,50.0,4-9,44.4,0-0,0.0,8.0,6.0,0.0,0.0,3.0,2.0,16.0,4.0,9.0
Desmond Bane,2022-23,Regular,Wed 4/5,@NO,L138-131 OT,43.0,9-21,42.9,2-8,25.0,4-5,80.0,4.0,5.0,0.0,1.0,6.0,1.0,24.0,2.0,8.0
Desmond Bane,2022-23,Regular,Tue 4/4,vsPOR,W119-109,36.0,12-22,54.5,5-12,41.7,1-2,50.0,7.0,5.0,1.0,0.0,2.0,1.0,30.0,5.0,12.0
Desmond Bane,2022-23,Regular,Sun 4/2,@CHI,L128-107,33.0,8-12,66.7,2-3,66.7,3-3,100.0,5.0,4.0,1.0,0.0,4.0,4.0,21.0,2.0,3.0
Desmond Bane,2022-23,Regular,Fri 3/31,vsLAC,W108-94,38.0,9-18,50.0,2-5,40.0,2-2,100.0,3.0,9.0,0.0,3.0,2.0,1.0,22.0,2.0,5.0
