Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Devin Booker,2022-23,Postseason,Thu 5/11,vsDEN,L125-100,36.0,4-13,30.8,1-3,33.3,3-4,75.0,1.0,8.0,1.0,1.0,4.0,2.0,12.0,1.0,3.0
Devin Booker,2022-23,Postseason,Tue 5/9,@DEN,L118-102,41.0,8-19,42.1,4-7,57.1,8-9,88.9,6.0,4.0,0.0,0.0,4.0,2.0,28.0,4.0,7.0
Devin Booker,2022-23,Postseason,Sun 5/7,vsDEN,W129-124,40.0,14-18,77.8,3-4,75.0,5-6,83.3,6.0,12.0,0.0,1.0,5.0,5.0,36.0,3.0,4.0
Devin Booker,2022-23,Postseason,Fri 5/5,vsDEN,W121-114,42.0,20-25,80.0,5-8,62.5,2-2,100.0,6.0,9.0,1.0,3.0,5.0,3.0,47.0,5.0,8.0
Devin Booker,2022-23,Postseason,Mon 5/1,@DEN,L97-87,45.0,14-29,48.3,4-8,50.0,3-3,100.0,5.0,6.0,0.0,0.0,4.0,2.0,35.0,4.0,8.0
Devin Booker,2022-23,Postseason,Sat 4/29,@DEN,L125-107,40.0,10-19,52.6,0-1,0.0,7-8,87.5,4.0,8.0,2.0,1.0,1.0,3.0,27.0,0.0,1.0
Devin Booker,2022-23,Postseason,Tue 4/25,vsLAC,W136-130,42.0,19-27,70.4,4-7,57.1,5-6,83.3,8.0,10.0,0.0,2.0,4.0,3.0,47.0,4.0,7.0
Devin Booker,2022-23,Postseason,Sat 4/22,@LAC,W112-100,41.0,10-21,47.6,3-6,50.0,7-8,87.5,9.0,7.0,0.0,3.0,1.0,4.0,30.0,3.0,6.0
Devin Booker,2022-23,Postseason,Thu 4/20,@LAC,W129-124,45.0,18-29,62.1,3-7,42.9,6-7,85.7,6.0,3.0,2.0,3.0,2.0,0.0,45.0,3.0,7.0
Devin Booker,2022-23,Postseason,Tue 4/18,vsLAC,W123-109,45.0,14-22,63.6,4-7,57.1,6-6,100.0,1.0,9.0,0.0,1.0,4.0,3.0,38.0,4.0,7.0
