Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Devin Vassell,2022-23,Regular,Sun 3/26,@BOS,L137-93,27.0,4-12,33.3,1-5,20.0,0-0,0.0,5.0,4.0,0.0,0.0,3.0,1.0,9.0,1.0,5.0
Devin Vassell,2022-23,Regular,Wed 3/22,@MIL,L130-94,30.0,5-16,31.3,3-9,33.3,3-5,60.0,4.0,4.0,1.0,2.0,2.0,3.0,16.0,3.0,9.0
Devin Vassell,2022-23,Regular,Sun 3/19,vsATL,W126-118,32.0,12-17,70.6,5-8,62.5,0-0,0.0,2.0,3.0,1.0,3.0,2.0,0.0,29.0,5.0,8.0
Devin Vassell,2022-23,Regular,Fri 3/17,vsMEM,L126-120 OT,35.0,9-21,42.9,5-13,38.5,2-3,66.7,5.0,5.0,0.0,1.0,0.0,1.0,25.0,5.0,13.0
Devin Vassell,2022-23,Regular,Tue 3/14,vsORL,W132-114,33.0,4-11,36.4,1-4,25.0,1-1,100.0,6.0,4.0,2.0,0.0,2.0,2.0,10.0,1.0,4.0
Devin Vassell,2022-23,Regular,Sun 3/12,vsOKC,L102-90,33.0,2-10,20.0,0-2,0.0,2-2,100.0,6.0,1.0,1.0,1.0,3.0,2.0,6.0,0.0,2.0
Devin Vassell,2022-23,Regular,Fri 3/10,vsDEN,W128-120,31.0,6-15,40.0,2-7,28.6,0-0,0.0,2.0,4.0,0.0,0.0,2.0,1.0,14.0,2.0,7.0
Devin Vassell,2022-23,Regular,Sun 3/5,@HOU,L142-110,29.0,5-15,33.3,2-8,25.0,1-2,50.0,1.0,5.0,0.0,1.0,0.0,2.0,13.0,2.0,8.0
Devin Vassell,2022-23,Regular,Thu 3/2,vsIND,W110-99,23.0,8-15,53.3,2-7,28.6,0-0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,18.0,2.0,7.0
Devin Vassell,2022-23,Regular,Mon 1/2,@BKN,L139-103,26.0,5-13,38.5,3-7,42.9,1-2,50.0,2.0,3.0,0.0,0.0,0.0,1.0,14.0,3.0,7.0
Devin Vassell,2022-23,Regular,Tue 12/27,@OKC,L130-114,30.0,8-15,53.3,4-6,66.7,0-0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,20.0,4.0,6.0
Devin Vassell,2022-23,Regular,Mon 12/26,vsUTAH,W126-122,35.0,8-22,36.4,2-7,28.6,6-9,66.7,6.0,8.0,2.0,2.0,3.0,2.0,24.0,2.0,7.0
Devin Vassell,2022-23,Regular,Fri 12/23,@ORL,L133-113,27.0,6-15,40.0,2-7,28.6,0-0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,14.0,2.0,7.0
Devin Vassell,2022-23,Regular,Thu 12/22,@NO,L126-117,30.0,4-13,30.8,1-6,16.7,1-1,100.0,9.0,5.0,0.0,3.0,1.0,2.0,10.0,1.0,6.0
Devin Vassell,2022-23,Regular,Mon 12/19,@HOU,W124-105,29.0,10-17,58.8,5-8,62.5,1-1,100.0,4.0,5.0,0.0,1.0,1.0,2.0,26.0,5.0,8.0
Devin Vassell,2022-23,Regular,Sat 12/17,vsMIA,L111-101,32.0,5-14,35.7,1-7,14.3,7-9,77.8,3.0,2.0,0.0,1.0,3.0,2.0,18.0,1.0,7.0
Devin Vassell,2022-23,Regular,Wed 12/14,vsPOR,L128-112,26.0,4-16,25.0,2-4,50.0,3-3,100.0,2.0,4.0,1.0,3.0,0.0,1.0,13.0,2.0,4.0
Devin Vassell,2022-23,Regular,Mon 12/12,vsCLE,W112-111,28.0,7-14,50.0,2-6,33.3,0-0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,16.0,2.0,6.0
Devin Vassell,2022-23,Regular,Sat 12/10,@MIA,W115-111,26.0,7-13,53.8,1-4,25.0,3-4,75.0,4.0,2.0,0.0,3.0,1.0,1.0,18.0,1.0,4.0
Devin Vassell,2022-23,Regular,Sun 12/4,vsPHX,L133-95,31.0,5-12,41.7,2-6,33.3,2-2,100.0,5.0,4.0,0.0,0.0,1.0,3.0,14.0,2.0,6.0
Devin Vassell,2022-23,Regular,Fri 12/2,vsNO,L117-99,35.0,9-23,39.1,5-12,41.7,2-2,100.0,4.0,3.0,1.0,0.0,1.0,1.0,25.0,5.0,12.0
Devin Vassell,2022-23,Regular,Wed 11/30,@OKC,L119-111,37.0,7-13,53.8,3-6,50.0,8-9,88.9,7.0,3.0,0.0,1.0,2.0,1.0,25.0,3.0,6.0
Devin Vassell,2022-23,Regular,Sat 11/26,vsLAL,L143-138,38.0,6-16,37.5,4-9,44.4,4-4,100.0,4.0,3.0,0.0,1.0,4.0,3.0,20.0,4.0,9.0
Devin Vassell,2022-23,Regular,Fri 11/25,vsLAL,L105-94,36.0,7-22,31.8,0-6,0.0,4-4,100.0,6.0,3.0,0.0,1.0,2.0,1.0,18.0,0.0,6.0
Devin Vassell,2022-23,Regular,Wed 11/23,vsNO,L129-110,32.0,10-17,58.8,4-8,50.0,2-3,66.7,4.0,8.0,0.0,1.0,3.0,2.0,26.0,4.0,8.0
Devin Vassell,2022-23,Regular,Sun 11/20,@LAL,L123-92,29.0,7-14,50.0,3-4,75.0,0-1,0.0,4.0,4.0,1.0,0.0,1.0,0.0,17.0,3.0,4.0
Devin Vassell,2022-23,Regular,Thu 11/17,@SAC,L130-112,36.0,11-19,57.9,4-9,44.4,3-5,60.0,3.0,3.0,1.0,1.0,1.0,2.0,29.0,4.0,9.0
Devin Vassell,2022-23,Regular,Tue 11/15,@POR,L117-110,35.0,7-15,46.7,4-8,50.0,3-3,100.0,2.0,2.0,1.0,1.0,3.0,4.0,21.0,4.0,8.0
Devin Vassell,2022-23,Regular,Mon 11/14,@GS,L132-95,25.0,3-11,27.3,0-4,0.0,0-0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,4.0
Devin Vassell,2022-23,Regular,Fri 11/11,vsMIL,W111-93,31.0,9-17,52.9,2-7,28.6,2-2,100.0,5.0,0.0,1.0,0.0,1.0,1.0,22.0,2.0,7.0
Devin Vassell,2022-23,Regular,Wed 11/9,vsMEM,L124-122 OT,39.0,9-21,42.9,4-10,40.0,0-0,0.0,3.0,6.0,1.0,0.0,1.0,1.0,22.0,4.0,10.0
Devin Vassell,2022-23,Regular,Mon 11/7,vsDEN,L115-109,34.0,6-17,35.3,3-8,37.5,2-3,66.7,3.0,4.0,0.0,2.0,0.0,3.0,17.0,3.0,8.0
Devin Vassell,2022-23,Regular,Sat 11/5,@DEN,L126-101,25.0,7-12,58.3,4-6,66.7,2-3,66.7,4.0,4.0,1.0,1.0,1.0,1.0,20.0,4.0,6.0
Devin Vassell,2022-23,Regular,Fri 11/4,vsLAC,L113-106,25.0,12-16,75.0,4-5,80.0,1-1,100.0,2.0,2.0,0.0,0.0,2.0,2.0,29.0,4.0,5.0
Devin Vassell,2022-23,Regular,Mon 10/24,@MIN,W115-106,33.0,8-22,36.4,5-10,50.0,2-2,100.0,9.0,7.0,0.0,1.0,2.0,1.0,23.0,5.0,10.0
Devin Vassell,2022-23,Regular,Sat 10/22,@PHI,W114-105,34.0,9-14,64.3,4-8,50.0,0-0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,22.0,4.0,8.0
Devin Vassell,2022-23,Regular,Fri 10/21,@IND,W137-134,34.0,7-15,46.7,4-7,57.1,5-6,83.3,5.0,4.0,0.0,2.0,1.0,0.0,23.0,4.0,7.0
Devin Vassell,2022-23,Regular,Wed 10/19,vsCHA,L129-102,29.0,3-15,20.0,0-8,0.0,5-8,62.5,2.0,4.0,0.0,1.0,1.0,2.0,11.0,0.0,8.0
Devin Vassell,2022-23,Preseason,Thu 10/13,vsOKC,L118-112,28.0,6-16,37.5,1-6,16.7,5-5,100.0,4.0,2.0,0.0,2.0,4.0,1.0,18.0,1.0,6.0
Devin Vassell,2022-23,Preseason,Tue 10/11,@UTAH,W111-104,22.0,10-15,66.7,3-5,60.0,1-1,100.0,4.0,0.0,0.0,0.0,4.0,1.0,24.0,3.0,5.0
Devin Vassell,2022-23,Preseason,Thu 10/6,vsORL,L102-99,25.0,4-11,36.4,1-6,16.7,2-2,100.0,1.0,5.0,0.0,0.0,1.0,2.0,11.0,1.0,6.0
Devin Vassell,2022-23,Preseason,Sun 10/2,@HOU,L134-96,19.0,4-13,30.8,1-7,14.3,4-5,80.0,2.0,1.0,0.0,0.0,1.0,0.0,13.0,1.0,7.0
