Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Devonte' Graham,2022-23,Regular,Tue 4/4,@PHX,L115-94,27.0,3-8,37.5,2-5,40.0,1-2,50.0,1.0,2.0,0.0,2.0,2.0,2.0,9.0,2.0,5.0
Devonte' Graham,2022-23,Regular,Sun 4/2,@SAC,W142-134 OT,19.0,1-6,16.7,1-6,16.7,0-2,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0
Devonte' Graham,2022-23,Regular,Fri 3/31,@GS,L130-115,23.0,1-4,25.0,1-4,25.0,3-5,60.0,1.0,3.0,0.0,0.0,3.0,0.0,6.0,1.0,4.0
Devonte' Graham,2022-23,Regular,Wed 3/29,vsUTAH,L128-117,24.0,5-10,50.0,3-7,42.9,4-4,100.0,4.0,6.0,1.0,0.0,0.0,2.0,17.0,3.0,7.0
Devonte' Graham,2022-23,Regular,Sun 3/26,@BOS,L137-93,22.0,0-5,0.0,0-3,0.0,2-2,100.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0,3.0
Devonte' Graham,2022-23,Regular,Fri 3/24,@WSH,L136-124,21.0,2-8,25.0,1-6,16.7,0-0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,5.0,1.0,6.0
Devonte' Graham,2022-23,Regular,Tue 3/21,@NO,L119-84,24.0,4-12,33.3,3-9,33.3,4-7,57.1,2.0,1.0,0.0,0.0,2.0,2.0,15.0,3.0,9.0
Devonte' Graham,2022-23,Regular,Wed 3/15,vsDAL,L137-128 OT,33.0,4-8,50.0,4-7,57.1,1-3,33.3,3.0,5.0,0.0,1.0,3.0,0.0,13.0,4.0,7.0
Devonte' Graham,2022-23,Regular,Tue 3/14,vsORL,W132-114,25.0,4-7,57.1,1-3,33.3,6-7,85.7,4.0,9.0,0.0,1.0,1.0,2.0,15.0,1.0,3.0
Devonte' Graham,2022-23,Regular,Sun 3/12,vsOKC,L102-90,32.0,8-16,50.0,4-11,36.4,0-0,0.0,3.0,3.0,1.0,1.0,1.0,5.0,20.0,4.0,11.0
