Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Dillon Brooks,2022-23,Postseason,Fri 4/28,@LAL,L125-85,26.0,4-11,36.4,2-5,40.0,0-0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,10.0,2.0,5.0
Dillon Brooks,2022-23,Postseason,Wed 4/26,vsLAL,W116-99,30.0,3-15,20.0,2-10,20.0,0-0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,8.0,2.0,10.0
Dillon Brooks,2022-23,Postseason,Mon 4/24,@LAL,L117-111 OT,41.0,4-11,36.4,1-7,14.3,2-2,100.0,5.0,4.0,0.0,0.0,5.0,1.0,11.0,1.0,7.0
Dillon Brooks,2022-23,Postseason,Sat 4/22,@LAL,L111-101,19.0,3-13,23.1,1-5,20.0,0-1,0.0,2.0,0.0,0.0,1.0,2.0,1.0,7.0,1.0,5.0
Dillon Brooks,2022-23,Postseason,Wed 4/19,vsLAL,W103-93,23.0,5-14,35.7,2-6,33.3,0-0,0.0,1.0,3.0,0.0,0.0,5.0,2.0,12.0,2.0,6.0
Dillon Brooks,2022-23,Postseason,Sun 4/16,vsLAL,L128-112,29.0,5-13,38.5,2-9,22.2,3-4,75.0,4.0,2.0,0.0,0.0,3.0,1.0,15.0,2.0,9.0
Dillon Brooks,2022-23,Regular,Fri 4/7,@MIL,W137-114,31.0,4-13,30.8,1-8,12.5,2-2,100.0,4.0,2.0,1.0,0.0,3.0,0.0,11.0,1.0,8.0
Dillon Brooks,2022-23,Regular,Wed 4/5,@NO,L138-131 OT,38.0,9-15,60.0,5-8,62.5,2-4,50.0,6.0,2.0,0.0,2.0,6.0,4.0,25.0,5.0,8.0
Dillon Brooks,2022-23,Regular,Sun 4/2,@CHI,L128-107,32.0,5-15,33.3,4-11,36.4,0-0,0.0,4.0,4.0,0.0,1.0,1.0,3.0,14.0,4.0,11.0
Dillon Brooks,2022-23,Regular,Fri 3/31,vsLAC,W108-94,26.0,4-11,36.4,1-6,16.7,3-3,100.0,4.0,1.0,0.0,2.0,2.0,1.0,12.0,1.0,6.0
Dillon Brooks,2022-23,Regular,Wed 3/29,vsLAC,L141-132,34.0,12-24,50.0,2-9,22.2,4-6,66.7,6.0,4.0,1.0,1.0,3.0,0.0,30.0,2.0,9.0
Dillon Brooks,2022-23,Regular,Tue 3/28,vsORL,W113-108,32.0,5-14,35.7,2-8,25.0,1-2,50.0,3.0,3.0,0.0,1.0,2.0,2.0,13.0,2.0,8.0
Dillon Brooks,2022-23,Regular,Sun 3/26,@ATL,W123-119,23.0,2-4,50.0,2-3,66.7,0-0,0.0,2.0,5.0,0.0,0.0,6.0,2.0,6.0,2.0,3.0
Dillon Brooks,2022-23,Regular,Fri 3/24,vsHOU,W151-114,18.0,4-7,57.1,2-3,66.7,1-2,50.0,1.0,1.0,1.0,1.0,5.0,0.0,11.0,2.0,3.0
Dillon Brooks,2022-23,Regular,Mon 3/20,vsDAL,W112-108,30.0,3-9,33.3,1-4,25.0,2-2,100.0,4.0,5.0,0.0,1.0,3.0,0.0,9.0,1.0,4.0
Dillon Brooks,2022-23,Regular,Sat 3/18,vsGS,W133-119,29.0,7-10,70.0,4-4,100.0,0-0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,18.0,4.0,4.0
Dillon Brooks,2022-23,Regular,Fri 3/17,@SA,W126-120 OT,40.0,5-11,45.5,4-8,50.0,2-2,100.0,5.0,1.0,1.0,3.0,1.0,3.0,16.0,4.0,8.0
Dillon Brooks,2022-23,Regular,Wed 3/15,@MIA,L138-119,27.0,3-7,42.9,1-4,25.0,0-1,0.0,2.0,1.0,0.0,0.0,3.0,3.0,7.0,1.0,4.0
Dillon Brooks,2022-23,Regular,Mon 3/13,@DAL,W104-88,33.0,7-19,36.8,4-11,36.4,1-1,100.0,3.0,5.0,0.0,2.0,1.0,0.0,19.0,4.0,11.0
Dillon Brooks,2022-23,Regular,Sat 3/11,vsDAL,W112-108,34.0,3-9,33.3,1-6,16.7,1-2,50.0,5.0,3.0,0.0,1.0,3.0,1.0,8.0,1.0,6.0
Dillon Brooks,2022-23,Regular,Thu 3/9,vsGS,W131-110,35.0,6-15,40.0,1-7,14.3,1-1,100.0,4.0,6.0,1.0,1.0,3.0,0.0,14.0,1.0,7.0
Dillon Brooks,2022-23,Regular,Tue 3/7,@LAL,L112-103,27.0,5-17,29.4,3-10,30.0,0-0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,13.0,3.0,10.0
Dillon Brooks,2022-23,Regular,Fri 3/3,@DEN,L113-97,33.0,3-10,30.0,2-5,40.0,0-0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,8.0,2.0,5.0
Dillon Brooks,2022-23,Regular,Wed 3/1,@HOU,W113-99,27.0,5-10,50.0,4-8,50.0,2-2,100.0,3.0,2.0,0.0,1.0,3.0,1.0,16.0,4.0,8.0
Dillon Brooks,2022-23,Regular,Tue 2/28,vsLAL,W121-109,27.0,2-11,18.2,2-6,33.3,1-2,50.0,3.0,2.0,0.0,2.0,5.0,0.0,7.0,2.0,6.0
Dillon Brooks,2022-23,Regular,Sat 2/25,vsDEN,W112-94,24.0,5-9,55.6,2-4,50.0,0-0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,12.0,2.0,4.0
Dillon Brooks,2022-23,Regular,Thu 2/23,@PHI,L110-105,32.0,3-9,33.3,1-5,20.0,4-4,100.0,5.0,2.0,0.0,0.0,2.0,2.0,11.0,1.0,5.0
Dillon Brooks,2022-23,Regular,Wed 2/15,vsUTAH,W117-111,32.0,5-12,41.7,1-4,25.0,0-0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,11.0,1.0,4.0
Dillon Brooks,2022-23,Regular,Sun 2/12,@BOS,L119-109,36.0,4-12,33.3,3-7,42.9,0-0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,11.0,3.0,7.0
Dillon Brooks,2022-23,Regular,Fri 2/10,vsMIN,W128-107,14.0,2-4,50.0,0-0,0.0,2-2,100.0,1.0,1.0,1.0,1.0,6.0,3.0,6.0,0.0,0.0
Dillon Brooks,2022-23,Regular,Tue 2/7,vsCHI,W104-89,35.0,2-12,16.7,1-6,16.7,0-0,0.0,1.0,4.0,0.0,2.0,2.0,1.0,5.0,1.0,6.0
Dillon Brooks,2022-23,Regular,Thu 2/2,@CLE,L128-113,22.0,2-5,40.0,0-1,0.0,5-6,83.3,2.0,1.0,0.0,1.0,2.0,2.0,9.0,0.0,1.0
Dillon Brooks,2022-23,Regular,Wed 2/1,vsPOR,L122-112,38.0,4-9,44.4,1-6,16.7,0-0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,9.0,1.0,6.0
Dillon Brooks,2022-23,Regular,Sun 1/29,vsIND,W112-100,31.0,2-11,18.2,1-7,14.3,0-0,0.0,1.0,3.0,0.0,1.0,4.0,3.0,5.0,1.0,7.0
Dillon Brooks,2022-23,Regular,Fri 1/27,@MIN,L111-100,37.0,7-17,41.2,2-10,20.0,1-2,50.0,4.0,1.0,0.0,1.0,2.0,1.0,17.0,2.0,10.0
Dillon Brooks,2022-23,Regular,Wed 1/25,@GS,L122-120,31.0,3-9,33.3,2-5,40.0,2-2,100.0,4.0,3.0,0.0,1.0,4.0,0.0,10.0,2.0,5.0
Dillon Brooks,2022-23,Regular,Mon 1/23,@SAC,L133-100,30.0,6-15,40.0,1-5,20.0,0-0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,13.0,1.0,5.0
Dillon Brooks,2022-23,Regular,Sun 1/22,@PHX,L112-110,30.0,4-11,36.4,2-5,40.0,0-0,0.0,5.0,3.0,0.0,0.0,5.0,1.0,10.0,2.0,5.0
Dillon Brooks,2022-23,Regular,Fri 1/20,@LAL,L122-121,31.0,4-17,23.5,1-4,25.0,0-0,0.0,6.0,3.0,0.0,1.0,6.0,1.0,9.0,1.0,4.0
Dillon Brooks,2022-23,Regular,Wed 1/18,vsCLE,W115-114,31.0,4-12,33.3,0-5,0.0,0-0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,5.0
Dillon Brooks,2022-23,Regular,Mon 1/16,vsPHX,W136-106,24.0,4-8,50.0,0-0,0.0,1-2,50.0,2.0,1.0,0.0,1.0,3.0,1.0,9.0,0.0,0.0
Dillon Brooks,2022-23,Regular,Wed 1/11,vsSA,W135-129,26.0,3-12,25.0,1-3,33.3,0-0,0.0,5.0,1.0,0.0,1.0,4.0,1.0,7.0,1.0,3.0
Dillon Brooks,2022-23,Regular,Mon 1/9,vsSA,W121-113,32.0,5-13,38.5,1-4,25.0,4-6,66.7,5.0,3.0,0.0,3.0,5.0,1.0,15.0,1.0,4.0
Dillon Brooks,2022-23,Regular,Sun 1/8,vsUTAH,W123-118,32.0,6-18,33.3,2-7,28.6,1-2,50.0,3.0,2.0,0.0,0.0,3.0,0.0,15.0,2.0,7.0
Dillon Brooks,2022-23,Regular,Thu 1/5,@ORL,W123-115,32.0,5-18,27.8,1-8,12.5,0-0,0.0,6.0,6.0,0.0,0.0,4.0,1.0,11.0,1.0,8.0
Dillon Brooks,2022-23,Regular,Wed 1/4,@CHA,W131-107,25.0,6-10,60.0,1-4,25.0,5-5,100.0,2.0,0.0,1.0,1.0,2.0,2.0,18.0,1.0,4.0
Dillon Brooks,2022-23,Regular,Sun 1/1,vsSAC,W118-108,36.0,7-19,36.8,1-6,16.7,0-0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,15.0,1.0,6.0
Dillon Brooks,2022-23,Regular,Sat 12/31,vsNO,W116-101,27.0,3-8,37.5,1-3,33.3,0-0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,7.0,1.0,3.0
Dillon Brooks,2022-23,Regular,Thu 12/29,@TOR,W119-106,34.0,7-14,50.0,4-7,57.1,7-8,87.5,3.0,6.0,0.0,0.0,3.0,0.0,25.0,4.0,7.0
Dillon Brooks,2022-23,Regular,Tue 12/27,vsPHX,L125-108,26.0,3-9,33.3,1-1,100.0,0-0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,7.0,1.0,1.0
Dillon Brooks,2022-23,Regular,Sun 12/25,@GS,L123-109,30.0,4-12,33.3,1-6,16.7,4-5,80.0,3.0,1.0,0.0,0.0,5.0,5.0,13.0,1.0,6.0
Dillon Brooks,2022-23,Regular,Fri 12/23,@PHX,W125-100,25.0,7-9,77.8,1-1,100.0,1-1,100.0,0.0,2.0,0.0,2.0,3.0,1.0,16.0,1.0,1.0
Dillon Brooks,2022-23,Regular,Tue 12/20,@DEN,L105-91,29.0,5-14,35.7,0-5,0.0,1-1,100.0,7.0,1.0,0.0,3.0,5.0,1.0,11.0,0.0,5.0
Dillon Brooks,2022-23,Regular,Sat 12/17,@OKC,L115-109,37.0,10-24,41.7,6-15,40.0,6-7,85.7,4.0,1.0,1.0,0.0,4.0,1.0,32.0,6.0,15.0
Dillon Brooks,2022-23,Regular,Thu 12/15,vsMIL,W142-101,21.0,7-14,50.0,1-4,25.0,3-3,100.0,3.0,4.0,0.0,0.0,2.0,0.0,18.0,1.0,4.0
Dillon Brooks,2022-23,Regular,Mon 12/12,vsATL,W128-103,29.0,6-11,54.5,5-7,71.4,1-1,100.0,5.0,4.0,0.0,0.0,3.0,6.0,18.0,5.0,7.0
Dillon Brooks,2022-23,Regular,Fri 12/9,vsDET,W114-103,32.0,6-14,42.9,1-5,20.0,3-4,75.0,1.0,4.0,0.0,0.0,3.0,1.0,16.0,1.0,5.0
Dillon Brooks,2022-23,Regular,Wed 12/7,vsOKC,W123-102,30.0,9-19,47.4,5-12,41.7,1-1,100.0,3.0,2.0,1.0,1.0,3.0,2.0,24.0,5.0,12.0
Dillon Brooks,2022-23,Regular,Mon 12/5,vsMIA,W101-93,34.0,7-22,31.8,2-11,18.2,1-1,100.0,4.0,2.0,0.0,1.0,4.0,5.0,17.0,2.0,11.0
