Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Draymond Green,2022-23,Postseason,Fri 5/12,@LAL,L122-101,24.0,4-8,50.0,1-3,33.3,0-0,0.0,9.0,3.0,1.0,0.0,5.0,2.0,9.0,1.0,3.0
Draymond Green,2022-23,Postseason,Wed 5/10,vsLAL,W121-106,30.0,7-11,63.6,1-2,50.0,5-5,100.0,10.0,4.0,1.0,2.0,3.0,5.0,20.0,1.0,2.0
Draymond Green,2022-23,Postseason,Mon 5/8,@LAL,L104-101,37.0,3-5,60.0,0-1,0.0,2-2,100.0,10.0,7.0,1.0,1.0,3.0,5.0,8.0,0.0,1.0
Draymond Green,2022-23,Postseason,Sat 5/6,@LAL,L127-97,23.0,1-4,25.0,0-1,0.0,0-0,0.0,2.0,4.0,1.0,1.0,5.0,0.0,2.0,0.0,1.0
Draymond Green,2022-23,Postseason,Thu 5/4,vsLAL,W127-100,28.0,5-10,50.0,0-1,0.0,1-4,25.0,11.0,9.0,0.0,1.0,3.0,2.0,11.0,0.0,1.0
Draymond Green,2022-23,Postseason,Tue 5/2,vsLAL,L117-112,34.0,3-9,33.3,0-1,0.0,0-0,0.0,4.0,7.0,3.0,1.0,4.0,0.0,6.0,0.0,1.0
Draymond Green,2022-23,Postseason,Sun 4/30,@SAC,W120-100,38.0,3-7,42.9,1-4,25.0,1-2,50.0,6.0,8.0,0.0,2.0,4.0,0.0,8.0,1.0,4.0
Draymond Green,2022-23,Postseason,Fri 4/28,vsSAC,L118-99,26.0,1-2,50.0,0-0,0.0,2-2,100.0,4.0,10.0,2.0,1.0,5.0,1.0,4.0,0.0,0.0
Draymond Green,2022-23,Postseason,Wed 4/26,@SAC,W123-116,32.0,8-10,80.0,1-2,50.0,4-8,50.0,4.0,7.0,1.0,4.0,4.0,3.0,21.0,1.0,2.0
Draymond Green,2022-23,Postseason,Sun 4/23,vsSAC,W126-125,31.0,3-14,21.4,0-2,0.0,6-6,100.0,10.0,7.0,1.0,2.0,4.0,1.0,12.0,0.0,2.0
Draymond Green,2022-23,Postseason,Mon 4/17,@SAC,L114-106,31.0,3-6,50.0,1-2,50.0,1-2,50.0,4.0,5.0,0.0,1.0,5.0,5.0,8.0,1.0,2.0
Draymond Green,2022-23,Postseason,Sat 4/15,@SAC,L126-123,33.0,1-5,20.0,0-1,0.0,2-2,100.0,9.0,11.0,1.0,2.0,3.0,3.0,4.0,0.0,1.0
Draymond Green,2022-23,Regular,Sun 4/9,@POR,W157-101,20.0,4-7,57.1,1-2,50.0,0-0,0.0,3.0,4.0,2.0,2.0,0.0,3.0,9.0,1.0,2.0
Draymond Green,2022-23,Regular,Fri 4/7,@SAC,W119-97,33.0,2-5,40.0,0-2,0.0,0-0,0.0,5.0,5.0,2.0,1.0,5.0,5.0,4.0,0.0,2.0
Draymond Green,2022-23,Regular,Tue 4/4,vsOKC,W136-125,36.0,6-9,66.7,1-3,33.3,4-5,80.0,9.0,5.0,2.0,2.0,2.0,3.0,17.0,1.0,3.0
Draymond Green,2022-23,Regular,Sun 4/2,@DEN,L112-110,37.0,2-7,28.6,0-1,0.0,0-0,0.0,9.0,7.0,0.0,1.0,5.0,4.0,4.0,0.0,1.0
Draymond Green,2022-23,Regular,Fri 3/31,vsSA,W130-115,29.0,1-4,25.0,0-1,0.0,2-2,100.0,6.0,11.0,1.0,0.0,4.0,6.0,4.0,0.0,1.0
Draymond Green,2022-23,Regular,Tue 3/28,vsNO,W120-109,33.0,4-5,80.0,0-0,0.0,0-0,0.0,6.0,13.0,0.0,2.0,5.0,4.0,8.0,0.0,0.0
Draymond Green,2022-23,Regular,Sun 3/26,vsMIN,L99-96,36.0,5-9,55.6,1-3,33.3,1-2,50.0,7.0,5.0,0.0,1.0,4.0,5.0,12.0,1.0,3.0
Draymond Green,2022-23,Regular,Fri 3/24,vsPHI,W120-112,35.0,5-11,45.5,0-5,0.0,0-0,0.0,7.0,10.0,0.0,1.0,3.0,5.0,10.0,0.0,5.0
Draymond Green,2022-23,Regular,Wed 3/22,@DAL,W127-125,25.0,6-10,60.0,1-4,25.0,1-1,100.0,4.0,8.0,4.0,3.0,5.0,3.0,14.0,1.0,4.0
Draymond Green,2022-23,Regular,Mon 3/20,@HOU,W121-108,34.0,4-4,100.0,0-0,0.0,0-0,0.0,7.0,7.0,1.0,1.0,3.0,2.0,8.0,0.0,0.0
Draymond Green,2022-23,Regular,Sat 3/18,@MEM,L133-119,30.0,5-9,55.6,0-1,0.0,1-2,50.0,7.0,5.0,0.0,0.0,3.0,2.0,11.0,0.0,1.0
Draymond Green,2022-23,Regular,Wed 3/15,@LAC,L134-126,35.0,3-7,42.9,1-1,100.0,1-1,100.0,8.0,5.0,0.0,1.0,5.0,4.0,8.0,1.0,1.0
Draymond Green,2022-23,Regular,Mon 3/13,vsPHX,W123-112,30.0,2-3,66.7,0-0,0.0,0-0,0.0,6.0,4.0,3.0,2.0,3.0,1.0,4.0,0.0,0.0
Draymond Green,2022-23,Regular,Sat 3/11,vsMIL,W125-116 OT,36.0,2-10,20.0,1-4,25.0,0-0,0.0,13.0,9.0,0.0,0.0,0.0,2.0,5.0,1.0,4.0
Draymond Green,2022-23,Regular,Thu 3/9,@MEM,L131-110,30.0,5-9,55.6,0-1,0.0,6-6,100.0,5.0,7.0,0.0,3.0,1.0,5.0,16.0,0.0,1.0
Draymond Green,2022-23,Regular,Tue 3/7,@OKC,L137-128,33.0,5-7,71.4,1-1,100.0,0-0,0.0,1.0,11.0,0.0,1.0,2.0,2.0,11.0,1.0,1.0
Draymond Green,2022-23,Regular,Sun 3/5,@LAL,L113-105,31.0,7-11,63.6,0-1,0.0,1-3,33.3,8.0,3.0,0.0,0.0,4.0,1.0,15.0,0.0,1.0
Draymond Green,2022-23,Regular,Fri 3/3,vsNO,W108-99,24.0,2-4,50.0,0-1,0.0,0-0,0.0,5.0,1.0,1.0,0.0,6.0,4.0,4.0,0.0,1.0
Draymond Green,2022-23,Regular,Thu 3/2,vsLAC,W115-91,29.0,5-7,71.4,0-1,0.0,1-2,50.0,9.0,9.0,0.0,0.0,4.0,4.0,11.0,0.0,1.0
Draymond Green,2022-23,Regular,Tue 2/28,vsPOR,W123-105,32.0,4-5,80.0,1-2,50.0,3-4,75.0,9.0,8.0,2.0,2.0,5.0,3.0,12.0,1.0,2.0
Draymond Green,2022-23,Regular,Thu 2/23,@LAL,L124-111,25.0,3-10,30.0,0-1,0.0,0-0,0.0,11.0,5.0,1.0,1.0,3.0,2.0,6.0,0.0,1.0
Draymond Green,2022-23,Regular,Tue 2/14,@LAC,L134-124,33.0,6-6,100.0,1-1,100.0,2-2,100.0,5.0,7.0,0.0,1.0,3.0,3.0,15.0,1.0,1.0
Draymond Green,2022-23,Regular,Mon 2/13,vsWSH,W135-126,24.0,2-3,66.7,0-0,0.0,0-0,0.0,0.0,6.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0
Draymond Green,2022-23,Regular,Sat 2/11,vsLAL,L109-103,34.0,5-8,62.5,1-3,33.3,1-1,100.0,7.0,10.0,1.0,2.0,4.0,4.0,12.0,1.0,3.0
Draymond Green,2022-23,Regular,Wed 2/8,@POR,L125-122,35.0,2-7,28.6,0-1,0.0,0-0,0.0,6.0,7.0,1.0,0.0,3.0,4.0,4.0,0.0,1.0
Draymond Green,2022-23,Regular,Mon 2/6,vsOKC,W141-114,28.0,3-4,75.0,0-1,0.0,1-2,50.0,10.0,4.0,2.0,3.0,2.0,2.0,7.0,0.0,1.0
Draymond Green,2022-23,Regular,Sat 2/4,vsDAL,W119-113,32.0,6-13,46.2,3-7,42.9,2-2,100.0,9.0,9.0,2.0,0.0,3.0,2.0,17.0,3.0,7.0
Draymond Green,2022-23,Regular,Wed 2/1,@MIN,L119-114 OT,39.0,5-10,50.0,0-0,0.0,0-3,0.0,12.0,4.0,0.0,1.0,3.0,5.0,10.0,0.0,0.0
Draymond Green,2022-23,Regular,Mon 1/30,@OKC,W128-120,31.0,3-4,75.0,0-1,0.0,1-2,50.0,9.0,12.0,0.0,2.0,3.0,3.0,7.0,0.0,1.0
Draymond Green,2022-23,Regular,Fri 1/27,vsTOR,W129-117,33.0,2-4,50.0,0-1,0.0,1-2,50.0,7.0,7.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0
Draymond Green,2022-23,Regular,Wed 1/25,vsMEM,W122-120,32.0,3-3,100.0,0-0,0.0,2-4,50.0,13.0,7.0,3.0,1.0,5.0,5.0,8.0,0.0,0.0
Draymond Green,2022-23,Regular,Sun 1/22,vsBKN,L120-116,33.0,4-7,57.1,1-2,50.0,0-0,0.0,11.0,7.0,0.0,1.0,4.0,1.0,9.0,1.0,2.0
Draymond Green,2022-23,Regular,Thu 1/19,@BOS,L121-118 OT,37.0,3-5,60.0,1-2,50.0,4-4,100.0,13.0,9.0,0.0,1.0,4.0,2.0,11.0,1.0,2.0
Draymond Green,2022-23,Regular,Mon 1/16,@WSH,W127-118,35.0,5-7,71.4,2-3,66.7,5-6,83.3,6.0,10.0,0.0,3.0,3.0,2.0,17.0,2.0,3.0
Draymond Green,2022-23,Regular,Sun 1/15,@CHI,L132-118,30.0,2-6,33.3,0-1,0.0,4-5,80.0,4.0,7.0,1.0,2.0,4.0,6.0,8.0,0.0,1.0
Draymond Green,2022-23,Regular,Fri 1/13,@SA,W144-113,29.0,3-5,60.0,0-1,0.0,0-0,0.0,12.0,4.0,1.0,3.0,3.0,2.0,6.0,0.0,1.0
Draymond Green,2022-23,Regular,Tue 1/10,vsPHX,L125-113,34.0,1-5,20.0,1-3,33.3,2-2,100.0,12.0,6.0,0.0,3.0,4.0,3.0,5.0,1.0,3.0
Draymond Green,2022-23,Regular,Sat 1/7,vsORL,L115-101,33.0,2-6,33.3,1-5,20.0,0-2,0.0,5.0,6.0,0.0,0.0,4.0,3.0,5.0,1.0,5.0
Draymond Green,2022-23,Regular,Wed 1/4,vsDET,L122-119,30.0,2-4,50.0,0-2,0.0,0-0,0.0,8.0,7.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0
Draymond Green,2022-23,Regular,Mon 1/2,vsATL,W143-141 2OT,45.0,2-5,40.0,1-1,100.0,0-0,0.0,13.0,11.0,3.0,2.0,4.0,2.0,5.0,1.0,1.0
Draymond Green,2022-23,Regular,Fri 12/30,vsPOR,W118-112,33.0,4-11,36.4,2-4,50.0,0-0,0.0,11.0,4.0,0.0,1.0,3.0,1.0,10.0,2.0,4.0
Draymond Green,2022-23,Regular,Wed 12/28,vsUTAH,W112-107,30.0,2-7,28.6,2-6,33.3,0-0,0.0,9.0,5.0,3.0,0.0,2.0,1.0,6.0,2.0,6.0
Draymond Green,2022-23,Regular,Tue 12/27,vsCHA,W110-105,35.0,3-7,42.9,0-2,0.0,3-3,100.0,10.0,5.0,1.0,0.0,4.0,3.0,9.0,0.0,2.0
Draymond Green,2022-23,Regular,Sun 12/25,vsMEM,W123-109,35.0,1-3,33.3,1-1,100.0,0-0,0.0,13.0,13.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0
Draymond Green,2022-23,Regular,Wed 12/21,@BKN,L143-113,23.0,1-2,50.0,0-1,0.0,0-0,0.0,4.0,6.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
Draymond Green,2022-23,Regular,Tue 12/20,@NY,L132-94,26.0,3-5,60.0,1-3,33.3,0-0,0.0,5.0,6.0,0.0,0.0,3.0,1.0,7.0,1.0,3.0
Draymond Green,2022-23,Regular,Sun 12/18,@TOR,W126-110,37.0,7-15,46.7,3-6,50.0,0-0,0.0,9.0,5.0,0.0,0.0,3.0,2.0,17.0,3.0,6.0
Draymond Green,2022-23,Regular,Wed 12/14,@IND,L125-119,27.0,0-3,0.0,0-1,0.0,1-2,50.0,2.0,3.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0
Draymond Green,2022-23,Regular,Tue 12/13,@MIL,L128-111,23.0,1-3,33.3,0-0,0.0,0-0,0.0,6.0,7.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0
Draymond Green,2022-23,Regular,Sat 12/10,vsBOS,W123-107,36.0,5-10,50.0,0-2,0.0,1-2,50.0,4.0,2.0,1.0,0.0,0.0,3.0,11.0,0.0,2.0
Draymond Green,2022-23,Regular,Mon 12/5,vsIND,L112-104,34.0,1-8,12.5,0-2,0.0,0-0,0.0,9.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0
