Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Drew Eubanks,2022-23,Regular,Thu 4/6,@SA,L129-127,28.0,9-13,69.2,3-4,75.0,2-3,66.7,9.0,2.0,5.0,0.0,2.0,0.0,23.0,3.0,4.0
Drew Eubanks,2022-23,Regular,Tue 4/4,@MEM,L119-109,31.0,4-11,36.4,0-2,0.0,0-0,0.0,8.0,3.0,4.0,0.0,3.0,1.0,8.0,0.0,2.0
Drew Eubanks,2022-23,Regular,Sun 4/2,@MIN,W107-105,29.0,5-11,45.5,1-2,50.0,1-2,50.0,5.0,2.0,3.0,2.0,2.0,2.0,12.0,1.0,2.0
Drew Eubanks,2022-23,Regular,Fri 3/31,vsSAC,L138-114,28.0,7-10,70.0,0-0,0.0,4-7,57.1,10.0,1.0,1.0,2.0,3.0,2.0,18.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Wed 3/29,vsSAC,L120-80,25.0,2-12,16.7,0-2,0.0,1-2,50.0,11.0,5.0,2.0,0.0,4.0,2.0,5.0,0.0,2.0
Drew Eubanks,2022-23,Regular,Mon 3/27,vsNO,L124-90,23.0,4-8,50.0,0-1,0.0,4-4,100.0,3.0,1.0,1.0,1.0,2.0,2.0,12.0,0.0,1.0
Drew Eubanks,2022-23,Regular,Sun 3/26,vsOKC,L118-112,33.0,3-6,50.0,0-0,0.0,1-2,50.0,10.0,4.0,6.0,1.0,2.0,3.0,7.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Fri 3/24,vsCHI,L124-96,25.0,5-7,71.4,0-0,0.0,2-2,100.0,7.0,1.0,1.0,2.0,1.0,1.0,12.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Wed 3/22,@UTAH,W127-115,6.0,1-1,100.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Sun 3/19,vsLAC,L117-102,21.0,5-8,62.5,0-0,0.0,0-0,0.0,8.0,3.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Fri 3/17,vsBOS,L126-112,18.0,3-3,100.0,0-0,0.0,0-0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Tue 3/14,vsNY,L123-107,18.0,0-1,0.0,0-0,0.0,0-0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Sun 3/12,@NO,L127-110,12.0,3-4,75.0,0-0,0.0,0-1,0.0,7.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Fri 3/10,@PHI,L120-119,22.0,2-5,40.0,0-0,0.0,4-4,100.0,6.0,1.0,2.0,0.0,2.0,1.0,8.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Wed 3/8,@BOS,L115-93,14.0,1-1,100.0,0-0,0.0,0-0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Mon 3/6,@DET,W110-104,19.0,3-3,100.0,0-0,0.0,4-7,57.1,3.0,2.0,2.0,1.0,2.0,0.0,10.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Sun 3/5,@ORL,W122-119,26.0,5-6,83.3,0-0,0.0,3-4,75.0,6.0,3.0,0.0,1.0,2.0,1.0,13.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Fri 3/3,@ATL,L129-111,22.0,4-7,57.1,0-0,0.0,0-0,0.0,7.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Wed 3/1,vsNO,L121-110,18.0,1-1,100.0,0-0,0.0,0-0,0.0,4.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Tue 2/28,@GS,L123-105,25.0,2-3,66.7,0-0,0.0,1-2,50.0,8.0,4.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Sun 2/26,vsHOU,W131-114,22.0,2-2,100.0,0-0,0.0,5-10,50.0,8.0,0.0,2.0,1.0,4.0,1.0,9.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Thu 2/23,@SAC,L133-116,24.0,4-7,57.1,0-0,0.0,0-0,0.0,7.0,3.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Tue 2/14,vsWSH,L126-101,27.0,1-4,25.0,0-0,0.0,1-2,50.0,11.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0
Drew Eubanks,2022-23,Regular,Mon 2/13,vsLAL,W127-115,24.0,3-6,50.0,0-0,0.0,0-0,0.0,9.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0
