Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Duncan Robinson,2022-23,Postseason,Mon 6/12,@DEN,L94-89,17.0,2-6,33.3,1-3,33.3,0-0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,5.0,1.0,3.0
Duncan Robinson,2022-23,Postseason,Fri 6/9,vsDEN,L108-95,25.0,5-7,71.4,2-4,50.0,0-0,0.0,1.0,3.0,0.0,1.0,4.0,1.0,12.0,2.0,4.0
Duncan Robinson,2022-23,Postseason,Wed 6/7,vsDEN,L109-94,14.0,3-6,50.0,3-6,50.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,3.0,6.0
Duncan Robinson,2022-23,Postseason,Sun 6/4,@DEN,W111-108,17.0,4-5,80.0,2-3,66.7,0-1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,2.0,3.0
Duncan Robinson,2022-23,Postseason,Thu 6/1,@DEN,L104-93,21.0,1-6,16.7,1-5,20.0,0-0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,5.0
Duncan Robinson,2022-23,Postseason,Mon 5/29,@BOS,W103-84,20.0,4-6,66.7,2-3,66.7,0-0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,10.0,2.0,3.0
Duncan Robinson,2022-23,Postseason,Sat 5/27,vsBOS,L104-103,20.0,5-11,45.5,3-6,50.0,0-0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,13.0,3.0,6.0
Duncan Robinson,2022-23,Postseason,Thu 5/25,@BOS,L110-97,28.0,7-10,70.0,2-3,66.7,2-2,100.0,4.0,9.0,0.0,0.0,5.0,1.0,18.0,2.0,3.0
Duncan Robinson,2022-23,Postseason,Tue 5/23,vsBOS,L116-99,11.0,1-5,20.0,0-4,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0
Duncan Robinson,2022-23,Postseason,Sun 5/21,vsBOS,W128-102,24.0,7-11,63.6,5-7,71.4,3-3,100.0,2.0,4.0,0.0,0.0,1.0,1.0,22.0,5.0,7.0
Duncan Robinson,2022-23,Postseason,Fri 5/19,@BOS,W111-105,21.0,6-9,66.7,3-6,50.0,0-0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15.0,3.0,6.0
Duncan Robinson,2022-23,Postseason,Wed 5/17,@BOS,W123-116,7.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Duncan Robinson,2022-23,Postseason,Fri 5/12,vsNY,W96-92,14.0,2-7,28.6,2-7,28.6,0-0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,7.0
Duncan Robinson,2022-23,Postseason,Wed 5/10,@NY,L112-103,22.0,6-13,46.2,5-10,50.0,0-0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,17.0,5.0,10.0
Duncan Robinson,2022-23,Postseason,Mon 5/8,vsNY,W109-101,11.0,1-8,12.5,1-7,14.3,0-0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,7.0
Duncan Robinson,2022-23,Postseason,Sat 5/6,vsNY,W105-86,13.0,1-6,16.7,1-5,20.0,1-1,100.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,5.0
Duncan Robinson,2022-23,Postseason,Tue 5/2,@NY,L111-105,21.0,3-9,33.3,3-8,37.5,0-0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,9.0,3.0,8.0
Duncan Robinson,2022-23,Postseason,Sun 4/30,@NY,W108-101,13.0,0-5,0.0,0-5,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
Duncan Robinson,2022-23,Postseason,Wed 4/26,@MIL,W128-126 OT,15.0,1-2,50.0,1-2,50.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0
Duncan Robinson,2022-23,Postseason,Mon 4/24,vsMIL,W119-114,30.0,3-5,60.0,3-4,75.0,0-0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,9.0,3.0,4.0
Duncan Robinson,2022-23,Postseason,Sat 4/22,vsMIL,W121-99,24.0,7-9,77.8,5-6,83.3,1-1,100.0,3.0,2.0,0.0,0.0,0.0,2.0,20.0,5.0,6.0
Duncan Robinson,2022-23,Postseason,Wed 4/19,@MIL,L138-122,26.0,5-8,62.5,4-6,66.7,0-0,0.0,5.0,3.0,0.0,0.0,2.0,2.0,14.0,4.0,6.0
Duncan Robinson,2022-23,Postseason,Sun 4/16,@MIL,W130-117,6.0,1-2,50.0,1-1,100.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Duncan Robinson,2022-23,Regular,Sun 4/9,vsORL,W123-110,35.0,6-14,42.9,3-11,27.3,5-6,83.3,2.0,4.0,0.0,1.0,4.0,1.0,20.0,3.0,11.0
