Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Dyson Daniels,2022-23,Regular,Fri 4/7,vsNY,W113-105,9.0,0-1,0.0,0-0,0.0,0-0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dyson Daniels,2022-23,Regular,Wed 4/5,vsMEM,W138-131 OT,8.0,0-2,0.0,0-2,0.0,0-0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0
Dyson Daniels,2022-23,Regular,Tue 4/4,vsSAC,L121-103,13.0,4-4,100.0,1-1,100.0,3-3,100.0,4.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0
Dyson Daniels,2022-23,Regular,Sat 4/1,vsLAC,W122-114,14.0,2-4,50.0,1-2,50.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0
Dyson Daniels,2022-23,Regular,Thu 3/30,@DEN,W107-88,10.0,1-2,50.0,1-1,100.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
Dyson Daniels,2022-23,Regular,Tue 3/28,@GS,L120-109,10.0,1-2,50.0,0-1,0.0,0-0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0
Dyson Daniels,2022-23,Regular,Mon 3/27,@POR,W124-90,23.0,3-8,37.5,2-3,66.7,0-0,0.0,3.0,4.0,0.0,0.0,3.0,1.0,8.0,2.0,3.0
Dyson Daniels,2022-23,Regular,Sat 3/25,@LAC,W131-110,13.0,0-2,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Dyson Daniels,2022-23,Regular,Thu 3/23,vsCHA,W115-96,12.0,1-4,25.0,0-2,0.0,0-0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0
Dyson Daniels,2022-23,Regular,Tue 3/21,vsSA,W119-84,18.0,0-2,0.0,0-1,0.0,1-2,50.0,3.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0
Dyson Daniels,2022-23,Regular,Sun 3/19,@HOU,W117-107,9.0,1-2,50.0,0-1,0.0,0-0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0
