Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Eugene Omoruyi,2022-23,Regular,Wed 4/5,vsBKN,L123-108,14.0,2-6,33.3,2-4,50.0,0-0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,6.0,2.0,4.0
Eugene Omoruyi,2022-23,Regular,Tue 4/4,vsMIA,L118-105,26.0,2-6,33.3,1-3,33.3,6-7,85.7,4.0,2.0,0.0,2.0,2.0,0.0,11.0,1.0,3.0
Eugene Omoruyi,2022-23,Regular,Sun 4/2,@ORL,L128-102,28.0,6-17,35.3,3-11,27.3,4-7,57.1,2.0,2.0,0.0,2.0,2.0,2.0,19.0,3.0,11.0
Eugene Omoruyi,2022-23,Regular,Fri 3/31,@HOU,L121-115,17.0,3-7,42.9,1-4,25.0,4-6,66.7,3.0,0.0,0.0,0.0,1.0,1.0,11.0,1.0,4.0
Eugene Omoruyi,2022-23,Regular,Wed 3/29,@OKC,L107-106,28.0,5-8,62.5,3-5,60.0,1-2,50.0,5.0,2.0,0.0,0.0,2.0,2.0,14.0,3.0,5.0
Eugene Omoruyi,2022-23,Regular,Mon 3/27,vsMIL,L126-117,14.0,1-3,33.3,1-2,50.0,4-4,100.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,1.0,2.0
Eugene Omoruyi,2022-23,Regular,Fri 3/24,@TOR,L118-97,33.0,3-10,30.0,0-3,0.0,3-5,60.0,7.0,1.0,2.0,2.0,2.0,3.0,9.0,0.0,3.0
Eugene Omoruyi,2022-23,Regular,Tue 3/21,@ATL,L129-107,24.0,2-6,33.3,0-2,0.0,0-1,0.0,9.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0
Eugene Omoruyi,2022-23,Regular,Sun 3/19,vsMIA,L112-100,20.0,2-7,28.6,1-3,33.3,2-2,100.0,1.0,1.0,0.0,0.0,3.0,0.0,7.0,1.0,3.0
Eugene Omoruyi,2022-23,Regular,Thu 3/16,vsDEN,L119-100,26.0,5-9,55.6,1-3,33.3,0-0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,11.0,1.0,3.0
Eugene Omoruyi,2022-23,Regular,Tue 3/14,@WSH,L117-97,20.0,4-12,33.3,0-5,0.0,0-1,0.0,4.0,2.0,0.0,1.0,4.0,0.0,8.0,0.0,5.0
Eugene Omoruyi,2022-23,Regular,Mon 3/13,vsIND,W117-97,32.0,8-13,61.5,1-5,20.0,0-1,0.0,6.0,2.0,0.0,3.0,5.0,0.0,17.0,1.0,5.0
Eugene Omoruyi,2022-23,Regular,Sat 3/11,vsIND,L121-115,26.0,5-9,55.6,1-3,33.3,0-0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,11.0,1.0,3.0
