Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Evan Fournier,2022-23,Regular,Sun 4/9,vsIND,L141-136,12.0,0-4,0.0,0-3,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
Evan Fournier,2022-23,Regular,Fri 4/7,@NO,L113-105,15.0,3-7,42.9,2-5,40.0,0-0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,5.0
Evan Fournier,2022-23,Regular,Wed 4/5,@IND,W138-129,11.0,0-3,0.0,0-3,0.0,0-0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
Evan Fournier,2022-23,Regular,Sun 4/2,vsWSH,W118-109,7.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
Evan Fournier,2022-23,Regular,Mon 2/13,vsBKN,W124-106,2.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Evan Fournier,2022-23,Regular,Sun 2/5,vsPHI,W108-97,24.0,6-11,54.5,5-8,62.5,0-0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,17.0,5.0,8.0
Evan Fournier,2022-23,Regular,Thu 2/2,vsMIA,W106-104,18.0,1-7,14.3,1-6,16.7,2-2,100.0,2.0,4.0,0.0,1.0,2.0,0.0,5.0,1.0,6.0
Evan Fournier,2022-23,Regular,Sun 1/22,@TOR,L125-116,21.0,3-9,33.3,2-7,28.6,0-0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,8.0,2.0,7.0
Evan Fournier,2022-23,Regular,Mon 1/9,vsMIL,L111-107,15.0,1-4,25.0,1-4,25.0,0-0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0
Evan Fournier,2022-23,Regular,Fri 1/6,@TOR,W112-108,12.0,2-4,50.0,0-2,0.0,0-0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,4.0,0.0,2.0
Evan Fournier,2022-23,Regular,Wed 1/4,vsSA,W117-114,11.0,1-5,20.0,1-4,25.0,3-4,75.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,4.0
Evan Fournier,2022-23,Regular,Mon 1/2,vsPHX,W102-83,14.0,2-6,33.3,1-4,25.0,0-0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,4.0
Evan Fournier,2022-23,Regular,Sat 12/31,@HOU,W108-88,20.0,2-8,25.0,2-6,33.3,2-2,100.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,2.0,6.0
Evan Fournier,2022-23,Regular,Thu 12/29,@SA,L122-115,17.0,4-6,66.7,1-3,33.3,2-2,100.0,2.0,0.0,0.0,2.0,0.0,1.0,11.0,1.0,3.0
Evan Fournier,2022-23,Regular,Sun 11/13,vsOKC,L145-135,20.0,0-5,0.0,0-3,0.0,0-0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
Evan Fournier,2022-23,Regular,Fri 11/11,vsDET,W121-112,12.0,0-5,0.0,0-3,0.0,3-4,75.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0
Evan Fournier,2022-23,Regular,Wed 11/9,@BKN,L112-85,20.0,2-7,28.6,2-5,40.0,0-0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,6.0,2.0,5.0
Evan Fournier,2022-23,Regular,Mon 11/7,@MIN,W120-107,12.0,1-3,33.3,0-2,0.0,0-0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0
Evan Fournier,2022-23,Regular,Sat 11/5,vsBOS,L133-118,11.0,1-1,100.0,1-1,100.0,0-0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0
Evan Fournier,2022-23,Regular,Fri 11/4,@PHI,W106-104,14.0,1-4,25.0,0-2,0.0,0-0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0
Evan Fournier,2022-23,Regular,Wed 11/2,vsATL,L112-99,19.0,1-6,16.7,1-4,25.0,0-0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,4.0
Evan Fournier,2022-23,Regular,Sun 10/30,@CLE,L121-108,28.0,6-9,66.7,3-5,60.0,1-2,50.0,3.0,1.0,0.0,1.0,2.0,0.0,16.0,3.0,5.0
