Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Evan Mobley,2022-23,Postseason,Wed 4/26,vsNY,L106-95,39.0,2-6,33.3,0-0,0.0,2-4,50.0,9.0,4.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0
Evan Mobley,2022-23,Postseason,Sun 4/23,@NY,L102-93,35.0,5-8,62.5,0-0,0.0,2-2,100.0,7.0,3.0,2.0,0.0,6.0,2.0,12.0,0.0,0.0
Evan Mobley,2022-23,Postseason,Fri 4/21,@NY,L99-79,37.0,5-10,50.0,0-1,0.0,0-0,0.0,10.0,1.0,1.0,0.0,3.0,3.0,10.0,0.0,1.0
Evan Mobley,2022-23,Postseason,Tue 4/18,vsNY,W107-90,39.0,6-11,54.5,0-0,0.0,1-2,50.0,13.0,0.0,2.0,2.0,3.0,2.0,13.0,0.0,0.0
Evan Mobley,2022-23,Postseason,Sat 4/15,vsNY,L101-97,38.0,4-13,30.8,0-0,0.0,0-0,0.0,11.0,2.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0
Evan Mobley,2022-23,Regular,Sun 4/9,vsCHA,L106-95,12.0,3-7,42.9,0-0,0.0,0-0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
Evan Mobley,2022-23,Regular,Tue 4/4,@ORL,W117-113,35.0,5-10,50.0,1-2,50.0,3-4,75.0,7.0,4.0,1.0,1.0,3.0,0.0,14.0,1.0,2.0
Evan Mobley,2022-23,Regular,Sun 4/2,vsIND,W115-105,39.0,7-17,41.2,0-1,0.0,0-0,0.0,16.0,4.0,4.0,0.0,3.0,0.0,14.0,0.0,1.0
Evan Mobley,2022-23,Regular,Fri 3/31,vsNY,L130-116,41.0,6-8,75.0,0-0,0.0,2-3,66.7,7.0,5.0,3.0,0.0,1.0,0.0,14.0,0.0,0.0
Evan Mobley,2022-23,Regular,Tue 3/28,@ATL,L120-118,40.0,10-13,76.9,0-0,0.0,0-2,0.0,15.0,6.0,4.0,1.0,3.0,0.0,20.0,0.0,0.0
Evan Mobley,2022-23,Regular,Sun 3/26,vsHOU,W108-91,40.0,8-12,66.7,0-1,0.0,3-6,50.0,7.0,5.0,3.0,1.0,1.0,3.0,19.0,0.0,1.0
Evan Mobley,2022-23,Regular,Thu 3/23,@BKN,W116-114,40.0,11-18,61.1,0-1,0.0,4-6,66.7,16.0,3.0,4.0,1.0,1.0,0.0,26.0,0.0,1.0
Evan Mobley,2022-23,Regular,Tue 3/21,@BKN,W115-109,36.0,8-12,66.7,1-2,50.0,0-0,0.0,4.0,3.0,0.0,1.0,3.0,3.0,17.0,1.0,2.0
