Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Fred VanVleet,2022-23,Regular,Fri 4/7,@BOS,L121-102,31.0,3-11,27.3,2-6,33.3,4-4,100.0,0.0,8.0,0.0,2.0,3.0,2.0,12.0,2.0,6.0
Fred VanVleet,2022-23,Regular,Wed 4/5,@BOS,L97-93,37.0,2-14,14.3,1-12,8.3,2-2,100.0,4.0,5.0,1.0,1.0,3.0,1.0,7.0,1.0,12.0
Fred VanVleet,2022-23,Regular,Tue 4/4,@CHA,W120-100,27.0,4-9,44.4,3-5,60.0,5-6,83.3,1.0,6.0,1.0,4.0,2.0,0.0,16.0,3.0,5.0
Fred VanVleet,2022-23,Regular,Sun 4/2,@CHA,W128-108,38.0,7-17,41.2,1-8,12.5,5-5,100.0,5.0,20.0,0.0,3.0,4.0,2.0,20.0,1.0,8.0
Fred VanVleet,2022-23,Regular,Fri 3/31,@PHI,L117-110,42.0,5-17,29.4,3-10,30.0,6-7,85.7,5.0,6.0,0.0,1.0,5.0,6.0,19.0,3.0,10.0
Fred VanVleet,2022-23,Regular,Tue 3/28,vsMIA,W106-92,35.0,5-13,38.5,2-9,22.2,0-0,0.0,3.0,6.0,1.0,2.0,0.0,1.0,12.0,2.0,9.0
Fred VanVleet,2022-23,Regular,Sun 3/26,vsWSH,W114-104,36.0,10-21,47.6,5-9,55.6,3-3,100.0,4.0,7.0,1.0,3.0,1.0,1.0,28.0,5.0,9.0
Fred VanVleet,2022-23,Regular,Fri 3/24,vsDET,W118-97,29.0,5-16,31.3,3-10,30.0,5-5,100.0,3.0,4.0,0.0,2.0,3.0,4.0,18.0,3.0,10.0
Fred VanVleet,2022-23,Regular,Wed 3/22,vsIND,L118-114,43.0,7-22,31.8,3-12,25.0,11-12,91.7,2.0,11.0,0.0,2.0,3.0,5.0,28.0,3.0,12.0
Fred VanVleet,2022-23,Regular,Sun 3/19,@MIL,L118-111,38.0,9-21,42.9,3-8,37.5,2-3,66.7,4.0,11.0,0.0,1.0,4.0,4.0,23.0,3.0,8.0
Fred VanVleet,2022-23,Regular,Sat 3/18,vsMIN,W122-107,36.0,10-18,55.6,3-7,42.9,5-6,83.3,3.0,7.0,0.0,2.0,3.0,3.0,28.0,3.0,7.0
Fred VanVleet,2022-23,Regular,Thu 3/16,vsOKC,W128-111,34.0,8-17,47.1,3-8,37.5,0-0,0.0,5.0,6.0,1.0,4.0,0.0,3.0,19.0,3.0,8.0
Fred VanVleet,2022-23,Regular,Tue 3/14,vsDEN,W125-110,38.0,13-22,59.1,8-12,66.7,2-3,66.7,3.0,7.0,0.0,3.0,2.0,2.0,36.0,8.0,12.0
Fred VanVleet,2022-23,Regular,Fri 3/10,@LAL,L122-112,36.0,3-9,33.3,2-6,33.3,0-0,0.0,4.0,10.0,0.0,3.0,3.0,4.0,8.0,2.0,6.0
Fred VanVleet,2022-23,Regular,Wed 3/8,@LAC,L108-100,39.0,4-12,33.3,3-8,37.5,2-2,100.0,4.0,9.0,0.0,3.0,4.0,0.0,13.0,3.0,8.0
Fred VanVleet,2022-23,Regular,Mon 3/6,@DEN,L118-113,35.0,5-12,41.7,3-9,33.3,8-8,100.0,1.0,14.0,0.0,2.0,4.0,5.0,21.0,3.0,9.0
Fred VanVleet,2022-23,Regular,Sat 3/4,@WSH,W116-109 OT,40.0,9-16,56.3,6-11,54.5,1-1,100.0,4.0,9.0,2.0,3.0,1.0,0.0,25.0,6.0,11.0
Fred VanVleet,2022-23,Regular,Thu 3/2,@WSH,L119-108,40.0,5-17,29.4,2-11,18.2,2-2,100.0,3.0,8.0,0.0,2.0,3.0,2.0,14.0,2.0,11.0
Fred VanVleet,2022-23,Regular,Tue 2/28,vsCHI,W104-98,35.0,1-11,9.1,1-9,11.1,0-0,0.0,6.0,9.0,0.0,1.0,2.0,0.0,3.0,1.0,9.0
Fred VanVleet,2022-23,Regular,Tue 2/14,vsORL,W123-113,35.0,3-12,25.0,3-9,33.3,1-1,100.0,0.0,15.0,1.0,3.0,3.0,5.0,10.0,3.0,9.0
Fred VanVleet,2022-23,Regular,Sun 2/12,vsDET,W119-118,37.0,12-26,46.2,6-13,46.2,5-7,71.4,3.0,8.0,1.0,0.0,3.0,1.0,35.0,6.0,13.0
Fred VanVleet,2022-23,Regular,Fri 2/10,vsUTAH,L122-116,35.0,4-13,30.8,3-9,33.3,6-7,85.7,4.0,4.0,0.0,2.0,5.0,3.0,17.0,3.0,9.0
Fred VanVleet,2022-23,Regular,Wed 2/8,vsSA,W112-98,37.0,5-16,31.3,1-7,14.3,5-5,100.0,2.0,4.0,1.0,3.0,2.0,4.0,16.0,1.0,7.0
Fred VanVleet,2022-23,Regular,Sun 2/5,@MEM,W106-103,39.0,6-19,31.6,2-9,22.2,1-1,100.0,5.0,7.0,1.0,0.0,1.0,2.0,15.0,2.0,9.0
Fred VanVleet,2022-23,Regular,Fri 2/3,@HOU,W117-111,37.0,10-22,45.5,5-11,45.5,7-9,77.8,5.0,4.0,0.0,1.0,1.0,0.0,32.0,5.0,11.0
Fred VanVleet,2022-23,Regular,Wed 2/1,@UTAH,L131-128,38.0,12-25,48.0,4-9,44.4,6-6,100.0,12.0,10.0,1.0,1.0,1.0,3.0,34.0,4.0,9.0
Fred VanVleet,2022-23,Regular,Mon 1/30,@PHX,L114-106,39.0,9-19,47.4,2-8,25.0,4-5,80.0,4.0,9.0,1.0,1.0,6.0,3.0,24.0,2.0,8.0
Fred VanVleet,2022-23,Regular,Sat 1/28,@POR,W123-105,41.0,4-13,30.8,2-8,25.0,1-1,100.0,6.0,9.0,1.0,4.0,4.0,2.0,11.0,2.0,8.0
Fred VanVleet,2022-23,Regular,Fri 1/27,@GS,L129-117,40.0,11-20,55.0,5-10,50.0,1-1,100.0,4.0,10.0,1.0,1.0,4.0,5.0,28.0,5.0,10.0
Fred VanVleet,2022-23,Regular,Wed 1/25,@SAC,W113-95,38.0,7-16,43.8,2-9,22.2,1-1,100.0,4.0,5.0,2.0,4.0,2.0,2.0,17.0,2.0,9.0
Fred VanVleet,2022-23,Regular,Sun 1/22,vsNY,W125-116,34.0,8-19,42.1,4-8,50.0,8-8,100.0,2.0,3.0,0.0,2.0,1.0,1.0,28.0,4.0,8.0
Fred VanVleet,2022-23,Regular,Thu 1/19,@MIN,L128-126,36.0,7-13,53.8,4-6,66.7,7-7,100.0,1.0,10.0,1.0,2.0,3.0,2.0,25.0,4.0,6.0
Fred VanVleet,2022-23,Regular,Tue 1/17,@MIL,L130-122,37.0,15-28,53.6,6-12,50.0,3-3,100.0,9.0,7.0,0.0,0.0,4.0,1.0,39.0,6.0,12.0
Fred VanVleet,2022-23,Regular,Mon 1/16,@NY,W123-121 OT,45.0,10-23,43.5,5-13,38.5,8-8,100.0,5.0,8.0,2.0,2.0,5.0,1.0,33.0,5.0,13.0
Fred VanVleet,2022-23,Regular,Sat 1/14,vsATL,L114-103,26.0,1-9,11.1,1-6,16.7,0-0,0.0,6.0,4.0,0.0,0.0,2.0,1.0,3.0,1.0,6.0
Fred VanVleet,2022-23,Regular,Thu 1/12,vsCHA,W124-114,35.0,4-8,50.0,1-2,50.0,2-2,100.0,5.0,8.0,0.0,2.0,4.0,1.0,11.0,1.0,2.0
Fred VanVleet,2022-23,Regular,Tue 1/10,vsCHA,W132-120,33.0,3-10,30.0,2-7,28.6,3-3,100.0,7.0,8.0,0.0,0.0,2.0,3.0,11.0,2.0,7.0
Fred VanVleet,2022-23,Regular,Sun 1/8,vsPOR,W117-105,35.0,5-12,41.7,4-9,44.4,0-0,0.0,6.0,7.0,0.0,0.0,4.0,0.0,14.0,4.0,9.0
Fred VanVleet,2022-23,Regular,Fri 1/6,vsNY,L112-108,41.0,9-21,42.9,3-9,33.3,7-9,77.8,8.0,7.0,1.0,2.0,3.0,1.0,28.0,3.0,9.0
Fred VanVleet,2022-23,Regular,Wed 1/4,vsMIL,L104-101 OT,47.0,8-23,34.8,4-14,28.6,8-8,100.0,8.0,12.0,0.0,3.0,4.0,1.0,28.0,4.0,14.0
Fred VanVleet,2022-23,Regular,Mon 1/2,@IND,L122-114,36.0,3-15,20.0,3-12,25.0,0-0,0.0,2.0,3.0,2.0,0.0,4.0,1.0,9.0,3.0,12.0
Fred VanVleet,2022-23,Regular,Tue 12/27,vsLAC,L124-113,23.0,2-6,33.3,0-3,0.0,0-0,0.0,2.0,7.0,0.0,1.0,1.0,1.0,4.0,0.0,3.0
Fred VanVleet,2022-23,Regular,Fri 12/23,@CLE,W118-107,39.0,5-12,41.7,5-10,50.0,3-3,100.0,8.0,4.0,1.0,1.0,2.0,2.0,18.0,5.0,10.0
Fred VanVleet,2022-23,Regular,Wed 12/21,@NY,W113-106,40.0,10-24,41.7,4-10,40.0,4-4,100.0,1.0,4.0,1.0,3.0,3.0,2.0,28.0,4.0,10.0
Fred VanVleet,2022-23,Regular,Mon 12/19,@PHI,L104-101 OT,41.0,3-15,20.0,2-11,18.2,1-1,100.0,6.0,3.0,1.0,0.0,2.0,2.0,9.0,2.0,11.0
Fred VanVleet,2022-23,Regular,Sun 12/18,vsGS,L126-110,35.0,7-18,38.9,4-10,40.0,4-4,100.0,4.0,8.0,0.0,1.0,4.0,2.0,22.0,4.0,10.0
Fred VanVleet,2022-23,Regular,Fri 12/16,vsBKN,L119-116,43.0,14-24,58.3,4-9,44.4,7-8,87.5,5.0,4.0,1.0,1.0,4.0,2.0,39.0,4.0,9.0
Fred VanVleet,2022-23,Regular,Wed 12/14,vsSAC,L124-123,38.0,13-25,52.0,2-8,25.0,11-11,100.0,8.0,5.0,1.0,4.0,4.0,2.0,39.0,2.0,8.0
Fred VanVleet,2022-23,Regular,Sun 12/11,@ORL,L111-99,42.0,4-11,36.4,2-7,28.6,10-12,83.3,4.0,7.0,0.0,4.0,4.0,1.0,20.0,2.0,7.0
Fred VanVleet,2022-23,Regular,Fri 12/9,@ORL,L113-109,37.0,5-14,35.7,2-9,22.2,7-9,77.8,2.0,6.0,1.0,1.0,0.0,2.0,19.0,2.0,9.0
Fred VanVleet,2022-23,Regular,Wed 12/7,vsLAL,W126-113,30.0,8-20,40.0,3-12,25.0,6-6,100.0,4.0,7.0,0.0,0.0,1.0,3.0,25.0,3.0,12.0
Fred VanVleet,2022-23,Regular,Mon 12/5,vsBOS,L116-110,38.0,3-14,21.4,1-6,16.7,1-1,100.0,7.0,3.0,2.0,0.0,3.0,1.0,8.0,1.0,6.0
Fred VanVleet,2022-23,Regular,Sat 12/3,vsORL,W121-108,37.0,4-11,36.4,3-8,37.5,2-3,66.7,2.0,7.0,0.0,3.0,4.0,4.0,13.0,3.0,8.0
