Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Furkan Korkmaz,2022-23,Postseason,Sun 5/14,@BOS,L112-88,4.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furkan Korkmaz,2022-23,Postseason,Wed 5/3,@BOS,L121-87,5.0,0-1,0.0,0-1,0.0,2-2,100.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
Furkan Korkmaz,2022-23,Postseason,Sat 4/15,vsBKN,W121-101,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furkan Korkmaz,2022-23,Regular,Sun 4/9,@BKN,W134-105,30.0,3-7,42.9,3-4,75.0,2-2,100.0,4.0,0.0,0.0,2.0,3.0,3.0,11.0,3.0,4.0
Furkan Korkmaz,2022-23,Regular,Fri 4/7,@ATL,W136-131 OT,17.0,1-6,16.7,0-1,0.0,0-0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0
Furkan Korkmaz,2022-23,Regular,Thu 4/6,vsMIA,L129-101,10.0,3-6,50.0,2-4,50.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,8.0,2.0,4.0
Furkan Korkmaz,2022-23,Regular,Sun 4/2,@MIL,L117-104,4.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Furkan Korkmaz,2022-23,Regular,Mon 3/27,@DEN,L116-111,7.0,2-2,100.0,0-0,0.0,2-2,100.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0
Furkan Korkmaz,2022-23,Regular,Sat 3/25,@PHX,L125-105,4.0,1-1,100.0,0-0,0.0,2-2,100.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Furkan Korkmaz,2022-23,Regular,Fri 3/24,@GS,L120-112,5.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Furkan Korkmaz,2022-23,Regular,Wed 3/22,@CHI,W116-91,3.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Furkan Korkmaz,2022-23,Regular,Sat 3/18,@IND,W141-121,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furkan Korkmaz,2022-23,Regular,Fri 3/17,@CHA,W121-82,7.0,0-2,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
