Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Gabe Vincent,2022-23,Postseason,Mon 6/12,@DEN,L94-89,22.0,3-13,23.1,0-4,0.0,0-0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,6.0,0.0,4.0
Gabe Vincent,2022-23,Postseason,Fri 6/9,vsDEN,L108-95,19.0,1-6,16.7,0-4,0.0,0-0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0
Gabe Vincent,2022-23,Postseason,Wed 6/7,vsDEN,L109-94,32.0,2-10,20.0,1-6,16.7,2-3,66.7,0.0,0.0,0.0,2.0,3.0,0.0,7.0,1.0,6.0
Gabe Vincent,2022-23,Postseason,Sun 6/4,@DEN,W111-108,32.0,8-12,66.7,4-6,66.7,3-3,100.0,0.0,3.0,0.0,2.0,4.0,1.0,23.0,4.0,6.0
Gabe Vincent,2022-23,Postseason,Thu 6/1,@DEN,L104-93,38.0,7-14,50.0,5-10,50.0,0-0,0.0,2.0,5.0,1.0,0.0,1.0,1.0,19.0,5.0,10.0
Gabe Vincent,2022-23,Postseason,Mon 5/29,@BOS,W103-84,26.0,4-10,40.0,2-3,66.7,0-0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,10.0,2.0,3.0
Gabe Vincent,2022-23,Postseason,Sat 5/27,vsBOS,L104-103,41.0,6-18,33.3,3-6,50.0,0-0,0.0,4.0,0.0,1.0,0.0,5.0,1.0,15.0,3.0,6.0
Gabe Vincent,2022-23,Postseason,Tue 5/23,vsBOS,L116-99,28.0,5-10,50.0,1-4,25.0,6-7,85.7,1.0,4.0,0.0,0.0,4.0,1.0,17.0,1.0,4.0
Gabe Vincent,2022-23,Postseason,Sun 5/21,vsBOS,W128-102,35.0,11-14,78.6,6-9,66.7,1-1,100.0,2.0,3.0,1.0,1.0,2.0,2.0,29.0,6.0,9.0
Gabe Vincent,2022-23,Postseason,Fri 5/19,@BOS,W111-105,40.0,2-8,25.0,1-4,25.0,4-4,100.0,2.0,0.0,0.0,2.0,1.0,1.0,9.0,1.0,4.0
Gabe Vincent,2022-23,Postseason,Wed 5/17,@BOS,W123-116,36.0,4-6,66.7,3-5,60.0,4-4,100.0,3.0,2.0,1.0,1.0,3.0,1.0,15.0,3.0,5.0
Gabe Vincent,2022-23,Postseason,Fri 5/12,vsNY,W96-92,31.0,3-8,37.5,1-5,20.0,0-0,0.0,3.0,5.0,0.0,1.0,4.0,2.0,7.0,1.0,5.0
Gabe Vincent,2022-23,Postseason,Wed 5/10,@NY,L112-103,23.0,3-10,30.0,0-3,0.0,0-0,0.0,4.0,4.0,0.0,1.0,4.0,3.0,6.0,0.0,3.0
Gabe Vincent,2022-23,Postseason,Mon 5/8,vsNY,W109-101,22.0,1-7,14.3,1-5,20.0,0-0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,3.0,1.0,5.0
