Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Garrison Mathews,2022-23,Regular,Sun 4/9,@BOS,L120-114,26.0,5-12,41.7,4-11,36.4,5-5,100.0,3.0,1.0,1.0,0.0,2.0,0.0,19.0,4.0,11.0
Garrison Mathews,2022-23,Regular,Wed 4/5,vsWSH,W134-116,2.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Garrison Mathews,2022-23,Regular,Fri 3/31,@BKN,L124-107,4.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Garrison Mathews,2022-23,Regular,Sat 3/25,vsIND,W143-130,14.0,5-6,83.3,4-5,80.0,0-0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,14.0,4.0,5.0
Garrison Mathews,2022-23,Regular,Wed 3/22,@MIN,L125-124,12.0,1-3,33.3,1-2,50.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
Garrison Mathews,2022-23,Regular,Tue 3/21,vsDET,W129-107,18.0,1-5,20.0,0-3,0.0,0-0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
Garrison Mathews,2022-23,Regular,Mon 3/13,vsMIN,L136-115,2.0,0-1,0.0,0-1,0.0,2-3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Garrison Mathews,2022-23,Regular,Fri 2/24,vsCLE,W136-119,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrison Mathews,2022-23,Regular,Wed 2/15,vsNY,L122-101,4.0,1-1,100.0,1-1,100.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Garrison Mathews,2022-23,Regular,Fri 2/3,vsTOR,L117-111,7.0,0-2,0.0,0-2,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Garrison Mathews,2022-23,Regular,Wed 2/1,vsOKC,W112-106,19.0,1-2,50.0,1-2,50.0,0-0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0
Garrison Mathews,2022-23,Regular,Sat 1/28,@DET,W117-114,13.0,1-2,50.0,1-2,50.0,2-3,66.7,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0
Garrison Mathews,2022-23,Regular,Thu 1/26,vsCLE,L113-95,20.0,0-2,0.0,0-2,0.0,1-1,100.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
Garrison Mathews,2022-23,Regular,Wed 1/25,vsWSH,L108-103,11.0,2-7,28.6,2-7,28.6,0-0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,6.0,2.0,7.0
Garrison Mathews,2022-23,Regular,Mon 1/23,vsMIN,W119-114,28.0,4-10,40.0,2-8,25.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,10.0,2.0,8.0
Garrison Mathews,2022-23,Regular,Sat 1/21,@MIN,L113-104,18.0,2-3,66.7,1-2,50.0,4-5,80.0,2.0,1.0,0.0,0.0,2.0,2.0,9.0,1.0,2.0
Garrison Mathews,2022-23,Regular,Wed 1/18,vsCHA,L122-117,13.0,1-4,25.0,1-4,25.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0
Garrison Mathews,2022-23,Regular,Mon 1/16,@LAL,L140-132,14.0,2-5,40.0,2-3,66.7,0-0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,6.0,2.0,3.0
Garrison Mathews,2022-23,Regular,Sun 1/15,@LAC,L121-100,15.0,1-5,20.0,1-5,20.0,3-3,100.0,2.0,0.0,0.0,1.0,2.0,3.0,6.0,1.0,5.0
Garrison Mathews,2022-23,Regular,Fri 1/13,@SAC,L139-114,9.0,3-7,42.9,2-6,33.3,0-0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,8.0,2.0,6.0
Garrison Mathews,2022-23,Regular,Wed 1/11,@SAC,L135-115,18.0,4-8,50.0,4-6,66.7,0-0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,12.0,4.0,6.0
