Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Gary Harris,2022-23,Regular,Tue 4/4,vsCLE,L117-113,24.0,1-6,16.7,1-5,20.0,0-0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0
Gary Harris,2022-23,Regular,Sun 4/2,vsDET,W128-102,19.0,3-4,75.0,2-3,66.7,0-0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,8.0,2.0,3.0
Gary Harris,2022-23,Regular,Fri 3/31,@WSH,W116-109,20.0,0-6,0.0,0-3,0.0,0-0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
Gary Harris,2022-23,Regular,Tue 3/28,@MEM,L113-108,26.0,1-5,20.0,1-4,25.0,0-0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0
Gary Harris,2022-23,Regular,Sun 3/26,vsBKN,W119-106,18.0,4-5,80.0,2-3,66.7,0-0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,10.0,2.0,3.0
Gary Harris,2022-23,Regular,Thu 3/23,vsNY,W111-106,27.0,3-7,42.9,3-7,42.9,0-0,0.0,2.0,1.0,0.0,2.0,4.0,0.0,9.0,3.0,7.0
Gary Harris,2022-23,Regular,Tue 3/21,vsWSH,W122-112,24.0,7-10,70.0,6-9,66.7,2-2,100.0,2.0,0.0,2.0,2.0,0.0,0.0,22.0,6.0,9.0
Gary Harris,2022-23,Regular,Sun 3/19,@LAL,L111-105,22.0,3-7,42.9,3-6,50.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,9.0,3.0,6.0
Gary Harris,2022-23,Regular,Sat 3/18,@LAC,W113-108,30.0,2-5,40.0,2-4,50.0,0-0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,2.0,4.0
Gary Harris,2022-23,Regular,Thu 3/16,@PHX,L116-113,26.0,2-7,28.6,2-7,28.6,0-0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,6.0,2.0,7.0
Gary Harris,2022-23,Regular,Tue 3/14,@SA,L132-114,24.0,1-3,33.3,1-2,50.0,0-0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0
Gary Harris,2022-23,Regular,Sat 3/11,vsMIA,W126-114 OT,27.0,4-13,30.8,3-10,30.0,0-0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,11.0,3.0,10.0
Gary Harris,2022-23,Regular,Thu 3/9,vsUTAH,L131-124,30.0,4-9,44.4,4-8,50.0,0-0,0.0,3.0,2.0,0.0,2.0,3.0,2.0,12.0,4.0,8.0
Gary Harris,2022-23,Regular,Fri 3/3,@CHA,W117-106,27.0,4-8,50.0,1-5,20.0,0-0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,9.0,1.0,5.0
Gary Harris,2022-23,Regular,Wed 3/1,@MIL,L139-117,22.0,1-4,25.0,1-3,33.3,0-0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0
Gary Harris,2022-23,Regular,Mon 2/27,@NO,W101-93,28.0,2-5,40.0,2-5,40.0,0-0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,2.0,5.0
Gary Harris,2022-23,Regular,Sat 2/25,vsIND,L121-108,26.0,1-8,12.5,1-7,14.3,2-2,100.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,7.0
Gary Harris,2022-23,Regular,Thu 2/23,vsDET,W108-106,28.0,4-8,50.0,4-8,50.0,0-0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,12.0,4.0,8.0
Gary Harris,2022-23,Regular,Tue 2/14,@TOR,L123-113,23.0,2-3,66.7,2-3,66.7,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0
Gary Harris,2022-23,Regular,Mon 2/13,@CHI,W100-91,28.0,3-5,60.0,1-3,33.3,1-1,100.0,4.0,4.0,0.0,3.0,1.0,2.0,8.0,1.0,3.0
Gary Harris,2022-23,Regular,Sat 2/11,vsMIA,L107-103 OT,28.0,2-9,22.2,2-6,33.3,0-0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,6.0,2.0,6.0
Gary Harris,2022-23,Regular,Tue 2/7,vsNY,L102-98,27.0,1-3,33.3,1-2,50.0,0-0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0
Gary Harris,2022-23,Regular,Sun 2/5,@CHA,W119-113,28.0,2-4,50.0,2-4,50.0,2-2,100.0,3.0,1.0,0.0,1.0,4.0,0.0,8.0,2.0,4.0
Gary Harris,2022-23,Regular,Fri 2/3,@MIN,W127-120,25.0,3-6,50.0,3-5,60.0,0-0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,9.0,3.0,5.0
Gary Harris,2022-23,Regular,Wed 2/1,@PHI,L105-94,28.0,3-9,33.3,3-8,37.5,2-2,100.0,2.0,0.0,0.0,1.0,1.0,0.0,11.0,3.0,8.0
Gary Harris,2022-23,Regular,Mon 1/30,@PHI,W119-109,29.0,3-7,42.9,3-7,42.9,0-0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,9.0,3.0,7.0
Gary Harris,2022-23,Regular,Sat 1/28,vsCHI,L128-109,20.0,3-4,75.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,2.0
Gary Harris,2022-23,Regular,Fri 1/27,@MIA,L110-105,28.0,3-6,50.0,2-5,40.0,0-0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,8.0,2.0,5.0
Gary Harris,2022-23,Regular,Wed 1/25,vsIND,W126-120,26.0,8-9,88.9,6-6,100.0,0-0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,22.0,6.0,6.0
Gary Harris,2022-23,Regular,Mon 1/23,vsBOS,W113-98,25.0,2-5,40.0,1-4,25.0,0-0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,4.0
Gary Harris,2022-23,Regular,Sat 1/21,@WSH,L138-118,20.0,3-4,75.0,3-4,75.0,0-0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,9.0,3.0,4.0
Gary Harris,2022-23,Regular,Fri 1/20,vsNO,W123-110,27.0,5-8,62.5,4-6,66.7,1-2,50.0,2.0,1.0,0.0,0.0,2.0,1.0,15.0,4.0,6.0
Gary Harris,2022-23,Regular,Sun 1/15,@DEN,L119-116,21.0,2-4,50.0,1-3,33.3,0-0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,3.0
Gary Harris,2022-23,Regular,Fri 1/13,@UTAH,L112-108,12.0,1-6,16.7,1-3,33.3,0-0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,3.0
Gary Harris,2022-23,Regular,Tue 1/10,@POR,W109-106,30.0,2-5,40.0,0-3,0.0,0-0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,3.0
Gary Harris,2022-23,Regular,Mon 1/9,@SAC,L136-111,24.0,3-6,50.0,2-4,50.0,0-0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,8.0,2.0,4.0
Gary Harris,2022-23,Regular,Sat 1/7,@GS,W115-101,24.0,1-5,20.0,1-2,50.0,0-0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,3.0,1.0,2.0
Gary Harris,2022-23,Regular,Thu 1/5,vsMEM,L123-115,22.0,2-6,33.3,0-4,0.0,2-3,66.7,2.0,2.0,1.0,1.0,3.0,2.0,6.0,0.0,4.0
Gary Harris,2022-23,Regular,Wed 1/4,vsOKC,W126-115,27.0,5-10,50.0,3-5,60.0,5-6,83.3,3.0,1.0,0.0,1.0,3.0,1.0,18.0,3.0,5.0
Gary Harris,2022-23,Regular,Wed 12/28,@DET,L121-101,22.0,3-6,50.0,1-3,33.3,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,3.0
Gary Harris,2022-23,Regular,Tue 12/27,vsLAL,L129-110,18.0,2-4,50.0,1-2,50.0,4-4,100.0,4.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,2.0
Gary Harris,2022-23,Regular,Fri 12/23,vsSA,W133-113,21.0,4-5,80.0,1-2,50.0,0-0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,9.0,1.0,2.0
Gary Harris,2022-23,Regular,Wed 11/30,vsATL,L125-108,17.0,0-3,0.0,0-2,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0
Gary Harris,2022-23,Regular,Mon 11/28,@BKN,L109-102,36.0,7-12,58.3,4-6,66.7,1-1,100.0,4.0,3.0,2.0,1.0,2.0,3.0,19.0,4.0,6.0
Gary Harris,2022-23,Regular,Sun 11/27,vsPHI,L133-103,29.0,4-9,44.4,1-5,20.0,2-2,100.0,3.0,5.0,0.0,1.0,2.0,0.0,11.0,1.0,5.0
Gary Harris,2022-23,Regular,Fri 11/25,vsPHI,L107-99,27.0,3-8,37.5,1-3,33.3,0-0,0.0,3.0,3.0,0.0,1.0,2.0,3.0,7.0,1.0,3.0
Gary Harris,2022-23,Regular,Mon 11/21,@IND,L123-102,23.0,6-11,54.5,3-6,50.0,3-3,100.0,3.0,0.0,0.0,0.0,5.0,1.0,18.0,3.0,6.0
Gary Harris,2022-23,Regular,Fri 11/18,@CHI,W108-107,24.0,3-5,60.0,1-1,100.0,0-0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0
