Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Gary Payton II,2022-23,Postseason,Fri 5/12,@LAL,L122-101,10.0,2-3,66.7,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0
Gary Payton II,2022-23,Postseason,Wed 5/10,vsLAL,W121-106,27.0,4-5,80.0,1-2,50.0,4-5,80.0,6.0,1.0,0.0,1.0,4.0,2.0,13.0,1.0,2.0
Gary Payton II,2022-23,Postseason,Mon 5/8,@LAL,L104-101,23.0,7-9,77.8,1-2,50.0,0-0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,15.0,1.0,2.0
Gary Payton II,2022-23,Postseason,Sat 5/6,@LAL,L127-97,13.0,4-7,57.1,0-1,0.0,0-0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,1.0
Gary Payton II,2022-23,Postseason,Thu 5/4,vsLAL,W127-100,9.0,3-3,100.0,0-0,0.0,1-2,50.0,5.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0
Gary Payton II,2022-23,Postseason,Tue 5/2,vsLAL,L117-112,12.0,1-3,33.3,0-2,0.0,0-0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
Gary Payton II,2022-23,Postseason,Sun 4/30,@SAC,W120-100,16.0,1-2,50.0,0-0,0.0,0-0,0.0,3.0,1.0,4.0,0.0,4.0,1.0,2.0,0.0,0.0
Gary Payton II,2022-23,Postseason,Fri 4/28,vsSAC,L118-99,10.0,0-1,0.0,0-0,0.0,0-0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
Gary Payton II,2022-23,Postseason,Wed 4/26,@SAC,W123-116,16.0,4-5,80.0,0-1,0.0,0-0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,8.0,0.0,1.0
Gary Payton II,2022-23,Postseason,Sun 4/23,vsSAC,W126-125,7.0,1-3,33.3,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Gary Payton II,2022-23,Postseason,Mon 4/17,@SAC,L114-106,27.0,5-6,83.3,2-3,66.7,1-2,50.0,6.0,0.0,0.0,2.0,0.0,2.0,13.0,2.0,3.0
