Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Gary Trent Jr,2022-23,Regular,Sun 4/9,vsMIL,W121-105,27.0,7-13,53.8,4-7,57.1,5-5,100.0,1.0,3.0,0.0,0.0,0.0,0.0,23.0,4.0,7.0
Gary Trent Jr,2022-23,Regular,Fri 4/7,@BOS,L121-102,21.0,4-10,40.0,0-4,0.0,1-2,50.0,3.0,3.0,0.0,1.0,1.0,1.0,9.0,0.0,4.0
Gary Trent Jr,2022-23,Regular,Wed 4/5,@BOS,L97-93,16.0,0-5,0.0,0-2,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Gary Trent Jr,2022-23,Regular,Sun 3/19,@MIL,L118-111,33.0,6-18,33.3,5-10,50.0,1-2,50.0,3.0,0.0,0.0,1.0,0.0,0.0,18.0,5.0,10.0
Gary Trent Jr,2022-23,Regular,Sat 3/18,vsMIN,W122-107,29.0,8-14,57.1,2-5,40.0,1-1,100.0,3.0,3.0,0.0,5.0,1.0,1.0,19.0,2.0,5.0
Gary Trent Jr,2022-23,Regular,Thu 3/16,vsOKC,W128-111,35.0,8-11,72.7,4-6,66.7,3-4,75.0,5.0,2.0,0.0,2.0,3.0,0.0,23.0,4.0,6.0
Gary Trent Jr,2022-23,Regular,Tue 3/14,vsDEN,W125-110,25.0,3-9,33.3,0-3,0.0,5-5,100.0,3.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,3.0
Gary Trent Jr,2022-23,Regular,Fri 3/10,@LAL,L122-112,21.0,0-9,0.0,0-3,0.0,0-0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
Gary Trent Jr,2022-23,Regular,Wed 3/8,@LAC,L108-100,24.0,2-11,18.2,1-5,20.0,2-2,100.0,2.0,1.0,0.0,1.0,2.0,0.0,7.0,1.0,5.0
Gary Trent Jr,2022-23,Regular,Mon 3/6,@DEN,L118-113,23.0,6-9,66.7,1-2,50.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,13.0,1.0,2.0
Gary Trent Jr,2022-23,Regular,Sat 3/4,@WSH,W116-109 OT,35.0,11-18,61.1,4-7,57.1,0-1,0.0,5.0,4.0,0.0,2.0,2.0,0.0,26.0,4.0,7.0
Gary Trent Jr,2022-23,Regular,Thu 3/2,@WSH,L119-108,18.0,2-7,28.6,0-2,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
Gary Trent Jr,2022-23,Regular,Tue 2/28,vsCHI,W104-98,28.0,6-13,46.2,5-11,45.5,2-2,100.0,5.0,1.0,0.0,2.0,2.0,2.0,19.0,5.0,11.0
Gary Trent Jr,2022-23,Regular,Sun 2/26,@CLE,L118-93,27.0,2-13,15.4,1-5,20.0,2-2,100.0,6.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0
Gary Trent Jr,2022-23,Regular,Sat 2/25,@DET,W95-91,36.0,7-20,35.0,4-12,33.3,1-1,100.0,1.0,4.0,0.0,2.0,0.0,2.0,19.0,4.0,12.0
Gary Trent Jr,2022-23,Regular,Thu 2/23,vsNO,W115-110,37.0,6-16,37.5,3-8,37.5,3-3,100.0,0.0,1.0,0.0,2.0,1.0,2.0,18.0,3.0,8.0
Gary Trent Jr,2022-23,Regular,Fri 2/10,vsUTAH,L122-116,39.0,7-20,35.0,2-9,22.2,3-3,100.0,5.0,4.0,1.0,3.0,2.0,0.0,19.0,2.0,9.0
Gary Trent Jr,2022-23,Regular,Wed 2/8,vsSA,W112-98,33.0,6-16,37.5,2-6,33.3,1-2,50.0,5.0,3.0,0.0,2.0,2.0,1.0,15.0,2.0,6.0
Gary Trent Jr,2022-23,Regular,Sun 2/5,@MEM,W106-103,37.0,5-14,35.7,0-3,0.0,0-1,0.0,2.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,3.0
Gary Trent Jr,2022-23,Regular,Fri 2/3,@HOU,W117-111,38.0,10-15,66.7,5-9,55.6,4-4,100.0,1.0,2.0,0.0,0.0,2.0,1.0,29.0,5.0,9.0
Gary Trent Jr,2022-23,Regular,Wed 2/1,@UTAH,L131-128,38.0,6-14,42.9,3-4,75.0,5-5,100.0,2.0,3.0,0.0,3.0,2.0,0.0,20.0,3.0,4.0
