Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Goga Bitadze,2022-23,Regular,Sun 4/9,@MIA,L123-110,20.0,2-4,50.0,0-0,0.0,0-0,0.0,8.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Fri 4/7,@BKN,L101-84,25.0,5-7,71.4,0-1,0.0,2-2,100.0,15.0,1.0,1.0,1.0,3.0,3.0,12.0,0.0,1.0
Goga Bitadze,2022-23,Regular,Thu 4/6,vsCLE,L118-94,21.0,3-7,42.9,0-1,0.0,1-2,50.0,7.0,1.0,2.0,0.0,0.0,1.0,7.0,0.0,1.0
Goga Bitadze,2022-23,Regular,Tue 4/4,vsCLE,L117-113,16.0,5-9,55.6,0-1,0.0,0-0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,10.0,0.0,1.0
Goga Bitadze,2022-23,Regular,Sun 4/2,vsDET,W128-102,18.0,5-6,83.3,0-1,0.0,3-4,75.0,3.0,3.0,1.0,0.0,6.0,0.0,13.0,0.0,1.0
Goga Bitadze,2022-23,Regular,Fri 3/31,@WSH,W116-109,22.0,1-4,25.0,0-1,0.0,0-0,0.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0
Goga Bitadze,2022-23,Regular,Tue 3/28,@MEM,L113-108,13.0,5-7,71.4,1-2,50.0,2-2,100.0,6.0,1.0,3.0,1.0,1.0,0.0,13.0,1.0,2.0
Goga Bitadze,2022-23,Regular,Sun 3/26,vsBKN,W119-106,6.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Thu 3/23,vsNY,W111-106,14.0,1-1,100.0,0-0,0.0,0-0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Sun 3/19,@LAL,L111-105,15.0,1-3,33.3,0-0,0.0,1-2,50.0,4.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Sat 3/18,@LAC,W113-108,15.0,0-2,0.0,0-1,0.0,0-0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0
Goga Bitadze,2022-23,Regular,Thu 3/16,@PHX,L116-113,8.0,1-3,33.3,0-1,0.0,0-0,0.0,5.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0
Goga Bitadze,2022-23,Regular,Thu 3/9,vsUTAH,L131-124,21.0,1-3,33.3,0-0,0.0,1-4,25.0,5.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Tue 3/7,vsMIL,L134-123,20.0,6-9,66.7,0-1,0.0,0-0,0.0,8.0,2.0,0.0,1.0,3.0,0.0,12.0,0.0,1.0
Goga Bitadze,2022-23,Regular,Sun 3/5,vsPOR,L122-119,6.0,2-2,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Wed 3/1,@MIL,L139-117,5.0,1-2,50.0,0-1,0.0,1-1,100.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
Goga Bitadze,2022-23,Regular,Sat 2/25,vsIND,L121-108,9.0,2-3,66.7,1-1,100.0,1-1,100.0,6.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0
Goga Bitadze,2022-23,Regular,Fri 1/20,@DEN,L134-111,7.0,0-0,0.0,0-0,0.0,0-2,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Wed 1/18,@OKC,L126-106,6.0,0-3,0.0,0-0,0.0,2-4,50.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Wed 1/11,@NY,L119-113,15.0,2-3,66.7,1-2,50.0,0-0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,5.0,1.0,2.0
Goga Bitadze,2022-23,Regular,Fri 1/6,vsPOR,W108-99,5.0,0-2,0.0,0-0,0.0,0-0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Mon 12/26,@NO,L113-93,11.0,2-2,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Fri 12/9,vsWSH,W121-111,14.0,2-3,66.7,1-2,50.0,0-0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,2.0
Goga Bitadze,2022-23,Regular,Wed 12/7,@MIN,L121-115,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Wed 11/30,@SAC,L137-114,4.0,3-4,75.0,1-1,100.0,1-2,50.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0
Goga Bitadze,2022-23,Regular,Mon 11/28,@LAL,W116-115,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Goga Bitadze,2022-23,Regular,Sun 11/27,@LAC,L114-100,8.0,2-2,100.0,0-0,0.0,1-2,50.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0
